id;Country;FailYear;StatusText
0;Austria;;DiscrAlloc completed for 117 tiles with a total magnified suitability of 1,054,514,065,338 over 7643079 land units = 137969.797949 per land unit with at most 779,181,953,985,365 from optimum due to 362890(=4.747956%) better options = 101946081.413703 per land unit due to the threshold blocking effective shadow price adjustments
1;BelgLux;;DiscrAlloc completed for 50 tiles with a total magnified suitability of 263,061,187,994 over 3233525 land units = 81354.307758 per land unit with at most 622,681,833,775,306 from optimum due to 290005(=8.968695%) better options = 192570595.178731 per land unit due to the threshold blocking effective shadow price adjustments
2;Bulgaria;;DiscrAlloc completed for 166 tiles with a total magnified suitability of 240,313,289,693 over 10869418 land units = 22109.122098 per land unit with at most 781,485,687,419,363 from optimum due to 364018(=3.349011%) better options = 71897657.024448 per land unit due to the threshold blocking effective shadow price adjustments
3;Croatia;2035;ClaimRange(type 0 (Urban), NUTS2_merged_LUISA 1 ()) = [min 51274, max 62669]$ 203964 allocated for price {-565,242, 25,786,581}$ ClaimRange(type 0 (Urban), NUTS2_merged_LUISA 2 ()) = [min 54452, max 66553]$ 315856 allocated for price {-1,081,889, 39,219,389}$ ClaimRange(type 1 (Industrial), NUTS2_LUISA 0 ()) = [min 5107, max 6864]$ 68221 allocated for price {-1,080,674, 38,955,230}$ ClaimRange(type 1 (Industrial), NUTS2_LUISA 1 ()) = [min 5420, max 7305]$ 23854 allocated for price {-1,117,205, 24,894,086}$ ClaimRange(type 12 (NewEnergyCrops), Capri 0 ()) = [min 0, max 0]$ 4097 allocated for price {-1,337,606, 21,697,097}
4;Cyprus;2020;ClaimRange(type 4 (Pastures), Capri 0 ()) = [min 354702, max 481694]$ 147544 allocated for price {1,129,888, 724,663}
5;Czechia;;DiscrAlloc completed for 119 tiles with a total magnified suitability of 158,204,228,448 over 7753968 land units = 20403.002495 per land unit with at most 839,059,912,355,327 from optimum due to 390818(=5.040232%) better options = 108210391.422215 per land unit due to the threshold blocking effective shadow price adjustments
6;Denmark;;DiscrAlloc completed for 63 tiles with a total magnified suitability of 132,903,913,805 over 4074699 land units = 32616.866621 per land unit with at most 1,174,964,508,408,137 from optimum due to 547215(=13.429581%) better options = 288356148.124840 per land unit due to the threshold blocking effective shadow price adjustments
7;Estonia;2035;ClaimRange(type 0 (Urban), NUTS2_merged_LUISA 0 ()) = [min 55802, max 69541]$ 125784 allocated for price {-1,123,949, 34,941,491}$ ClaimRange(type 1 (Industrial), NUTS2_LUISA 0 ()) = [min 15413, max 22192]$ 40190 allocated for price {-1,732,671, 34,812,692}$ ClaimRange(type 4 (Pastures), Capri 0 ()) = [min 308551, max 419021]$ 435996 allocated for price {-316,272, 9,551,754}$ ClaimRange(type 12 (NewEnergyCrops), Capri 0 ()) = [min 0, max 0]$ 65 allocated for price {-1,290,332, 17,382,347}
8;Finland;2035;ClaimRange(type 0 (Urban), NUTS2_merged_LUISA 0 ()) = [min 34931, max 43204]$ 45298 allocated for price {-224,999, -251,621}$ ClaimRange(type 0 (Urban), NUTS2_merged_LUISA 3 ()) = [min 49032, max 60522]$ 83829 allocated for price {-323,783, 235,131,152}$ ClaimRange(type 0 (Urban), NUTS2_merged_LUISA 4 ()) = [min 2707, max 3444]$ 5134 allocated for price {-224,999, 98,770}$ ClaimRange(type 1 (Industrial), NUTS2_LUISA 1 ()) = [min 174, max 249]$ 1456 allocated for price {-224,999, -21,506,093}$ ClaimRange(type 1 (Industrial), NUTS2_LUISA 2 ()) = [min 7609, max 10160]$ 37247 allocated for price {-224,999, -14,701,009}$ ClaimRange(type 1 (Industrial), NUTS2_LUISA 4 ()) = [min 7900, max 10699]$ 42668 allocated for price {-323,783, 223,303,329}$ ClaimRange(type 12 (NewEnergyCrops), Capri 0 ()) = [min 0, max 0]$ 637 allocated for price {-286,918, -253,357,913}$ ClaimRange(type 12 (NewEnergyCrops), Capri 3 ()) = [min 0, max 0]$ 65 allocated for price {-520,179, -82,964,308}$ ClaimRange(type 12 (NewEnergyCrops), Capri 4 ()) = [min 0, max 0]$ 156 allocated for price {-232,278, -48,614,534}
9;France;2020;ClaimRange(type 0 (Urban), NUTS2_merged_LUISA 4 ()) = [min 124452, max 153544]$ 154492 allocated for price {-603,539, 171,668,496}$ ClaimRange(type 1 (Industrial), NUTS2_LUISA 9 ()) = [min 18643, max 25680]$ 25864 allocated for price {-1,531,165, 223,184,259}$ ClaimRange(type 2 (Arable), Capri 21 ()) = [min 20970, max 28478]$ 19335 allocated for price {956,562, 150,895,361}$ ClaimRange(type 4 (Pastures), Capri 4 ()) = [min 199524, max 270959]$ 272767 allocated for price {-1,137,202, 107,042,568}$ ClaimRange(type 4 (Pastures), Capri 21 ()) = [min 598983, max 813434]$ 523895 allocated for price {1,531,249, 50,581,275}
