Region,Year,OtherArableMin,OtherArableMax,PermCropMin,PermCropMax,PastureMin,PastureMax
AT00,2010,1448060,1448060,72223,72223,1548687,1548687
AT00,2011,1444219,1444219,73595,73595,1517071,1517071
AT00,2012,1440829,1440829,72912,72912,1485321,1485321
AT00,2013,1434942,1434942,73335,73335,1456465,1456465
AT00,2014,1426692,1426692,74273,74273,1430394,1430394
AT00,2015,1411735,1411735,73367,73367,1402922,1402922
AT00,2016,1404436,1404436,77842,77842,1370479,1370479
AT00,2017,1403931,1403931,85554,85554,1353185,1353185
AT00,2018,1419533,1419533,83522,83522,1379490,1379490
AT00,2019,1435136,1435136,81491,81491,1405795,1405795
AT00,2020,1450739,1450739,79460,79460,1432100,1432100
AT00,2021,1445483,1445483,79537,79537,1431611,1431611
AT00,2022,1440227,1440227,79615,79615,1431123,1431123
AT00,2023,1434972,1434972,79692,79692,1430635,1430635
AT00,2024,1429716,1429716,79770,79770,1430147,1430147
AT00,2025,1424461,1424461,79848,79848,1429659,1429659
AT00,2026,1417397,1417397,80763,80763,1431047,1431047
AT00,2027,1410333,1410333,81678,81678,1432435,1432435
AT00,2028,1403269,1403269,82593,82593,1433824,1433824
AT00,2029,1396205,1396205,83508,83508,1435212,1435212
AT00,2030,1389142,1389142,84423,84423,1436601,1436601
AT00,2031,1387158,1387158,84541,84541,1432955,1432955
AT00,2032,1385174,1385174,84660,84660,1429309,1429309
AT00,2033,1383191,1383191,84778,84778,1425663,1425663
AT00,2034,1381207,1381207,84897,84897,1422017,1422017
AT00,2035,1379224,1379224,85016,85016,1418371,1418371
AT00,2036,1367886,1367886,86003,86003,1424133,1424133
AT00,2037,1356549,1356549,86991,86991,1429895,1429895
AT00,2038,1345212,1345212,87978,87978,1435657,1435657
AT00,2039,1333875,1333875,88966,88966,1441419,1441419
AT00,2040,1322538,1322538,89954,89954,1447182,1447182
AT00,2041,1319963,1319963,96080,96080,1444238,1444238
AT00,2042,1317389,1317389,102206,102206,1441294,1441294
AT00,2043,1314814,1314814,108332,108332,1438350,1438350
AT00,2044,1312240,1312240,114458,114458,1435406,1435406
AT00,2045,1309666,1309666,120584,120584,1432463,1432463
AT00,2046,1305962,1305962,124745,124745,1430702,1430702
AT00,2047,1302258,1302258,128907,128907,1428941,1428941
AT00,2048,1298554,1298554,133068,133068,1427181,1427181
AT00,2049,1294850,1294850,137230,137230,1425420,1425420
AT00,2050,1291146,1291146,141392,141392,1423660,1423660
AT00,2051,1291146,1291146,141392,141392,1423660,1423660
AT00,2052,1291146,1291146,141392,141392,1423660,1423660
AT00,2053,1291146,1291146,141392,141392,1423660,1423660
AT00,2054,1291146,1291146,141392,141392,1423660,1423660
AT00,2055,1291146,1291146,141392,141392,1423660,1423660
