Region,Year,OtherArableMin,OtherArableMax,PermCropMin,PermCropMax,PastureMin,PastureMax
BG00,2010,3393107,3393107,159596,159596,1676692,1676692
BG00,2011,3537865,3537865,164759,164759,1643490,1643490
BG00,2012,3542524,3542524,162497,162497,1610946,1610946
BG00,2013,3546890,3546890,151458,151458,1579046,1579046
BG00,2014,3551034,3551034,131741,131741,1547777,1547777
BG00,2015,3516058,3516058,137491,137491,1526341,1526341
BG00,2016,3518277,3518277,168857,168857,1489797,1489797
BG00,2017,3556472,3556472,156672,156672,1475866,1475866
BG00,2018,3566403,3566403,149914,149914,1479277,1479277
BG00,2019,3576334,3576334,143156,143156,1482688,1482688
BG00,2020,3586265,3586265,136399,136399,1486100,1486100
BG00,2021,3580667,3580667,133860,133860,1481582,1481582
BG00,2022,3575070,3575070,131322,131322,1477064,1477064
BG00,2023,3569473,3569473,128783,128783,1472546,1472546
BG00,2024,3563876,3563876,126245,126245,1468028,1468028
BG00,2025,3558279,3558279,123707,123707,1463511,1463511
BG00,2026,3548235,3548235,122236,122236,1463512,1463512
BG00,2027,3538192,3538192,120766,120766,1463514,1463514
BG00,2028,3528149,3528149,119295,119295,1463516,1463516
BG00,2029,3518106,3518106,117825,117825,1463518,1463518
BG00,2030,3508063,3508063,116355,116355,1463520,1463520
BG00,2031,3503181,3503181,114531,114531,1462546,1462546
BG00,2032,3498299,3498299,112708,112708,1461572,1461572
BG00,2033,3493417,3493417,110884,110884,1460598,1460598
BG00,2034,3488535,3488535,109061,109061,1459624,1459624
BG00,2035,3483653,3483653,107238,107238,1458650,1458650
BG00,2036,3485736,3485736,106272,106272,1458155,1458155
BG00,2037,3487819,3487819,105307,105307,1457660,1457660
BG00,2038,3489902,3489902,104341,104341,1457165,1457165
BG00,2039,3491985,3491985,103376,103376,1456670,1456670
BG00,2040,3494069,3494069,102411,102411,1456175,1456175
BG00,2041,3491301,3491301,101964,101964,1457639,1457639
BG00,2042,3488533,3488533,101517,101517,1459103,1459103
BG00,2043,3485766,3485766,101071,101071,1460567,1460567
BG00,2044,3482998,3482998,100624,100624,1462031,1462031
BG00,2045,3480231,3480231,100178,100178,1463496,1463496
BG00,2046,3476760,3476760,99549,99549,1463496,1463496
BG00,2047,3473289,3473289,98920,98920,1463496,1463496
BG00,2048,3469818,3469818,98291,98291,1463496,1463496
BG00,2049,3466347,3466347,97662,97662,1463496,1463496
BG00,2050,3462877,3462877,97034,97034,1463497,1463497
BG00,2051,3462877,3462877,97034,97034,1463497,1463497
BG00,2052,3462877,3462877,97034,97034,1463497,1463497
BG00,2053,3462877,3462877,97034,97034,1463497,1463497
BG00,2054,3462877,3462877,97034,97034,1463497,1463497
BG00,2055,3462877,3462877,97034,97034,1463497,1463497
BG00,2056,3462877,3462877,97034,97034,1463497,1463497
BG00,2057,3462877,3462877,97034,97034,1463497,1463497
BG00,2058,3462877,3462877,97034,97034,1463497,1463497
BG00,2059,3462877,3462877,97034,97034,1463497,1463497
BG00,2060,3462877,3462877,97034,97034,1463497,1463497
BG00,2061,3462877,3462877,97034,97034,1463497,1463497
BG00,2062,3462877,3462877,97034,97034,1463497,1463497
BG00,2063,3462877,3462877,97034,97034,1463497,1463497
BG00,2064,3462877,3462877,97034,97034,1463497,1463497
BG00,2065,3462877,3462877,97034,97034,1463497,1463497
BG00,2066,3462877,3462877,97034,97034,1463497,1463497
BG00,2067,3462877,3462877,97034,97034,1463497,1463497
BG00,2068,3462877,3462877,97034,97034,1463497,1463497
BG00,2069,3462877,3462877,97034,97034,1463497,1463497
BG00,2070,3462877,3462877,97034,97034,1463497,1463497
BG01,2010,768314,768314,16511,16511,305932,305932
BG01,2011,772215,772215,10439,10439,304299,304299
BG01,2012,774080,774080,15737,15737,294699,294699
BG01,2013,776021,776021,17059,17059,292852,292852
BG01,2014,777964,777964,13760,13760,287452,287452
BG01,2015,781787,781787,11687,11687,274149,274149
BG01,2016,785484,785484,23932,23932,260678,260678
BG01,2017,782466,782466,23590,23590,269577,269577
BG01,2018,785543,785543,19204,19204,268084,268084
BG01,2019,788620,788620,14819,14819,266591,266591
BG01,2020,791697,791697,10434,10434,265098,265098
BG01,2021,791755,791755,10077,10077,262581,262581
BG01,2022,791813,791813,9721,9721,260064,260064
BG01,2023,791871,791871,9365,9365,257547,257547
BG01,2024,791929,791929,9009,9009,255030,255030
BG01,2025,791987,791987,8653,8653,252514,252514
BG01,2026,789604,789604,8461,8461,250937,250937
BG01,2027,787222,787222,8270,8270,249360,249360
BG01,2028,784840,784840,8079,8079,247783,247783
BG01,2029,782458,782458,7888,7888,246206,246206
BG01,2030,780076,780076,7697,7697,244630,244630
BG01,2031,778576,778576,7478,7478,242797,242797
BG01,2032,777076,777076,7260,7260,240964,240964
BG01,2033,775577,775577,7042,7042,239132,239132
BG01,2034,774077,774077,6824,6824,237299,237299
BG01,2035,772578,772578,6606,6606,235467,235467
BG01,2036,768337,768337,6500,6500,237467,237467
BG01,2037,764096,764096,6394,6394,239467,239467
BG01,2038,759855,759855,6288,6288,241467,241467
BG01,2039,755614,755614,6182,6182,243467,243467
BG01,2040,751374,751374,6077,6077,245467,245467
BG01,2041,747981,747981,5995,5995,246155,246155
BG01,2042,744589,744589,5913,5913,246843,246843
BG01,2043,741196,741196,5832,5832,247531,247531
BG01,2044,737804,737804,5750,5750,248219,248219
BG01,2045,734412,734412,5669,5669,248908,248908
BG01,2046,731065,731065,5557,5557,249267,249267
BG01,2047,727719,727719,5446,5446,249626,249626
BG01,2048,724373,724373,5335,5335,249986,249986
BG01,2049,721027,721027,5224,5224,250345,250345
BG01,2050,717681,717681,5113,5113,250705,250705
BG01,2051,717681,717681,5113,5113,250705,250705
BG01,2052,717681,717681,5113,5113,250705,250705
BG01,2053,717681,717681,5113,5113,250705,250705
BG01,2054,717681,717681,5113,5113,250705,250705
BG01,2055,717681,717681,5113,5113,250705,250705
BG01,2056,717681,717681,5113,5113,250705,250705
BG01,2057,717681,717681,5113,5113,250705,250705
BG01,2058,717681,717681,5113,5113,250705,250705
BG01,2059,717681,717681,5113,5113,250705,250705
BG01,2060,717681,717681,5113,5113,250705,250705
BG01,2061,717681,717681,5113,5113,250705,250705
BG01,2062,717681,717681,5113,5113,250705,250705
BG01,2063,717681,717681,5113,5113,250705,250705
BG01,2064,717681,717681,5113,5113,250705,250705
BG01,2065,717681,717681,5113,5113,250705,250705
BG01,2066,717681,717681,5113,5113,250705,250705
BG01,2067,717681,717681,5113,5113,250705,250705
BG01,2068,717681,717681,5113,5113,250705,250705
BG01,2069,717681,717681,5113,5113,250705,250705
BG01,2070,717681,717681,5113,5113,250705,250705
BG02,2010,679906,679906,15586,15586,165090,165090
BG02,2011,694341,694341,17368,17368,143553,143553
BG02,2012,696360,696360,18511,18511,135173,135173
BG02,2013,698301,698301,22060,22060,125817,125817
BG02,2014,700226,700226,20016,20016,123232,123232
BG02,2015,693388,693388,22684,22684,122044,122044
BG02,2016,693516,693516,34701,34701,122233,122233
BG02,2017,704993,704993,35795,35795,117232,117232
BG02,2018,706380,706380,32224,32224,115677,115677
BG02,2019,707768,707768,28654,28654,114123,114123
BG02,2020,709156,709156,25084,25084,112569,112569
BG02,2021,708442,708442,24718,24718,111570,111570
BG02,2022,707728,707728,24352,24352,110572,110572
BG02,2023,707014,707014,23986,23986,109573,109573
BG02,2024,706300,706300,23620,23620,108575,108575
BG02,2025,705586,705586,23255,23255,107577,107577
BG02,2026,703133,703133,23194,23194,107236,107236
BG02,2027,700680,700680,23133,23133,106896,106896
BG02,2028,698227,698227,23072,23072,106556,106556
BG02,2029,695774,695774,23011,23011,106216,106216
BG02,2030,693321,693321,22950,22950,105876,105876
BG02,2031,691702,691702,22708,22708,105158,105158
BG02,2032,690084,690084,22466,22466,104441,104441
BG02,2033,688465,688465,22225,22225,103723,103723
BG02,2034,686847,686847,21983,21983,103006,103006
BG02,2035,685229,685229,21742,21742,102289,102289
BG02,2036,684257,684257,21611,21611,101529,101529
BG02,2037,683286,683286,21480,21480,100769,100769
BG02,2038,682314,682314,21349,21349,100010,100010
BG02,2039,681343,681343,21218,21218,99250,99250
BG02,2040,680372,680372,21087,21087,98491,98491
BG02,2041,678388,678388,21079,21079,98522,98522
BG02,2042,676404,676404,21072,21072,98554,98554
BG02,2043,674420,674420,21064,21064,98585,98585
BG02,2044,672436,672436,21057,21057,98617,98617
BG02,2045,670452,670452,21050,21050,98649,98649
BG02,2046,668813,668813,21017,21017,98017,98017
BG02,2047,667174,667174,20985,20985,97385,97385
BG02,2048,665536,665536,20953,20953,96753,96753
BG02,2049,663897,663897,20921,20921,96121,96121
BG02,2050,662259,662259,20889,20889,95489,95489
BG02,2051,662259,662259,20889,20889,95489,95489
BG02,2052,662259,662259,20889,20889,95489,95489
BG02,2053,662259,662259,20889,20889,95489,95489
BG02,2054,662259,662259,20889,20889,95489,95489
BG02,2055,662259,662259,20889,20889,95489,95489
BG02,2056,662259,662259,20889,20889,95489,95489
BG02,2057,662259,662259,20889,20889,95489,95489
BG02,2058,662259,662259,20889,20889,95489,95489
BG02,2059,662259,662259,20889,20889,95489,95489
BG02,2060,662259,662259,20889,20889,95489,95489
BG02,2061,662259,662259,20889,20889,95489,95489
BG02,2062,662259,662259,20889,20889,95489,95489
BG02,2063,662259,662259,20889,20889,95489,95489
BG02,2064,662259,662259,20889,20889,95489,95489
BG02,2065,662259,662259,20889,20889,95489,95489
BG02,2066,662259,662259,20889,20889,95489,95489
BG02,2067,662259,662259,20889,20889,95489,95489
BG02,2068,662259,662259,20889,20889,95489,95489
BG02,2069,662259,662259,20889,20889,95489,95489
BG02,2070,662259,662259,20889,20889,95489,95489
BG03,2010,787333,787333,23019,23019,100655,100655
BG03,2011,805079,805079,22123,22123,95250,95250
BG03,2012,807700,807700,22355,22355,90834,90834
BG03,2013,810380,810380,26004,26004,96894,96894
BG03,2014,812936,812936,22655,22655,87449,87449
BG03,2015,805221,805221,28773,28773,86369,86369
BG03,2016,805828,805828,37729,37729,85162,85162
BG03,2017,819519,819519,43518,43518,76039,76039
BG03,2018,817586,817586,36413,36413,78357,78357
BG03,2019,815654,815654,29309,29309,80675,80675
BG03,2020,813722,813722,22205,22205,82993,82993
BG03,2021,813170,813170,22038,22038,82571,82571
BG03,2022,812619,812619,21871,21871,82149,82149
BG03,2023,812067,812067,21705,21705,81728,81728
BG03,2024,811516,811516,21538,21538,81306,81306
BG03,2025,810965,810965,21372,21372,80885,80885
BG03,2026,810264,810264,21391,21391,80677,80677
BG03,2027,809564,809564,21410,21410,80470,80470
BG03,2028,808863,808863,21429,21429,80263,80263
BG03,2029,808163,808163,21448,21448,80056,80056
BG03,2030,807463,807463,21467,21467,79849,79849
BG03,2031,807658,807658,21269,21269,79449,79449
BG03,2032,807853,807853,21071,21071,79050,79050
BG03,2033,808048,808048,20873,20873,78650,78650
BG03,2034,808243,808243,20675,20675,78251,78251
BG03,2035,808438,808438,20478,20478,77852,77852
BG03,2036,809791,809791,20338,20338,77243,77243
BG03,2037,811144,811144,20199,20199,76634,76634
BG03,2038,812497,812497,20060,20060,76025,76025
BG03,2039,813850,813850,19921,19921,75416,75416
BG03,2040,815204,815204,19782,19782,74808,74808
BG03,2041,815727,815727,19934,19934,74466,74466
BG03,2042,816251,816251,20086,20086,74125,74125
BG03,2043,816775,816775,20239,20239,73783,73783
BG03,2044,817299,817299,20391,20391,73442,73442
BG03,2045,817823,817823,20544,20544,73101,73101
BG03,2046,818212,818212,20586,20586,72880,72880
BG03,2047,818601,818601,20629,20629,72660,72660
BG03,2048,818990,818990,20671,20671,72439,72439
BG03,2049,819379,819379,20714,20714,72219,72219
BG03,2050,819769,819769,20757,20757,71999,71999
BG03,2051,819769,819769,20757,20757,71999,71999
BG03,2052,819769,819769,20757,20757,71999,71999
BG03,2053,819769,819769,20757,20757,71999,71999
BG03,2054,819769,819769,20757,20757,71999,71999
BG03,2055,819769,819769,20757,20757,71999,71999
BG03,2056,819769,819769,20757,20757,71999,71999
BG03,2057,819769,819769,20757,20757,71999,71999
BG03,2058,819769,819769,20757,20757,71999,71999
BG03,2059,819769,819769,20757,20757,71999,71999
BG03,2060,819769,819769,20757,20757,71999,71999
BG03,2061,819769,819769,20757,20757,71999,71999
BG03,2062,819769,819769,20757,20757,71999,71999
BG03,2063,819769,819769,20757,20757,71999,71999
BG03,2064,819769,819769,20757,20757,71999,71999
BG03,2065,819769,819769,20757,20757,71999,71999
BG03,2066,819769,819769,20757,20757,71999,71999
BG03,2067,819769,819769,20757,20757,71999,71999
BG03,2068,819769,819769,20757,20757,71999,71999
BG03,2069,819769,819769,20757,20757,71999,71999
BG03,2070,819769,819769,20757,20757,71999,71999
BG04,2010,238530,238530,43184,43184,387715,387715
BG04,2011,238540,238540,44119,44119,385055,385055
BG04,2012,236969,236969,38851,38851,380401,380401
BG04,2013,235334,235334,27562,27562,366498,366498
BG04,2014,233661,233661,22417,22417,356746,356746
BG04,2015,230942,230942,18403,18403,356443,356443
BG04,2016,231375,231375,18699,18699,350883,350883
BG04,2017,227613,227613,10611,10611,344529,344529
BG04,2018,231631,231631,17388,17388,344830,344830
BG04,2019,235649,235649,24165,24165,345132,345132
BG04,2020,239667,239667,30942,30942,345434,345434
