Region,Year,OtherArableMin,OtherArableMax,PermCropMin,PermCropMax,PastureMin,PastureMax
CY00,2010,124969,124969,37767,37767,1365,1365
CY00,2011,124076,124076,36377,36377,1267,1267
CY00,2012,123183,123183,34735,34735,1351,1351
CY00,2013,122290,122290,40169,40169,885,885
CY00,2014,121397,121397,39470,39470,1378,1378
CY00,2015,122637,122637,34273,34273,2470,2470
CY00,2016,131145,131145,34091,34091,1085,1085
CY00,2017,118927,118927,34053,34053,1188,1188
CY00,2018,119526,119526,33642,33642,1310,1310
CY00,2019,120126,120126,33231,33231,1432,1432
CY00,2020,120726,120726,32821,32821,1555,1555
CY00,2021,120486,120486,32605,32605,1555,1555
CY00,2022,120246,120246,32389,32389,1555,1555
CY00,2023,120006,120006,32173,32173,1555,1555
CY00,2024,119766,119766,31957,31957,1555,1555
CY00,2025,119526,119526,31741,31741,1555,1555
CY00,2026,119283,119283,32424,32424,1555,1555
CY00,2027,119040,119040,33107,33107,1555,1555
CY00,2028,118798,118798,33790,33790,1555,1555
CY00,2029,118555,118555,34473,34473,1555,1555
CY00,2030,118313,118313,35157,35157,1555,1555
CY00,2031,118077,118077,33996,33996,1555,1555
CY00,2032,117841,117841,32835,32835,1555,1555
CY00,2033,117605,117605,31675,31675,1555,1555
CY00,2034,117369,117369,30514,30514,1555,1555
CY00,2035,117133,117133,29354,29354,1555,1555
CY00,2036,117157,117157,28711,28711,1555,1555
CY00,2037,117181,117181,28068,28068,1555,1555
CY00,2038,117205,117205,27426,27426,1555,1555
CY00,2039,117229,117229,26783,26783,1555,1555
CY00,2040,117254,117254,26141,26141,1555,1555
CY00,2041,117081,117081,26081,26081,1584,1584
CY00,2042,116908,116908,26021,26021,1613,1613
CY00,2043,116735,116735,25962,25962,1642,1642
CY00,2044,116562,116562,25902,25902,1671,1671
CY00,2045,116389,116389,25843,25843,1700,1700
CY00,2046,116158,116158,25896,25896,1736,1736
CY00,2047,115928,115928,25950,25950,1773,1773
CY00,2048,115697,115697,26003,26003,1810,1810
CY00,2049,115467,115467,26057,26057,1847,1847
CY00,2050,115237,115237,26111,26111,1884,1884
CY00,2051,115237,115237,26111,26111,1884,1884
CY00,2052,115237,115237,26111,26111,1884,1884
CY00,2053,115237,115237,26111,26111,1884,1884
CY00,2054,115237,115237,26111,26111,1884,1884
CY00,2055,115237,115237,26111,26111,1884,1884
CY00,2056,115237,115237,26111,26111,1884,1884
CY00,2057,115237,115237,26111,26111,1884,1884
CY00,2058,115237,115237,26111,26111,1884,1884
CY00,2059,115237,115237,26111,26111,1884,1884
CY00,2060,115237,115237,26111,26111,1884,1884
CY00,2061,115237,115237,26111,26111,1884,1884
CY00,2062,115237,115237,26111,26111,1884,1884
CY00,2063,115237,115237,26111,26111,1884,1884
CY00,2064,115237,115237,26111,26111,1884,1884
CY00,2065,115237,115237,26111,26111,1884,1884
CY00,2066,115237,115237,26111,26111,1884,1884
CY00,2067,115237,115237,26111,26111,1884,1884
CY00,2068,115237,115237,26111,26111,1884,1884
CY00,2069,115237,115237,26111,26111,1884,1884
CY00,2070,115237,115237,26111,26111,1884,1884
