Region,Year,OtherArableMin,OtherArableMax,PermCropMin,PermCropMax,PastureMin,PastureMax
CZ00,2010,2815936,2815936,48520,48520,936476,936476
CZ00,2011,2800730,2800730,55766,55766,947937,947937
CZ00,2012,2786606,2786606,61896,61896,968918,968918
CZ00,2013,2773488,2773488,49559,49559,963993,963993
CZ00,2014,2761293,2761293,50645,50645,977598,977598
CZ00,2015,2720698,2720698,50725,50725,972516,972516
CZ00,2016,2711666,2711666,55588,55588,963942,963942
CZ00,2017,2725867,2725867,78511,78511,981133,981133
CZ00,2018,2721065,2721065,70734,70734,979480,979480
CZ00,2019,2716263,2716263,62957,62957,977827,977827
CZ00,2020,2711461,2711461,55180,55180,976175,976175
CZ00,2021,2698740,2698740,54656,54656,981549,981549
CZ00,2022,2686019,2686019,54133,54133,986924,986924
CZ00,2023,2673299,2673299,53610,53610,992299,992299
CZ00,2024,2660578,2660578,53087,53087,997674,997674
CZ00,2025,2647858,2647858,52564,52564,1003049,1003049
CZ00,2026,2639787,2639787,52832,52832,1003835,1003835
CZ00,2027,2631716,2631716,53100,53100,1004621,1004621
CZ00,2028,2623646,2623646,53368,53368,1005407,1005407
CZ00,2029,2615575,2615575,53636,53636,1006193,1006193
CZ00,2030,2607505,2607505,53904,53904,1006980,1006980
CZ00,2031,2593502,2593502,53697,53697,1013815,1013815
CZ00,2032,2579499,2579499,53491,53491,1020650,1020650
CZ00,2033,2565497,2565497,53285,53285,1027486,1027486
CZ00,2034,2551494,2551494,53079,53079,1034321,1034321
CZ00,2035,2537492,2537492,52873,52873,1041157,1041157
CZ00,2036,2525970,2525970,53392,53392,1045543,1045543
CZ00,2037,2514448,2514448,53911,53911,1049929,1049929
CZ00,2038,2502926,2502926,54430,54430,1054315,1054315
CZ00,2039,2491404,2491404,54949,54949,1058701,1058701
CZ00,2040,2479882,2479882,55468,55468,1063088,1063088
CZ00,2041,2465172,2465172,55736,55736,1070736,1070736
CZ00,2042,2450463,2450463,56004,56004,1078385,1078385
CZ00,2043,2435753,2435753,56272,56272,1086034,1086034
CZ00,2044,2421044,2421044,56540,56540,1093683,1093683
CZ00,2045,2406335,2406335,56809,56809,1101332,1101332
CZ00,2046,2388874,2388874,57102,57102,1111803,1111803
CZ00,2047,2371414,2371414,57395,57395,1122275,1122275
CZ00,2048,2353954,2353954,57688,57688,1132746,1132746
CZ00,2049,2336494,2336494,57981,57981,1143218,1143218
CZ00,2050,2319034,2319034,58275,58275,1153690,1153690
CZ00,2051,2319034,2319034,58275,58275,1153690,1153690
CZ00,2052,2319034,2319034,58275,58275,1153690,1153690
CZ00,2053,2319034,2319034,58275,58275,1153690,1153690
CZ00,2054,2319034,2319034,58275,58275,1153690,1153690
CZ00,2055,2319034,2319034,58275,58275,1153690,1153690
CZ00,2056,2319034,2319034,58275,58275,1153690,1153690
CZ00,2057,2319034,2319034,58275,58275,1153690,1153690
CZ00,2058,2319034,2319034,58275,58275,1153690,1153690
CZ00,2059,2319034,2319034,58275,58275,1153690,1153690
CZ00,2060,2319034,2319034,58275,58275,1153690,1153690
CZ00,2061,2319034,2319034,58275,58275,1153690,1153690
CZ00,2062,2319034,2319034,58275,58275,1153690,1153690
CZ00,2063,2319034,2319034,58275,58275,1153690,1153690
CZ00,2064,2319034,2319034,58275,58275,1153690,1153690
CZ00,2065,2319034,2319034,58275,58275,1153690,1153690
CZ00,2066,2319034,2319034,58275,58275,1153690,1153690
CZ00,2067,2319034,2319034,58275,58275,1153690,1153690
CZ00,2068,2319034,2319034,58275,58275,1153690,1153690
CZ00,2069,2319034,2319034,58275,58275,1153690,1153690
CZ00,2070,2319034,2319034,58275,58275,1153690,1153690
CZ01,2010,9550,9550,74,74,49,49
CZ01,2011,9416,9416,137,137,50,50
CZ01,2012,9290,9290,102,102,62,62
CZ01,2013,9167,9167,57,57,40,40
CZ01,2014,9043,9043,45,45,27,27
CZ01,2015,8991,8991,83,83,35,35
CZ01,2016,8836,8836,67,67,30,30
CZ01,2017,8643,8643,49,49,39,39
CZ01,2018,8677,8677,80,80,36,36
CZ01,2019,8711,8711,111,111,33,33
CZ01,2020,8745,8745,143,143,31,31
CZ01,2021,8647,8647,139,139,31,31
CZ01,2022,8550,8550,135,135,31,31
CZ01,2023,8452,8452,131,131,31,31
CZ01,2024,8355,8355,127,127,31,31
CZ01,2025,8258,8258,124,124,31,31
CZ01,2026,8153,8153,124,124,31,31
CZ01,2027,8048,8048,125,125,31,31
CZ01,2028,7943,7943,126,126,31,31
CZ01,2029,7838,7838,127,127,31,31
CZ01,2030,7734,7734,128,128,31,31
CZ01,2031,7645,7645,127,127,31,31
CZ01,2032,7556,7556,126,126,31,31
CZ01,2033,7468,7468,126,126,31,31
CZ01,2034,7379,7379,125,125,31,31
