Region,Year,OtherArableMin,OtherArableMax,PermCropMin,PermCropMax,PastureMin,PastureMax
DE00,2010,12465958,12465958,314730,314730,4545949,4545949
DE00,2011,12500917,12500917,315244,315244,4512536,4512536
DE00,2012,12519082,12519082,320720,320720,4502468,4502468
DE00,2013,12537446,12537446,315764,315764,4463620,4463620
DE00,2014,12441829,12441829,318987,318987,4569940,4569940
DE00,2015,12472548,12472548,321464,321464,4487563,4487563
DE00,2016,12325930,12325930,330885,330885,4601500,4601500
DE00,2017,12279669,12279669,342947,342947,4655566,4655566
DE00,2018,12290078,12290078,350446,350446,4614315,4614315
DE00,2019,12300487,12300487,357945,357945,4573064,4573064
DE00,2020,12310897,12310897,365444,365444,4531814,4531814
DE00,2021,12290253,12290253,364554,364554,4531822,4531822
DE00,2022,12269609,12269609,363664,363664,4531831,4531831
DE00,2023,12248965,12248965,362774,362774,4531839,4531839
DE00,2024,12228321,12228321,361884,361884,4531848,4531848
DE00,2025,12207678,12207678,360994,360994,4531857,4531857
DE00,2026,12154086,12154086,360506,360506,4531852,4531852
DE00,2027,12100495,12100495,360019,360019,4531847,4531847
DE00,2028,12046903,12046903,359532,359532,4531842,4531842
DE00,2029,11993312,11993312,359045,359045,4531837,4531837
DE00,2030,11939721,11939721,358558,358558,4531832,4531832
DE00,2031,11935672,11935672,358767,358767,4531831,4531831
DE00,2032,11931624,11931624,358977,358977,4531831,4531831
DE00,2033,11927575,11927575,359186,359186,4531831,4531831
DE00,2034,11923527,11923527,359396,359396,4531831,4531831
DE00,2035,11919479,11919479,359606,359606,4531831,4531831
DE00,2036,11877525,11877525,361552,361552,4531830,4531830
DE00,2037,11835572,11835572,363498,363498,4531830,4531830
DE00,2038,11793619,11793619,365445,365445,4531830,4531830
DE00,2039,11751666,11751666,367391,367391,4531830,4531830
DE00,2040,11709713,11709713,369338,369338,4531830,4531830
DE00,2041,11666674,11666674,370533,370533,4531829,4531829
DE00,2042,11623635,11623635,371728,371728,4531828,4531828
DE00,2043,11580596,11580596,372923,372923,4531827,4531827
DE00,2044,11537557,11537557,374118,374118,4531826,4531826
DE00,2045,11494518,11494518,375313,375313,4531826,4531826
DE00,2046,11442390,11442390,376694,376694,4531828,4531828
DE00,2047,11390262,11390262,378076,378076,4531831,4531831
DE00,2048,11338135,11338135,379457,379457,4531833,4531833
DE00,2049,11286007,11286007,380839,380839,4531836,4531836
DE00,2050,11233880,11233880,382221,382221,4531839,4531839
DE00,2051,11233880,11233880,382221,382221,4531839,4531839
DE00,2052,11233880,11233880,382221,382221,4531839,4531839
DE00,2053,11233880,11233880,382221,382221,4531839,4531839
DE00,2054,11233880,11233880,382221,382221,4531839,4531839
DE00,2055,11233880,11233880,382221,382221,4531839,4531839
DE00,2056,11233880,11233880,382221,382221,4531839,4531839
DE00,2057,11233880,11233880,382221,382221,4531839,4531839
DE00,2058,11233880,11233880,382221,382221,4531839,4531839
DE00,2059,11233880,11233880,382221,382221,4531839,4531839
DE00,2060,11233880,11233880,382221,382221,4531839,4531839
DE00,2061,11233880,11233880,382221,382221,4531839,4531839
DE00,2062,11233880,11233880,382221,382221,4531839,4531839
DE00,2063,11233880,11233880,382221,382221,4531839,4531839
DE00,2064,11233880,11233880,382221,382221,4531839,4531839
DE00,2065,11233880,11233880,382221,382221,4531839,4531839
DE00,2066,11233880,11233880,382221,382221,4531839,4531839
DE00,2067,11233880,11233880,382221,382221,4531839,4531839
DE00,2068,11233880,11233880,382221,382221,4531839,4531839
DE00,2069,11233880,11233880,382221,382221,4531839,4531839
DE00,2070,11233880,11233880,382221,382221,4531839,4531839
DE40,2010,1060593,1060593,17304,17304,253239,253239
DE40,2011,1063958,1063958,17485,17485,250226,250226
DE40,2012,1068436,1068436,17259,17259,247963,247963
DE40,2013,1071774,1071774,17416,17416,241225,241225
DE40,2014,1058445,1058445,16800,16800,254418,254418
DE40,2015,1067102,1067102,15255,15255,257375,257375
DE40,2016,1063176,1063176,22814,22814,253831,253831
DE40,2017,1054290,1054290,25428,25428,256183,256183
DE40,2018,1052850,1052850,24866,24866,254787,254787
DE40,2019,1051411,1051411,24304,24304,253391,253391
DE40,2020,1049972,1049972,23743,23743,251996,251996
DE40,2021,1047210,1047210,24001,24001,252888,252888
DE40,2022,1044448,1044448,24259,24259,253781,253781
DE40,2023,1041686,1041686,24517,24517,254673,254673
DE40,2024,1038924,1038924,24775,24775,255566,255566
DE40,2025,1036162,1036162,25033,25033,256459,256459
DE40,2026,1032329,1032329,25415,25415,255238,255238
DE40,2027,1028497,1028497,25797,25797,254018,254018
DE40,2028,1024665,1024665,26180,26180,252797,252797
DE40,2029,1020833,1020833,26562,26562,251577,251577
DE40,2030,1017001,1017001,26945,26945,250357,250357
DE40,2031,1016355,1016355,27398,27398,251355,251355
DE40,2032,1015709,1015709,27852,27852,252353,252353
DE40,2033,1015064,1015064,28305,28305,253351,253351
DE40,2034,1014418,1014418,28759,28759,254349,254349
DE40,2035,1013773,1013773,29213,29213,255348,255348
DE40,2036,1009774,1009774,29812,29812,255410,255410
DE40,2037,1005775,1005775,30411,30411,255472,255472
DE40,2038,1001777,1001777,31011,31011,255534,255534
DE40,2039,997778,997778,31610,31610,255596,255596
DE40,2040,993780,993780,32210,32210,255659,255659
DE40,2041,989122,989122,32837,32837,256073,256073
DE40,2042,984464,984464,33464,33464,256487,256487
DE40,2043,979807,979807,34091,34091,256901,256901
