Region,Year,OtherArableMin,OtherArableMax,PermCropMin,PermCropMax,PastureMin,PastureMax
DK00,2010,2591717,2591717,21009,21009,201160,201160
DK00,2011,2589922,2589922,22224,22224,189313,189313
DK00,2012,2583613,2583613,22325,22325,196889,196889
DK00,2013,2566427,2566427,22685,22685,199651,199651
DK00,2014,2562351,2562351,22657,22657,208589,208589
DK00,2015,2561560,2561560,22390,22390,218763,218763
DK00,2016,2556383,2556383,22820,22820,222002,222002
DK00,2017,2554898,2554898,27503,27503,222251,222251
DK00,2018,2547854,2547854,27673,27673,221867,221867
DK00,2019,2540810,2540810,27843,27843,221484,221484
DK00,2020,2533767,2533767,28013,28013,221101,221101
DK00,2021,2531851,2531851,27862,27862,221247,221247
DK00,2022,2529935,2529935,27711,27711,221393,221393
DK00,2023,2528019,2528019,27560,27560,221540,221540
DK00,2024,2526103,2526103,27409,27409,221686,221686
DK00,2025,2524188,2524188,27259,27259,221833,221833
DK00,2026,2520324,2520324,27209,27209,221638,221638
DK00,2027,2516461,2516461,27159,27159,221444,221444
DK00,2028,2512597,2512597,27109,27109,221249,221249
DK00,2029,2508734,2508734,27059,27059,221055,221055
DK00,2030,2504871,2504871,27009,27009,220861,220861
DK00,2031,2495380,2495380,26940,26940,224224,224224
DK00,2032,2485889,2485889,26871,26871,227587,227587
DK00,2033,2476399,2476399,26802,26802,230950,230950
DK00,2034,2466908,2466908,26733,26733,234313,234313
DK00,2035,2457418,2457418,26665,26665,237676,237676
DK00,2036,2442138,2442138,26557,26557,242799,242799
DK00,2037,2426858,2426858,26450,26450,247923,247923
DK00,2038,2411578,2411578,26343,26343,253046,253046
DK00,2039,2396298,2396298,26236,26236,258170,258170
DK00,2040,2381019,2381019,26129,26129,263294,263294
DK00,2041,2366838,2366838,25944,25944,268918,268918
DK00,2042,2352657,2352657,25759,25759,274542,274542
DK00,2043,2338476,2338476,25575,25575,280166,280166
DK00,2044,2324295,2324295,25390,25390,285790,285790
DK00,2045,2310114,2310114,25206,25206,291415,291415
DK00,2046,2298908,2298908,25219,25219,297445,297445
DK00,2047,2287703,2287703,25232,25232,303476,303476
DK00,2048,2276498,2276498,25245,25245,309506,309506
DK00,2049,2265293,2265293,25258,25258,315537,315537
DK00,2050,2254088,2254088,25271,25271,321568,321568
DK00,2051,2254088,2254088,25271,25271,321568,321568
DK00,2052,2254088,2254088,25271,25271,321568,321568
DK00,2053,2254088,2254088,25271,25271,321568,321568
DK00,2054,2254088,2254088,25271,25271,321568,321568
DK00,2055,2254088,2254088,25271,25271,321568,321568
DK00,2056,2254088,2254088,25271,25271,321568,321568
DK00,2057,2254088,2254088,25271,25271,321568,321568
DK00,2058,2254088,2254088,25271,25271,321568,321568
DK00,2059,2254088,2254088,25271,25271,321568,321568
DK00,2060,2254088,2254088,25271,25271,321568,321568
DK00,2061,2254088,2254088,25271,25271,321568,321568
DK00,2062,2254088,2254088,25271,25271,321568,321568
DK00,2063,2254088,2254088,25271,25271,321568,321568
DK00,2064,2254088,2254088,25271,25271,321568,321568
DK00,2065,2254088,2254088,25271,25271,321568,321568
DK00,2066,2254088,2254088,25271,25271,321568,321568
DK00,2067,2254088,2254088,25271,25271,321568,321568
DK00,2068,2254088,2254088,25271,25271,321568,321568
DK00,2069,2254088,2254088,25271,25271,321568,321568
DK00,2070,2254088,2254088,25271,25271,321568,321568
