Region,Year,OtherArableMin,OtherArableMax,PermCropMin,PermCropMax,PastureMin,PastureMax
ES00,2010,17154966,17154966,4965836,4965836,6681217,6681217
ES00,2011,17067595,17067595,4861740,4861740,6788835,6788835
ES00,2012,16981476,16981476,4857998,4857998,6894607,6894607
ES00,2013,16893382,16893382,4929271,4929271,6758418,6758418
ES00,2014,16805214,16805214,4975137,4975137,6624276,6624276
ES00,2015,16689436,16689436,5141528,5141528,6489009,6489009
ES00,2016,16647105,16647105,5140553,5140553,6500622,6500622
ES00,2017,16596059,16596059,5226718,5226718,6519164,6519164
ES00,2018,16740600,16740600,5230618,5230618,6482142,6482142
ES00,2019,16885141,16885141,5234518,5234518,6445120,6445120
ES00,2020,17029682,17029682,5238419,5238419,6408099,6408099
ES00,2021,16983002,16983002,5231728,5231728,6408099,6408099
ES00,2022,16936322,16936322,5225038,5225038,6408100,6408100
ES00,2023,16889643,16889643,5218348,5218348,6408101,6408101
ES00,2024,16842963,16842963,5211658,5211658,6408102,6408102
ES00,2025,16796284,16796284,5204968,5204968,6408103,6408103
ES00,2026,16750058,16750058,5209301,5209301,6408100,6408100
ES00,2027,16703833,16703833,5213635,5213635,6408097,6408097
ES00,2028,16657607,16657607,5217968,5217968,6408095,6408095
ES00,2029,16611382,16611382,5222302,5222302,6408092,6408092
ES00,2030,16565157,16565157,5226636,5226636,6408090,6408090
ES00,2031,16519395,16519395,5239293,5239293,6408092,6408092
ES00,2032,16473634,16473634,5251950,5251950,6408095,6408095
ES00,2033,16427872,16427872,5264607,5264607,6408097,6408097
ES00,2034,16382111,16382111,5277264,5277264,6408100,6408100
ES00,2035,16336350,16336350,5289921,5289921,6408103,6408103
ES00,2036,16291047,16291047,5315065,5315065,6408103,6408103
ES00,2037,16245745,16245745,5340210,5340210,6408104,6408104
ES00,2038,16200442,16200442,5365355,5365355,6408104,6408104
ES00,2039,16155140,16155140,5390500,5390500,6408105,6408105
ES00,2040,16109838,16109838,5415645,5415645,6408106,6408106
ES00,2041,16064983,16064983,5570621,5570621,6408105,6408105
ES00,2042,16020128,16020128,5725598,5725598,6408104,6408104
ES00,2043,15975273,15975273,5880575,5880575,6408104,6408104
