Region,Year,ArableMin,ArableMax,PermCropMin,PermCropMax,PastureMin,PastureMax,NewEnergyMin,NewEnergyMax
FI00,2010,1789068,2683602,14034,21051,25376,38065,0,0
FI00,2011,1787600,2681400,14876,22315,25582,38373,0,0
FI00,2012,1786132,2679198,15719,23578,25788,38682,0,0
FI00,2013,1784664,2676996,16561,24842,25993,38990,0,0
FI00,2014,1783196,2674794,17404,26106,26199,39298,0,0
FI00,2015,1781728,2672592,18246,27369,26404,39607,0,0
FI00,2016,1777920,2666880,18229,27343,26590,39885,0,0
FI00,2017,1774113,2661169,18211,27317,26776,40164,0,0
FI00,2018,1770305,2655458,18194,27291,26961,40442,0,0
FI00,2019,1766498,2649747,18177,27265,27147,40720,0,0
FI00,2020,1762691,2644036,18160,27240,27332,40999,0,0
FI00,2021,1759463,2639195,18205,27307,27707,41561,0,0
FI00,2022,1756235,2634353,18250,27375,28082,42123,0,0
FI00,2023,1753007,2629511,18295,27443,28457,42686,0,0
FI00,2024,1749779,2624669,18340,27510,28832,43248,0,0
FI00,2025,1746552,2619828,18385,27578,29207,43810,0,0
FI00,2026,1745109,2617664,18439,27659,29411,44116,0,0
FI00,2027,1743666,2615500,18493,27740,29615,44422,0,0
FI00,2028,1742224,2613336,18547,27821,29819,44728,0,0
FI00,2029,1740781,2611172,18601,27902,30023,45034,0,0
FI00,2030,1739339,2609008,18656,27984,30227,45340,0,0
FI00,2031,1738568,2607852,18691,28037,30307,45461,0,0
FI00,2032,1737798,2606697,18727,28090,30388,45582,0,0
FI00,2033,1737027,2605541,18762,28143,30469,45703,0,0
FI00,2034,1736256,2604385,18798,28197,30549,45824,0,0
FI00,2035,1735486,2603229,18833,28250,30630,45945,0,0
FI00,2036,1733465,2600197,18875,28313,30705,46058,0,0
FI00,2037,1731443,2597165,18918,28377,30780,46170,0,0
FI00,2038,1729422,2594133,18960,28440,30855,46283,0,0
FI00,2039,1727401,2591101,19002,28503,30930,46395,0,0
FI00,2040,1725380,2588070,19044,28567,31005,46508,0,0
FI00,2041,1725132,2587698,19116,28674,31144,46717,0,0
FI00,2042,1724884,2587326,19187,28780,31284,46926,0,0
FI00,2043,1724636,2586955,19258,28887,31423,47134,0,0
FI00,2044,1724389,2586583,19329,28994,31562,47343,0,0
FI00,2045,1724141,2586212,19400,29101,31701,47552,0,0
FI00,2046,1724641,2586962,19470,29205,31813,47720,0,0
FI00,2047,1725141,2587711,19540,29310,31925,47888,0,0
FI00,2048,1725641,2588461,19609,29414,32037,48056,0,0
FI00,2049,1726140,2589211,19679,29518,32149,48224,0,0
FI00,2050,1726640,2589961,19748,29623,32261,48392,0,0
FI00,2051,1727470,2591206,19817,29726,32393,48590,0,0
FI00,2052,1728300,2592450,19886,29829,32525,48788,0,0
FI00,2053,1729130,2593695,19955,29932,32657,48986,0,0
FI00,2054,1729960,2594940,20024,30036,32789,49184,0,0
FI00,2055,1730790,2596185,20092,30139,32921,49382,0,0
FI00,2056,1731598,2597397,20160,30240,33052,49579,0,0
FI00,2057,1732406,2598609,20227,30341,33184,49776,0,0
FI00,2058,1733213,2599820,20295,30443,33315,49973,0,0
FI00,2059,1734021,2601032,20362,30544,33447,50170,0,0
FI00,2060,1734829,2602244,20430,30645,33578,50367,0,0
FI00,2061,1733937,2600905,20488,30732,33667,50501,0,0
FI00,2062,1733044,2599566,20545,30818,33756,50634,0,0
FI00,2063,1732152,2598228,20603,30904,33845,50767,0,0
FI00,2064,1731259,2596889,20660,30991,33934,50901,0,0
FI00,2065,1730367,2595550,20718,31077,34023,51034,0,0
FI00,2066,1729793,2594690,20779,31169,34118,51178,0,0
FI00,2067,1729220,2593830,20840,31260,34214,51321,0,0
FI00,2068,1728647,2592971,20901,31352,34310,51465,0,0
FI00,2069,1728074,2592111,20962,31444,34405,51608,0,0
FI00,2070,1727500,2591251,21024,31536,34501,51752,0,0
FI13,2010,253115,379672,2060,3091,3628,5442,0,0
FI13,2011,253121,379682,2259,3389,3470,5205,0,0
FI13,2012,253128,379692,2458,3688,3312,4969,0,0
FI13,2013,253135,379703,2657,3986,3155,4732,0,0
FI13,2014,253142,379713,2856,4285,2997,4496,0,0
FI13,2015,253148,379723,3056,4584,2840,4260,0,0
FI13,2016,252195,378293,3053,4580,2905,4357,0,0
FI13,2017,251242,376863,3051,4577,2970,4455,0,0
FI13,2018,250289,375434,3049,4574,3035,4553,0,0
FI13,2019,249336,374004,3047,4571,3101,4651,0,0
FI13,2020,248383,372574,3045,4568,3166,4749,0,0
FI13,2021,247569,371353,3064,4596,3262,4893,0,0
FI13,2022,246755,370132,3083,4625,3358,5037,0,0
FI13,2023,245940,368911,3102,4654,3453,5180,0,0
FI13,2024,245126,367690,3121,4682,3549,5324,0,0
FI13,2025,244312,366469,3140,4711,3645,5468,0,0
FI13,2026,243775,365663,3145,4717,3729,5593,0,0
FI13,2027,243238,364858,3149,4724,3812,5719,0,0
FI13,2028,242701,364052,3153,4730,3896,5844,0,0
FI13,2029,242164,363247,3158,4737,3980,5970,0,0
FI13,2030,241628,362442,3162,4743,4064,6096,0,0
FI13,2031,241222,361834,3151,4727,4138,6207,0,0
FI13,2032,240817,361226,3141,4711,4213,6319,0,0
FI13,2033,240412,360618,3130,4696,4287,6431,0,0
FI13,2034,240007,360011,3120,4680,4362,6543,0,0
FI13,2035,239602,359403,3109,4664,4436,6655,0,0
FI13,2036,239150,358725,3099,4649,4517,6775,0,0
FI13,2037,238698,358047,3089,4634,4597,6896,0,0
FI13,2038,238246,357369,3079,4619,4677,7016,0,0
FI13,2039,237794,356691,3069,4603,4758,7137,0,0
FI13,2040,237342,356013,3059,4588,4838,7257,0,0
FI13,2041,237111,355667,3060,4590,4936,7404,0,0
FI13,2042,236881,355321,3060,4591,5034,7552,0,0
FI13,2043,236650,354976,3061,4592,5133,7699,0,0
FI13,2044,236420,354630,3062,4593,5231,7847,0,0
FI13,2045,236189,354284,3063,4594,5329,7994,0,0
FI13,2046,236059,354089,3067,4600,5432,8148,0,0
FI13,2047,235929,353894,3070,4606,5535,8302,0,0
FI13,2048,235799,353699,3074,4612,5637,8456,0,0
FI13,2049,235669,353504,3078,4617,5740,8610,0,0
FI13,2050,235540,353310,3082,4623,5843,8764,0,0
FI13,2051,235468,353202,3083,4624,5959,8938,0,0
FI13,2052,235396,353095,3083,4625,6075,9112,0,0
FI13,2053,235325,352988,3084,4626,6191,9286,0,0
FI13,2054,235253,352880,3084,4627,6307,9460,0,0
FI13,2055,235182,352773,3085,4628,6423,9634,0,0
FI13,2056,235258,352888,3087,4631,6550,9825,0,0
FI13,2057,235335,353002,3089,4634,6677,10015,0,0
FI13,2058,235411,353117,3091,4637,6804,10206,0,0
FI13,2059,235487,353231,3093,4639,6931,10397,0,0
FI13,2060,235564,353346,3095,4642,7058,10587,0,0
FI13,2061,235297,352946,3095,4643,7187,10781,0,0
FI13,2062,235031,352547,3096,4644,7316,10974,0,0
FI13,2063,234765,352147,3096,4644,7445,11168,0,0
FI13,2064,234499,351748,3097,4645,7574,11362,0,0
FI13,2065,234232,351349,3097,4646,7704,11556,0,0
FI13,2066,234043,351065,3099,4648,7846,11769,0,0
FI13,2067,233854,350781,3100,4650,7988,11983,0,0
FI13,2068,233665,350498,3101,4652,8131,12196,0,0
FI13,2069,233476,350214,3103,4655,8273,12410,0,0
FI13,2070,233287,349930,3104,4657,8416,12624,0,0
FI18,2010,664521,996782,6193,9290,5801,8702,0,0
FI18,2011,663900,995850,6392,9588,6038,9057,0,0
FI18,2012,663279,994919,6590,9886,6275,9412,0,0
FI18,2013,662658,993987,6789,10183,6512,9768,0,0
FI18,2014,662037,993055,6987,10481,6748,10123,0,0
FI18,2015,661416,992124,7186,10779,6985,10478,0,0
FI18,2016,661394,992091,7208,10813,6966,10449,0,0
FI18,2017,661373,992059,7231,10847,6947,10420,0,0
FI18,2018,661351,992027,7254,10881,6928,10392,0,0
FI18,2019,661330,991995,7276,10914,6908,10363,0,0
FI18,2020,661308,991963,7299,10948,6889,10334,0,0
FI18,2021,660931,991397,7332,10998,6907,10361,0,0
FI18,2022,660553,990830,7365,11048,6925,10388,0,0
FI18,2023,660176,990264,7399,11098,6943,10415,0,0
FI18,2024,659799,989698,7432,11148,6961,10441,0,0
FI18,2025,659421,989132,7465,11198,6979,10468,0,0
FI18,2026,659623,989434,7494,11242,6977,10466,0,0
FI18,2027,659824,989737,7524,11286,6976,10464,0,0
FI18,2028,660026,990039,7553,11330,6974,10461,0,0
FI18,2029,660228,990342,7582,11374,6972,10459,0,0
FI18,2030,660429,990644,7612,11418,6971,10456,0,0
FI18,2031,660748,991123,7640,11460,6938,10407,0,0
FI18,2032,661068,991602,7669,11503,6905,10357,0,0
FI18,2033,661387,992080,7697,11546,6872,10308,0,0
FI18,2034,661706,992559,7726,11589,6839,10259,0,0
FI18,2035,662025,993038,7755,11632,6806,10209,0,0
FI18,2036,661951,992927,7776,11665,6771,10157,0,0
FI18,2037,661878,992817,7798,11697,6736,10104,0,0
FI18,2038,661804,992706,7820,11730,6701,10051,0,0
FI18,2039,661730,992595,7841,11762,6666,9999,0,0
FI18,2040,661656,992485,7863,11794,6631,9946,0,0
FI18,2041,662068,993102,7895,11843,6609,9914,0,0
FI18,2042,662479,993719,7927,11891,6588,9882,0,0
FI18,2043,662890,994336,7960,11940,6567,9851,0,0
FI18,2044,663302,994953,7992,11988,6546,9819,0,0
FI18,2045,663713,995570,8024,12037,6524,9787,0,0
FI18,2046,664350,996525,8058,12087,6495,9742,0,0
FI18,2047,664987,997480,8091,12137,6465,9698,0,0
FI18,2048,665624,998436,8125,12187,6436,9654,0,0
FI18,2049,666260,999391,8158,12237,6406,9609,0,0
FI18,2050,666897,1000346,8192,12288,6376,9565,0,0
FI18,2051,667606,1001409,8223,12335,6359,9539,0,0
FI18,2052,668314,1002471,8255,12383,6342,9514,0,0
FI18,2053,669023,1003534,8287,12430,6325,9488,0,0
FI18,2054,669731,1004597,8318,12478,6308,9463,0,0
FI18,2055,670440,1005660,8350,12525,6292,9438,0,0
FI18,2056,671367,1007051,8386,12579,6276,9415,0,0
FI18,2057,672295,1008443,8422,12634,6261,9392,0,0
FI18,2058,673223,1009835,8458,12688,6246,9369,0,0
FI18,2059,674151,1011227,8495,12742,6231,9346,0,0
FI18,2060,675079,1012618,8531,12796,6216,9324,0,0
FI18,2061,675333,1013000,8558,12837,6176,9265,0,0
FI18,2062,675588,1013382,8584,12877,6137,9206,0,0
FI18,2063,675843,1013765,8611,12917,6098,9147,0,0
FI18,2064,676098,1014147,8638,12958,6059,9088,0,0
FI18,2065,676352,1014529,8665,12998,6020,9030,0,0
FI18,2066,676735,1015102,8693,13039,5978,8968,0,0
FI18,2067,677117,1015676,8720,13081,5937,8906,0,0
FI18,2068,677500,1016250,8748,13122,5896,8844,0,0
FI18,2069,677882,1016823,8776,13164,5854,8782,0,0
FI18,2070,678264,1017397,8804,13206,5813,8720,0,0
FI19,2010,635019,952528,2578,3867,7332,10998,0,0
FI19,2011,634388,951582,2793,4190,7247,10870,0,0
FI19,2012,633757,950636,3008,4513,7162,10743,0,0
FI19,2013,633127,949690,3224,4836,7077,10615,0,0
FI19,2014,632496,948744,3439,5158,6992,10488,0,0
FI19,2015,631865,947798,3654,5481,6907,10360,0,0
FI19,2016,630858,946287,3632,5448,7066,10599,0,0
FI19,2017,629850,944775,3609,5414,7225,10838,0,0
FI19,2018,628843,943264,3587,5380,7385,11077,0,0
FI19,2019,627835,941753,3564,5347,7544,11316,0,0
FI19,2020,626828,940242,3542,5313,7704,11556,0,0
FI19,2021,626128,939192,3536,5305,7909,11864,0,0
FI19,2022,625429,938143,3531,5296,8114,12172,0,0
FI19,2023,624729,937094,3525,5288,8320,12480,0,0
FI19,2024,624030,936045,3520,5280,8525,12788,0,0
FI19,2025,623331,934996,3514,5271,8731,13096,0,0
FI19,2026,623313,934970,3523,5284,8847,13271,0,0
FI19,2027,623296,934944,3532,5298,8963,13445,0,0
FI19,2028,623279,934919,3540,5311,9080,13620,0,0
FI19,2029,623262,934893,3549,5324,9196,13794,0,0
FI19,2030,623244,934867,3558,5337,9312,13969,0,0
FI19,2031,623376,935064,3569,5354,9386,14080,0,0
FI19,2032,623507,935260,3581,5371,9460,14191,0,0
FI19,2033,623638,935457,3592,5388,9535,14302,0,0
FI19,2034,623769,935654,3603,5405,9609,14413,0,0
FI19,2035,623900,935851,3615,5422,9683,14524,0,0
FI19,2036,623620,935430,3627,5440,9753,14630,0,0
FI19,2037,623340,935010,3638,5458,9824,14736,0,0
FI19,2038,623059,934589,3650,5476,9894,14842,0,0
FI19,2039,622779,934169,3662,5493,9965,14948,0,0
FI19,2040,622499,933748,3674,5511,10036,15054,0,0
FI19,2041,622715,934073,3694,5542,10117,15176,0,0
FI19,2042,622932,934398,3715,5572,10199,15298,0,0
FI19,2043,623148,934722,3735,5603,10280,15421,0,0
FI19,2044,623365,935047,3755,5633,10362,15543,0,0
FI19,2045,623581,935372,3776,5664,10444,15666,0,0
FI19,2046,624028,936043,3797,5696,10511,15767,0,0
FI19,2047,624476,936714,3819,5729,10579,15869,0,0
FI19,2048,624923,937384,3841,5762,10647,15971,0,0
FI19,2049,625370,938055,3863,5795,10715,16073,0,0
FI19,2050,625817,938726,3885,5828,10783,16174,0,0
FI19,2051,626394,939592,3907,5860,10855,16283,0,0
FI19,2052,626972,940458,3928,5893,10928,16392,0,0
