Region,Year,ArableMin,ArableMax,PermCropMin,PermCropMax,PastureMin,PastureMax,NewEnergyMin,NewEnergyMax
EL00,2010,2594580,3891871,911384,1367077,1334028,2001043,0,0
EL00,2011,2592143,3888214,913669,1370503,1336137,2004206,0,0
EL00,2012,2589705,3884558,915953,1373930,1338246,2007369,0,0
EL00,2013,2587268,3880902,918237,1377356,1340354,2010532,0,0
EL00,2014,2584830,3877245,920522,1380783,1342463,2013695,0,0
EL00,2015,2582392,3873589,922806,1384209,1344572,2016858,0,0
EL00,2016,2586289,3879433,920552,1380828,1344492,2016739,0,0
EL00,2017,2590185,3885278,918298,1377448,1344413,2016620,0,0
EL00,2018,2594081,3891122,916045,1374067,1344334,2016501,0,0
EL00,2019,2597978,3896967,913791,1370687,1344255,2016382,0,0
EL00,2020,2601874,3902811,911537,1367306,1344176,2016264,0,0
EL00,2021,2597728,3896592,912898,1369348,1344139,2016209,0,0
EL00,2022,2593582,3890373,914259,1371389,1344103,2016154,0,0
EL00,2023,2589436,3884154,915620,1373431,1344066,2016099,0,0
EL00,2024,2585290,3877936,916982,1375473,1344030,2016045,0,0
EL00,2025,2581144,3871717,918343,1377514,1343993,2015990,0,0
EL00,2026,2580799,3871198,920988,1381482,1343968,2015952,0,0
EL00,2027,2580453,3870679,923633,1385450,1343943,2015915,0,0
EL00,2028,2580107,3870161,926279,1389418,1343918,2015877,0,0
EL00,2029,2579761,3869642,928924,1393386,1343893,2015839,0,0
EL00,2030,2579416,3869124,931569,1397354,1343868,2015802,0,0
EL00,2031,2565943,3848915,938270,1407405,1343891,2015837,0,0
EL00,2032,2552471,3828706,944971,1417456,1343914,2015872,0,0
EL00,2033,2538998,3808497,951672,1427508,1343938,2015907,0,0
EL00,2034,2525526,3788289,958372,1437559,1343961,2015942,0,0
EL00,2035,2512053,3768080,965073,1447610,1343984,2015977,0,0
EL00,2036,2507561,3761342,972407,1458610,1344020,2016031,0,0
EL00,2037,2503069,3754604,979740,1469610,1344057,2016085,0,0
EL00,2038,2498577,3747866,987073,1480610,1344093,2016139,0,0
EL00,2039,2494085,3741128,994407,1491611,1344129,2016194,0,0
EL00,2040,2489593,3734390,1001740,1502611,1344165,2016248,0,0
EL00,2041,2488886,3733330,1009534,1514301,1344201,2016301,0,0
EL00,2042,2488180,3732270,1017327,1525991,1344236,2016355,0,0
EL00,2043,2487473,3731210,1025120,1537680,1344272,2016408,0,0
EL00,2044,2486766,3730150,1032913,1549370,1344308,2016462,0,0
EL00,2045,2486060,3729090,1040707,1561060,1344344,2016516,0,0
EL00,2046,2482978,3724468,1050384,1575576,1344385,2016577,0,0
EL00,2047,2479897,3719846,1060061,1590092,1344426,2016639,0,0
EL00,2048,2476816,3715224,1069739,1604608,1344467,2016701,0,0
EL00,2049,2473734,3710602,1079416,1619124,1344509,2016763,0,0
EL00,2050,2470653,3705980,1089093,1633640,1344550,2016825,0,0
EL00,2051,2478084,3717126,1093283,1639924,1344552,2016828,0,0
EL00,2052,2485515,3728272,1097472,1646209,1344554,2016831,0,0
EL00,2053,2492945,3739418,1101662,1652493,1344556,2016834,0,0
EL00,2054,2500376,3750564,1105852,1658778,1344558,2016838,0,0
EL00,2055,2507807,3761710,1110041,1665062,1344560,2016841,0,0
EL00,2056,2514691,3772036,1114153,1671230,1344558,2016838,0,0
EL00,2057,2521574,3782362,1118265,1677398,1344556,2016835,0,0
EL00,2058,2528458,3792688,1122378,1683567,1344555,2016832,0,0
EL00,2059,2535342,3803013,1126490,1689735,1344553,2016829,0,0
EL00,2060,2542226,3813339,1130602,1695903,1344551,2016826,0,0
EL00,2061,2551787,3827681,1133448,1700173,1344551,2016827,0,0
EL00,2062,2561349,3842023,1136295,1704443,1344552,2016828,0,0
EL00,2063,2570910,3856366,1139142,1708713,1344553,2016829,0,0
EL00,2064,2580472,3870708,1141988,1712982,1344553,2016830,0,0
EL00,2065,2590033,3885050,1144835,1717252,1344554,2016831,0,0
EL00,2066,2597836,3896754,1147672,1721509,1344553,2016830,0,0
EL00,2067,2605638,3908457,1150510,1725766,1344553,2016829,0,0
EL00,2068,2613440,3920161,1153348,1730022,1344552,2016828,0,0
EL00,2069,2621243,3931864,1156186,1734279,1344551,2016827,0,0
EL00,2070,2629045,3943568,1159024,1738536,1344551,2016826,0,0
EL11,2010,311560,467340,37643,56464,131402,197103,0,0
EL11,2011,313307,469961,37154,55732,131504,197257,0,0
EL11,2012,315055,472582,36666,54999,131607,197411,0,0
EL11,2013,316802,475203,36178,54267,131710,197565,0,0
EL11,2014,318550,477825,35689,53534,131812,197718,0,0
