Region,Year,OtherArableMin,OtherArableMax,PermCropMin,PermCropMax,PastureMin,PastureMax
HR00,2010,1005414,1005414,133668,133668,313252,313252
HR00,2011,1004625,1004625,132453,132453,333143,333143
HR00,2012,1003869,1003869,129229,129229,353653,353653
HR00,2013,1003046,1003046,126891,126891,344512,344512
HR00,2014,1002257,1002257,124634,124634,354308,354308
HR00,2015,1001481,1001481,139923,139923,339990,339990
HR00,2016,998522,998522,132890,132890,357441,357441
HR00,2017,1002361,1002361,142766,142766,384172,384172
HR00,2018,997047,997047,138540,138540,379603,379603
HR00,2019,991734,991734,134315,134315,375034,375034
HR00,2020,986421,986421,130090,130090,370465,370465
HR00,2021,982075,982075,130122,130122,374810,374810
HR00,2022,977730,977730,130154,130154,379155,379155
HR00,2023,973385,973385,130187,130187,383500,383500
HR00,2024,969040,969040,130219,130219,387845,387845
HR00,2025,964695,964695,130252,130252,392191,392191
HR00,2026,960597,960597,128900,128900,396287,396287
HR00,2027,956499,956499,127549,127549,400384,400384
HR00,2028,952401,952401,126198,126198,404481,404481
HR00,2029,948303,948303,124847,124847,408578,408578
HR00,2030,944206,944206,123496,123496,412675,412675
HR00,2031,939903,939903,123888,123888,416978,416978
HR00,2032,935600,935600,124280,124280,421282,421282
HR00,2033,931298,931298,124672,124672,425586,425586
HR00,2034,926995,926995,125064,125064,429890,429890
HR00,2035,922693,922693,125456,125456,434194,434194
HR00,2036,919029,919029,127215,127215,437858,437858
HR00,2037,915366,915366,128975,128975,441522,441522
HR00,2038,911703,911703,130735,130735,445186,445186
HR00,2039,908040,908040,132495,132495,448850,448850
HR00,2040,904377,904377,134255,134255,452514,452514
HR00,2041,905561,905561,145097,145097,451328,451328
HR00,2042,906745,906745,155940,155940,450143,450143
HR00,2043,907929,907929,166783,166783,448958,448958
HR00,2044,909113,909113,177626,177626,447773,447773
HR00,2045,910298,910298,188469,188469,446588,446588
HR00,2046,917501,917501,208466,208466,439385,439385
HR00,2047,924704,924704,228463,228463,432182,432182
HR00,2048,931907,931907,248460,248460,424979,424979
HR00,2049,939110,939110,268457,268457,417776,417776
HR00,2050,946314,946314,288454,288454,410573,410573
HR00,2051,946314,946314,288454,288454,410573,410573
HR00,2052,946314,946314,288454,288454,410573,410573
HR00,2053,946314,946314,288454,288454,410573,410573
HR00,2054,946314,946314,288454,288454,410573,410573
HR00,2055,946314,946314,288454,288454,410573,410573
HR00,2056,946314,946314,288454,288454,410573,410573
HR00,2057,946314,946314,288454,288454,410573,410573
HR00,2058,946314,946314,288454,288454,410573,410573
HR00,2059,946314,946314,288454,288454,410573,410573
HR00,2060,946314,946314,288454,288454,410573,410573
HR00,2061,946314,946314,288454,288454,410573,410573
HR00,2062,946314,946314,288454,288454,410573,410573
HR00,2063,946314,946314,288454,288454,410573,410573
HR00,2064,946314,946314,288454,288454,410573,410573
HR00,2065,946314,946314,288454,288454,410573,410573
HR00,2066,946314,946314,288454,288454,410573,410573
HR00,2067,946314,946314,288454,288454,410573,410573
HR00,2068,946314,946314,288454,288454,410573,410573
HR00,2069,946314,946314,288454,288454,410573,410573
HR00,2070,946314,946314,288454,288454,410573,410573
