Region,Year,OtherArableMin,OtherArableMax,PermCropMin,PermCropMax,PastureMin,PastureMax
HU00,2010,4774283,4774283,269462,269462,878977,878977
HU00,2011,4768976,4768976,260491,260491,861571,861571
HU00,2012,4766121,4766121,252938,252938,844510,844510
HU00,2013,4764154,4764154,244412,244412,827787,827787
HU00,2014,4762630,4762630,253723,253723,811395,811395
HU00,2015,4752561,4752561,257400,257400,807794,807794
HU00,2016,4747456,4747456,263176,263176,796397,796397
HU00,2017,4758288,4758288,263889,263889,789756,789756
HU00,2018,4753142,4753142,259892,259892,787554,787554
HU00,2019,4747996,4747996,255895,255895,785352,785352
HU00,2020,4742850,4742850,251899,251899,783150,783150
HU00,2021,4731816,4731816,249206,249206,783149,783149
HU00,2022,4720783,4720783,246513,246513,783149,783149
HU00,2023,4709750,4709750,243821,243821,783148,783148
HU00,2024,4698717,4698717,241128,241128,783148,783148
HU00,2025,4687684,4687684,238436,238436,783148,783148
HU00,2026,4676791,4676791,236906,236906,783148,783148
HU00,2027,4665899,4665899,235377,235377,783148,783148
HU00,2028,4655006,4655006,233848,233848,783149,783149
HU00,2029,4644114,4644114,232319,232319,783149,783149
HU00,2030,4633222,4633222,230790,230790,783150,783150
HU00,2031,4622427,4622427,228497,228497,783149,783149
HU00,2032,4611633,4611633,226204,226204,783149,783149
HU00,2033,4600838,4600838,223911,223911,783149,783149
HU00,2034,4590044,4590044,221618,221618,783149,783149
HU00,2035,4579250,4579250,219325,219325,783149,783149
HU00,2036,4568570,4568570,218764,218764,783149,783149
HU00,2037,4557890,4557890,218203,218203,783149,783149
HU00,2038,4547211,4547211,217643,217643,783149,783149
HU00,2039,4536531,4536531,217082,217082,783149,783149
HU00,2040,4525852,4525852,216522,216522,783149,783149
HU00,2041,4515316,4515316,216170,216170,783148,783148
HU00,2042,4504780,4504780,215819,215819,783147,783147
HU00,2043,4494244,4494244,215468,215468,783146,783146
HU00,2044,4483708,4483708,215117,215117,783145,783145
HU00,2045,4473172,4473172,214766,214766,783144,783144
HU00,2046,4462637,4462637,214960,214960,783145,783145
HU00,2047,4452102,4452102,215155,215155,783147,783147
HU00,2048,4441568,4441568,215350,215350,783148,783148
HU00,2049,4431033,4431033,215545,215545,783150,783150
HU00,2050,4420499,4420499,215740,215740,783152,783152
HU00,2051,4420499,4420499,215740,215740,783152,783152
HU00,2052,4420499,4420499,215740,215740,783152,783152
HU00,2053,4420499,4420499,215740,215740,783152,783152
HU00,2054,4420499,4420499,215740,215740,783152,783152
HU00,2055,4420499,4420499,215740,215740,783152,783152
HU00,2056,4420499,4420499,215740,215740,783152,783152
HU00,2057,4420499,4420499,215740,215740,783152,783152
HU00,2058,4420499,4420499,215740,215740,783152,783152
HU00,2059,4420499,4420499,215740,215740,783152,783152
HU00,2060,4420499,4420499,215740,215740,783152,783152
HU00,2061,4420499,4420499,215740,215740,783152,783152
HU00,2062,4420499,4420499,215740,215740,783152,783152
HU00,2063,4420499,4420499,215740,215740,783152,783152
HU00,2064,4420499,4420499,215740,215740,783152,783152
HU00,2065,4420499,4420499,215740,215740,783152,783152
HU00,2066,4420499,4420499,215740,215740,783152,783152
HU00,2067,4420499,4420499,215740,215740,783152,783152
HU00,2068,4420499,4420499,215740,215740,783152,783152
HU00,2069,4420499,4420499,215740,215740,783152,783152
HU00,2070,4420499,4420499,215740,215740,783152,783152
HU10,2010,348331,348331,26599,26599,60459,60459
HU10,2011,347742,347742,26628,26628,60086,60086
HU10,2012,347343,347343,22055,22055,59086,59086
HU10,2013,347023,347023,23513,23513,58007,58007
HU10,2014,346742,346742,24375,24375,55996,55996
HU10,2015,348238,348238,24107,24107,55922,55922
HU10,2016,350683,350683,23179,23179,54758,54758
HU10,2017,346014,346014,22367,22367,54428,54428
HU10,2018,345822,345822,23266,23266,55022,55022
HU10,2019,345630,345630,24165,24165,55616,55616
HU10,2020,345438,345438,25064,25064,56211,56211
HU10,2021,344672,344672,24905,24905,56307,56307
HU10,2022,343907,343907,24746,24746,56403,56403
HU10,2023,343142,343142,24587,24587,56499,56499
HU10,2024,342377,342377,24428,24428,56595,56595
HU10,2025,341612,341612,24269,24269,56691,56691
HU10,2026,341134,341134,24195,24195,56660,56660
HU10,2027,340656,340656,24122,24122,56629,56629
HU10,2028,340178,340178,24049,24049,56599,56599
