Region,Year,OtherArableMin,OtherArableMax,PermCropMin,PermCropMax,PastureMin,PastureMax,NewEnergyMin,NewEnergyMax
LT00,2010,1437197,2053139,24200,34572,604235,863193,0,0
LT00,2011,1438488,2054983,23229,33185,598599,855142,0,0
LT00,2012,1439779,2056828,22259,31798,592964,847092,0,0
LT00,2013,1441070,2058672,21288,30412,587329,839041,0,0
LT00,2014,1442362,2060517,20317,29025,581693,830991,0,0
LT00,2015,1443653,2062362,19347,27639,576058,822941,0,0
LT00,2016,1446329,2066185,18821,26887,571884,816978,398,569
LT00,2017,1449005,2070008,18295,26135,567710,811015,797,1138
LT00,2018,1451681,2073831,17768,25384,563536,805052,1195,1708
LT00,2019,1454357,2077654,17242,24632,559362,799089,1594,2277
LT00,2020,1457033,2081477,16716,23881,555188,793126,1992,2847
LT00,2021,1458452,2083503,16216,23166,555155,793079,2105,3008
LT00,2022,1459870,2085529,15715,22451,555122,793032,2218,3169
LT00,2023,1461288,2087555,15215,21736,555090,792986,2331,3330
LT00,2024,1462707,2089581,14714,21021,555057,792939,2443,3491
LT00,2025,1464125,2091608,14214,20306,555025,792893,2556,3652
LT00,2026,1461917,2088453,13863,19804,555028,792897,2642,3775
LT00,2027,1459709,2085298,13512,19303,555031,792901,2729,3898
LT00,2028,1457500,2082144,13161,18802,555034,792906,2815,4022
LT00,2029,1455292,2078989,12810,18301,555037,792910,2901,4145
LT00,2030,1453084,2075835,12460,17800,555040,792915,2988,4269
LT00,2031,1443414,2062020,13264,18949,555062,792946,3957,5653
LT00,2032,1433744,2048205,14069,20099,555084,792978,4927,7038
LT00,2033,1424073,2034391,14874,21249,555106,793009,5896,8423
LT00,2034,1414403,2020576,15679,22399,555128,793041,6865,9808
LT00,2035,1404733,2006762,16484,23549,555151,793073,7835,11193
LT00,2036,1404007,2005725,17796,25423,555160,793086,9308,13297
LT00,2037,1403282,2004689,19109,27298,555170,793100,10780,15401
LT00,2038,1402556,2003652,20421,29173,555180,793114,12253,17505
LT00,2039,1401831,2002616,21733,31048,555189,793128,13726,19609
LT00,2040,1401106,2001580,23046,32923,555199,793142,15199,21714
LT00,2041,1393786,1991124,22645,32350,555209,793155,14978,21397
LT00,2042,1386467,1980668,22244,31778,555218,793169,14756,21080
LT00,2043,1379148,1970212,21844,31205,555228,793183,14534,20763
LT00,2044,1371829,1959756,21443,30633,555238,793197,14312,20446
LT00,2045,1364510,1949300,21042,30061,555247,793211,14091,20130
LT00,2046,1360196,1943138,20909,29870,555268,793240,14053,20076
LT00,2047,1355883,1936976,20776,29680,555288,793269,14015,20022
LT00,2048,1351570,1930814,20642,29489,555308,793298,13977,19968
LT00,2049,1347256,1924652,20509,29299,555328,793327,13939,19914
LT00,2050,1342943,1918491,20376,29109,555349,793356,13902,19860
LT00,2051,1345847,1922639,20438,29198,555347,793353,14058,20083
LT00,2052,1348751,1926788,20501,29287,555346,793351,14215,20307
LT00,2053,1351655,1930936,20564,29377,555344,793349,14371,20530
LT00,2054,1354559,1935085,20626,29466,555343,793347,14528,20754
LT00,2055,1357463,1939234,20689,29556,555341,793345,14684,20978
LT00,2056,1360151,1943073,20763,29662,555342,793347,14835,21193
LT00,2057,1362839,1946913,20837,29768,555344,793349,14986,21409
LT00,2058,1365527,1950753,20911,29874,555345,793351,15137,21625
LT00,2059,1368215,1954593,20986,29980,555347,793353,15288,21841
LT00,2060,1370903,1958433,21060,30086,555348,793355,15439,22057
LT00,2061,1376093,1965847,20962,29946,555342,793346,15424,22035
LT00,2062,1381283,1973262,20864,29806,555336,793337,15409,22013
LT00,2063,1386474,1980677,20766,29666,555330,793329,15394,21991
LT00,2064,1391664,1988092,20668,29526,555324,793320,15378,21969
LT00,2065,1396854,1995507,20570,29387,555318,793312,15363,21948
LT00,2066,1399106,1998723,20486,29266,555324,793321,15342,21917
LT00,2067,1401357,2001939,20401,29145,555331,793330,15321,21887
LT00,2068,1403609,2005156,20316,29024,555337,793339,15300,21857
LT00,2069,1405860,2008372,20232,28903,555343,793348,15279,21827
LT00,2070,1408112,2011589,20147,28782,555349,793357,15257,21797
