Region,Year,OtherArableMin,OtherArableMax,PermCropMin,PermCropMax,PastureMin,PastureMax,NewEnergyMin,NewEnergyMax
NL00,2010,736302,1051861,110985,158550,578608,826584,0,0
NL00,2011,743426,1062037,116333,166190,571315,816164,0,0
NL00,2012,750550,1072214,121682,173831,564021,805745,0,0
NL00,2013,757673,1082391,127030,181472,556728,795325,0,0
NL00,2014,764797,1092568,132379,189113,549434,784906,0,0
NL00,2015,771921,1102745,137727,196754,542140,774487,0,0
NL00,2016,769287,1098982,136284,194691,542130,774472,0,0
NL00,2017,766654,1095220,134840,192629,542120,774457,0,0
NL00,2018,764020,1091458,133396,190566,542110,774443,0,0
NL00,2019,761387,1087696,131953,188504,542100,774428,0,0
NL00,2020,758753,1083934,130509,186442,542089,774414,0,0
NL00,2021,756166,1080238,129215,184593,542087,774410,48,69
NL00,2022,753579,1076542,127921,182745,542084,774406,96,138
NL00,2023,750993,1072847,126628,180897,542081,774402,145,207
NL00,2024,748406,1069151,125334,179049,542078,774398,193,276
NL00,2025,745819,1065456,124040,177201,542075,774394,242,346
NL00,2026,743244,1061778,123896,176995,542073,774390,287,410
NL00,2027,740670,1058100,123752,176789,542070,774386,332,475
NL00,2028,738096,1054423,123608,176583,542068,774383,377,539
NL00,2029,735521,1050745,123463,176377,542065,774379,423,604
NL00,2030,732947,1047068,123319,176171,542063,774376,468,669
NL00,2031,730418,1043455,124304,177577,542067,774381,604,863
NL00,2032,727889,1039842,125288,178983,542071,774387,739,1057
NL00,2033,725360,1036229,126273,180390,542075,774393,875,1251
NL00,2034,722831,1032616,127257,181796,542079,774399,1011,1445
NL00,2035,720302,1029004,128242,183203,542083,774405,1147,1639
NL00,2036,717791,1025416,128874,184107,542089,774414,917,1311
NL00,2037,715280,1021829,129507,185011,542096,774423,688,983
NL00,2038,712769,1018242,130140,185915,542102,774432,458,655
NL00,2039,710258,1014655,130773,186819,542109,774441,229,327
NL00,2040,707747,1011068,131406,187723,542115,774451,0,0
NL00,2041,705259,1007514,132275,188964,542120,774457,0,0
NL00,2042,702772,1003960,133144,190206,542124,774464,0,0
NL00,2043,700284,1000406,134013,191447,542129,774470,0,0
NL00,2044,697796,996852,134882,192689,542134,774477,0,0
NL00,2045,695308,993298,135751,193931,542138,774484,0,0
NL00,2046,692846,989780,136365,194808,542141,774487,0,0
NL00,2047,690383,986262,136979,195685,542143,774491,0,0
NL00,2048,687921,982745,137593,196562,542146,774494,0,0
NL00,2049,685459,979227,138207,197439,542148,774498,0,0
NL00,2050,682997,975710,138821,198317,542151,774502,0,0
NL00,2051,680558,972226,139441,199202,542150,774501,0,0
NL00,2052,678120,968743,140060,200087,542150,774500,0,0
NL00,2053,675681,965259,140680,200972,542149,774499,0,0
NL00,2054,673243,961776,141299,201857,542148,774498,0,0
NL00,2055,670805,958293,141919,202742,542147,774497,0,0
NL00,2056,668395,954850,142567,203668,542148,774497,0,0
NL00,2057,665986,951408,143216,204594,542148,774498,0,0
NL00,2058,663576,947966,143864,205521,542149,774498,0,0
NL00,2059,661166,944524,144513,206447,542149,774499,0,0
NL00,2060,658757,941082,145161,207374,542150,774500,0,0
NL00,2061,656365,937665,146489,209270,542149,774499,243,348
NL00,2062,653974,934249,147817,211167,542148,774498,487,696
NL00,2063,651582,930832,149144,213063,542148,774497,730,1044
NL00,2064,649191,927416,150472,214960,542147,774496,974,1392
NL00,2065,646800,924000,151799,216857,542147,774496,1218,1740
NL00,2066,644429,920613,153064,218663,542145,774494,1358,1940
NL00,2067,642058,917226,154328,220469,542144,774492,1498,2140
NL00,2068,639687,913839,155593,222276,542143,774490,1638,2341
NL00,2069,637316,910452,156857,224082,542142,774488,1779,2541
NL00,2070,634946,907066,158122,225889,542140,774487,1919,2742
NL11,2010,86758,123940,4218,6027,62222,88889,0,0
NL11,2011,87459,124941,4662,6660,61436,87766,0,0
NL11,2012,88160,125943,5105,7293,60650,86643,0,0
NL11,2013,88861,126945,5548,7926,59864,85520,0,0
NL11,2014,89563,127947,5991,8559,59078,84397,0,0
NL11,2015,90264,128949,6435,9193,58292,83275,0,0
NL11,2016,90492,129274,6348,9068,58256,83223,0,0
NL11,2017,90720,129600,6261,8944,58219,83171,0,0
NL11,2018,90948,129925,6174,8820,58183,83119,0,0
NL11,2019,91175,130251,6087,8696,58146,83067,0,0
NL11,2020,91403,130577,6000,8572,58110,83015,0,0
NL11,2021,91874,131249,5965,8521,57898,82712,4,6
NL11,2022,92344,131921,5930,8471,57687,82410,9,13
NL11,2023,92815,132593,5894,8421,57475,82107,14,20
NL11,2024,93285,133265,5859,8371,57263,81805,19,27
NL11,2025,93755,133937,5824,8321,57052,81503,23,34
NL11,2026,94074,134391,5885,8408,56911,81301,29,41
NL11,2027,94392,134846,5947,8495,56770,81100,34,49
NL11,2028,94710,135301,6008,8583,56629,80898,40,57
NL11,2029,95029,135756,6069,8670,56488,80697,45,65
NL11,2030,95347,136211,6130,8758,56347,80496,51,73
NL11,2031,95582,136546,6203,8862,56244,80349,66,94
NL11,2032,95817,136881,6277,8967,56141,80202,81,115
NL11,2033,96052,137217,6350,9072,56038,80055,96,137
NL11,2034,96286,137552,6424,9177,55936,79908,111,158
NL11,2035,96521,137888,6497,9282,55833,79762,125,180
NL11,2036,96668,138097,6499,9285,55782,79689,100,144
NL11,2037,96815,138307,6501,9288,55731,79616,75,108
NL11,2038,96962,138517,6504,9291,55680,79544,50,72
NL11,2039,97109,138727,6506,9294,55630,79471,25,36
NL11,2040,97255,138937,6508,9298,55579,79399,0,0
NL11,2041,97297,138997,6525,9322,55599,79427,0,0
NL11,2042,97339,139057,6542,9346,55619,79456,0,0
NL11,2043,97381,139117,6559,9370,55639,79485,0,0
NL11,2044,97423,139177,6575,9394,55659,79514,0,0
NL11,2045,97465,139237,6592,9418,55680,79543,0,0
NL11,2046,97561,139373,6605,9436,55660,79515,0,0
NL11,2047,97657,139510,6618,9455,55641,79488,0,0
NL11,2048,97753,139647,6631,9473,55622,79460,0,0
NL11,2049,97848,139784,6644,9492,55603,79433,0,0
NL11,2050,97944,139921,6657,9511,55584,79406,0,0
NL11,2051,98014,140021,6669,9527,55569,79384,0,0
NL11,2052,98084,140121,6680,9543,55553,79362,0,0
NL11,2053,98154,140221,6691,9559,55538,79341,0,0
NL11,2054,98224,140321,6703,9575,55523,79319,0,0
NL11,2055,98294,140421,6714,9592,55508,79298,0,0
NL11,2056,98329,140470,6751,9644,55524,79321,0,0
NL11,2057,98364,140520,6788,9697,55540,79344,0,0
NL11,2058,98398,140569,6824,9749,55556,79367,0,0
NL11,2059,98433,140619,6861,9802,55573,79390,0,0
NL11,2060,98468,140669,6898,9855,55589,79413,0,0
NL11,2061,98446,140638,7035,10050,55624,79463,24,34
NL11,2062,98425,140607,7171,10245,55660,79514,48,69
NL11,2063,98404,140577,7307,10440,55695,79565,73,104
NL11,2064,98382,140546,7444,10635,55731,79616,97,139
NL11,2065,98361,140516,7580,10830,55766,79667,121,174
NL11,2066,98306,140437,7737,11054,55859,79798,135,194
NL11,2067,98251,140358,7894,11278,55951,79930,149,214
NL11,2068,98196,140280,8051,11502,56043,80062,163,234
NL11,2069,98141,140201,8208,11726,56135,80194,177,254
NL11,2070,98086,140123,8365,11951,56228,80326,191,274
NL12,2010,28343,40490,1327,1897,176249,251785,0,0
NL12,2011,28837,41197,1504,2149,175775,251107,0,0
NL12,2012,29332,41904,1680,2401,175300,250429,0,0
NL12,2013,29827,42611,1857,2653,174826,249751,0,0
NL12,2014,30322,43318,2034,2905,174351,249073,0,0
NL12,2015,30817,44025,2210,3158,173877,248396,0,0
NL12,2016,30631,43760,2184,3121,174015,248593,0,0
NL12,2017,30446,43495,2159,3084,174153,248790,0,0
NL12,2018,30260,43230,2133,3048,174290,248987,0,0
NL12,2019,30075,42965,2108,3011,174428,249184,0,0
NL12,2020,29889,42700,2082,2975,174566,249381,0,0
NL12,2021,29412,42017,2052,2931,174806,249724,4,6
NL12,2022,28934,41334,2021,2888,175047,250067,9,13
NL12,2023,28456,40651,1991,2844,175287,250410,14,20
NL12,2024,27978,39968,1960,2801,175527,250753,19,27
NL12,2025,27500,39286,1930,2758,175767,251097,23,34
NL12,2026,27074,38678,1887,2695,175999,251427,33,48
NL12,2027,26649,38070,1843,2633,176230,251757,43,62
NL12,2028,26224,37463,1799,2571,176461,252087,54,77
NL12,2029,25798,36855,1756,2509,176692,252417,64,91
NL12,2030,25373,36248,1712,2447,176923,252748,74,106
NL12,2031,25175,35965,1724,2463,177001,252859,96,137
NL12,2032,24977,35682,1735,2479,177079,252971,118,169
NL12,2033,24779,35399,1746,2495,177157,253082,140,200
NL12,2034,24581,35116,1758,2511,177236,253194,162,232
NL12,2035,24383,34833,1769,2528,177314,253306,184,264
NL12,2036,24055,34364,1723,2462,177413,253447,147,211
NL12,2037,23727,33896,1677,2396,177512,253588,110,158
NL12,2038,23399,33427,1631,2331,177611,253730,73,105
NL12,2039,23071,32959,1585,2265,177710,253871,36,52
NL12,2040,22743,32491,1540,2200,177809,254013,0,0
NL12,2041,22504,32148,1527,2182,177854,254077,0,0
NL12,2042,22264,31806,1515,2164,177899,254141,0,0
NL12,2043,22025,31464,1503,2147,177944,254206,0,0
NL12,2044,21785,31122,1490,2129,177989,254270,0,0
NL12,2045,21546,30780,1478,2112,178034,254335,0,0
NL12,2046,21280,30400,1467,2096,178082,254403,0,0
NL12,2047,21014,30020,1456,2080,178130,254471,0,0
NL12,2048,20748,29641,1445,2065,178178,254540,0,0
NL12,2049,20483,29261,1434,2049,178226,254608,0,0
NL12,2050,20217,28882,1423,2034,178273,254677,0,0
NL12,2051,20033,28618,1386,1980,178284,254692,0,0
NL12,2052,19848,28355,1348,1926,178295,254708,0,0
NL12,2053,19664,28091,1310,1872,178306,254723,0,0
NL12,2054,19479,27828,1272,1818,178317,254739,0,0
NL12,2055,19295,27565,1234,1764,178328,254755,0,0
NL12,2056,19076,27251,1229,1756,178342,254775,0,0
NL12,2057,18856,26938,1223,1748,178356,254795,0,0
NL12,2058,18637,26624,1218,1740,178370,254815,0,0
NL12,2059,18417,26311,1212,1732,178385,254835,0,0
