Region,Year,OtherArableMin,OtherArableMax,PermCropMin,PermCropMax,PastureMin,PastureMax
PL00,2010,13006346,13006346,603859,603859,3294718,3294718
PL00,2011,12954460,12954460,722737,722737,3279745,3279745
PL00,2012,12910375,12910375,688969,688969,3292789,3292789
PL00,2013,12877766,12877766,585160,585160,3263607,3263607
PL00,2014,12854020,12854020,569355,569355,3227804,3227804
PL00,2015,12855651,12855651,606589,606589,3082838,3082838
PL00,2016,12684218,12684218,627741,627741,3200868,3200868
PL00,2017,12762715,12762715,587756,587756,3180111,3180111
PL00,2018,12766169,12766169,597232,597232,3174238,3174238
PL00,2019,12769623,12769623,606708,606708,3168365,3168365
PL00,2020,12773078,12773078,616185,616185,3162493,3162493
PL00,2021,12745622,12745622,618927,618927,3158246,3158246
PL00,2022,12718166,12718166,621669,621669,3154000,3154000
PL00,2023,12690710,12690710,624411,624411,3149753,3149753
PL00,2024,12663254,12663254,627153,627153,3145507,3145507
PL00,2025,12635799,12635799,629895,629895,3141261,3141261
PL00,2026,12604349,12604349,648347,648347,3141262,3141262
PL00,2027,12572900,12572900,666799,666799,3141263,3141263
PL00,2028,12541451,12541451,685252,685252,3141264,3141264
PL00,2029,12510002,12510002,703704,703704,3141265,3141265
PL00,2030,12478553,12478553,722157,722157,3141266,3141266
PL00,2031,12494455,12494455,861698,861698,3141266,3141266
PL00,2032,12510357,12510357,1001239,1001239,3141266,3141266
PL00,2033,12526259,12526259,1140780,1140780,3141267,3141267
PL00,2034,12542161,12542161,1280321,1280321,3141267,3141267
PL00,2035,12558063,12558063,1419862,1419862,3141268,3141268
PL00,2036,12480231,12480231,1357558,1357558,3141268,3141268
PL00,2037,12402400,12402400,1295255,1295255,3141268,3141268
PL00,2038,12324569,12324569,1232952,1232952,3141268,3141268
PL00,2039,12246738,12246738,1170649,1170649,3141268,3141268
PL00,2040,12168907,12168907,1108346,1108346,3141268,3141268
PL00,2041,12218090,12218090,1349071,1349071,3141268,3141268
PL00,2042,12267273,12267273,1589797,1589797,3141268,3141268
PL00,2043,12316456,12316456,1830523,1830523,3141268,3141268
PL00,2044,12365639,12365639,2071249,2071249,3141268,3141268
PL00,2045,12414823,12414823,2311975,2311975,3141269,3141269
