Region,Year,OtherArableMin,OtherArableMax,PermCropMin,PermCropMax,PastureMin,PastureMax
RO00,2010,9424415,9424415,489059,489059,4571265,4571265
RO00,2011,9379468,9379468,494056,494056,4602183,4602183
RO00,2012,9328232,9328232,495944,495944,4638552,4638552
RO00,2013,9280301,9280301,499514,499514,4668862,4668862
RO00,2014,9244440,9244440,478331,478331,4682862,4682862
RO00,2015,9208860,9208860,477357,477357,4658122,4658122
RO00,2016,9196914,9196914,456337,456337,4627691,4627691
RO00,2017,9217035,9217035,458990,458990,4587761,4587761
RO00,2018,9193547,9193547,450414,450414,4591227,4591227
RO00,2019,9170060,9170060,441839,441839,4594694,4594694
RO00,2020,9146573,9146573,433264,433264,4598161,4598161
RO00,2021,9130245,9130245,427925,427925,4587114,4587114
RO00,2022,9113918,9113918,422587,422587,4576067,4576067
RO00,2023,9097591,9097591,417248,417248,4565021,4565021
RO00,2024,9081264,9081264,411910,411910,4553974,4553974
RO00,2025,9064937,9064937,406572,406572,4542928,4542928
RO00,2026,9038008,9038008,403055,403055,4542742,4542742
RO00,2027,9011080,9011080,399538,399538,4542556,4542556
RO00,2028,8984151,8984151,396021,396021,4542370,4542370
RO00,2029,8957223,8957223,392504,392504,4542184,4542184
RO00,2030,8930295,8930295,388988,388988,4541998,4541998
RO00,2031,8929715,8929715,385082,385082,4541998,4541998
RO00,2032,8929135,8929135,381177,381177,4541998,4541998
RO00,2033,8928556,8928556,377272,377272,4541998,4541998
RO00,2034,8927976,8927976,373367,373367,4541998,4541998
RO00,2035,8927397,8927397,369462,369462,4541998,4541998
RO00,2036,8913998,8913998,367199,367199,4542000,4542000
RO00,2037,8900600,8900600,364936,364936,4542002,4542002
RO00,2038,8887202,8887202,362674,362674,4542004,4542004
RO00,2039,8873804,8873804,360411,360411,4542006,4542006
RO00,2040,8860406,8860406,358149,358149,4542009,4542009
RO00,2041,8818875,8818875,356128,356128,4542006,4542006
RO00,2042,8777345,8777345,354108,354108,4542003,4542003
RO00,2043,8735815,8735815,352087,352087,4542000,4542000
RO00,2044,8694285,8694285,350067,350067,4541997,4541997
RO00,2045,8652755,8652755,348047,348047,4541995,4541995
RO00,2046,8674939,8674939,504787,504787,4541996,4541996
RO00,2047,8697124,8697124,661527,661527,4541997,4541997
RO00,2048,8719309,8719309,818267,818267,4541998,4541998
RO00,2049,8741494,8741494,975007,975007,4541999,4541999
RO00,2050,8763679,8763679,1131747,1131747,4542001,4542001
RO00,2051,8763679,8763679,1131747,1131747,4542001,4542001
RO00,2052,8763679,8763679,1131747,1131747,4542001,4542001
RO00,2053,8763679,8763679,1131747,1131747,4542001,4542001
RO00,2054,8763679,8763679,1131747,1131747,4542001,4542001
RO00,2055,8763679,8763679,1131747,1131747,4542001,4542001
RO00,2056,8763679,8763679,1131747,1131747,4542001,4542001
RO00,2057,8763679,8763679,1131747,1131747,4542001,4542001
RO00,2058,8763679,8763679,1131747,1131747,4542001,4542001
RO00,2059,8763679,8763679,1131747,1131747,4542001,4542001
RO00,2060,8763679,8763679,1131747,1131747,4542001,4542001
RO00,2061,8763679,8763679,1131747,1131747,4542001,4542001
RO00,2062,8763679,8763679,1131747,1131747,4542001,4542001
RO00,2063,8763679,8763679,1131747,1131747,4542001,4542001
RO00,2064,8763679,8763679,1131747,1131747,4542001,4542001
RO00,2065,8763679,8763679,1131747,1131747,4542001,4542001
RO00,2066,8763679,8763679,1131747,1131747,4542001,4542001
RO00,2067,8763679,8763679,1131747,1131747,4542001,4542001
RO00,2068,8763679,8763679,1131747,1131747,4542001,4542001
RO00,2069,8763679,8763679,1131747,1131747,4542001,4542001
RO00,2070,8763679,8763679,1131747,1131747,4542001,4542001
RO01,2010,1315569,1315569,70526,70526,646773,646773
RO01,2011,1308377,1308377,74539,74539,636356,636356
RO01,2012,1301855,1301855,47170,47170,657337,657337
RO01,2013,1294504,1294504,79386,79386,654262,654262
RO01,2014,1289148,1289148,72109,72109,657310,657310
RO01,2015,1285964,1285964,63519,63519,652684,652684
RO01,2016,1288386,1288386,65732,65732,651026,651026
RO01,2017,1283342,1283342,63005,63005,640669,640669
RO01,2018,1282205,1282205,61390,61390,639692,639692
RO01,2019,1281069,1281069,59775,59775,638716,638716
RO01,2020,1279933,1279933,58160,58160,637740,637740
RO01,2021,1278761,1278761,57414,57414,634254,634254
RO01,2022,1277589,1277589,56668,56668,630769,630769
RO01,2023,1276417,1276417,55923,55923,627283,627283
RO01,2024,1275245,1275245,55177,55177,623798,623798
RO01,2025,1274073,1274073,54432,54432,620313,620313
RO01,2026,1271149,1271149,53969,53969,617436,617436
RO01,2027,1268226,1268226,53506,53506,614559,614559
RO01,2028,1265303,1265303,53043,53043,611683,611683
RO01,2029,1262380,1262380,52580,52580,608806,608806
RO01,2030,1259457,1259457,52118,52118,605930,605930
RO01,2031,1260325,1260325,51593,51593,603443,603443
RO01,2032,1261194,1261194,51069,51069,600957,600957
RO01,2033,1262063,1262063,50545,50545,598470,598470
RO01,2034,1262932,1262932,50021,50021,595984,595984
RO01,2035,1263801,1263801,49497,49497,593498,593498
RO01,2036,1262955,1262955,49163,49163,590998,590998
RO01,2037,1262109,1262109,48829,48829,588499,588499
RO01,2038,1261264,1261264,48495,48495,586000,586000
RO01,2039,1260418,1260418,48161,48161,583501,583501
RO01,2040,1259573,1259573,47828,47828,581002,581002
RO01,2041,1253417,1253417,47484,47484,579561,579561
RO01,2042,1247261,1247261,47141,47141,578120,578120
RO01,2043,1241105,1241105,46798,46798,576679,576679
RO01,2044,1234949,1234949,46455,46455,575238,575238
RO01,2045,1228793,1228793,46112,46112,573797,573797
RO01,2046,1233435,1233435,67642,67642,571761,571761
RO01,2047,1238077,1238077,89173,89173,569726,569726
RO01,2048,1242720,1242720,110703,110703,567691,567691
RO01,2049,1247362,1247362,132234,132234,565656,565656
RO01,2050,1252005,1252005,153765,153765,563621,563621
RO01,2051,1252005,1252005,153765,153765,563621,563621
RO01,2052,1252005,1252005,153765,153765,563621,563621
RO01,2053,1252005,1252005,153765,153765,563621,563621
RO01,2054,1252005,1252005,153765,153765,563621,563621
RO01,2055,1252005,1252005,153765,153765,563621,563621
RO01,2056,1252005,1252005,153765,153765,563621,563621
RO01,2057,1252005,1252005,153765,153765,563621,563621
RO01,2058,1252005,1252005,153765,153765,563621,563621
RO01,2059,1252005,1252005,153765,153765,563621,563621
RO01,2060,1252005,1252005,153765,153765,563621,563621
RO01,2061,1252005,1252005,153765,153765,563621,563621
RO01,2062,1252005,1252005,153765,153765,563621,563621
RO01,2063,1252005,1252005,153765,153765,563621,563621
RO01,2064,1252005,1252005,153765,153765,563621,563621
RO01,2065,1252005,1252005,153765,153765,563621,563621
RO01,2066,1252005,1252005,153765,153765,563621,563621
RO01,2067,1252005,1252005,153765,153765,563621,563621
RO01,2068,1252005,1252005,153765,153765,563621,563621
RO01,2069,1252005,1252005,153765,153765,563621,563621
RO01,2070,1252005,1252005,153765,153765,563621,563621
RO02,2010,1986332,1986332,134425,134425,477916,477916
RO02,2011,1983080,1983080,129233,129233,480969,480969
RO02,2012,1977903,1977903,142337,142337,469362,469362
RO02,2013,1974704,1974704,121209,121209,488532,488532
RO02,2014,1973240,1973240,121557,121557,496631,496631
RO02,2015,1974450,1974450,120724,120724,486490,486490
RO02,2016,1977692,1977692,111181,111181,477339,477339
RO02,2017,1982669,1982669,108246,108246,469882,469882
RO02,2018,1976532,1976532,108888,108888,471297,471297
RO02,2019,1970395,1970395,109531,109531,472713,472713
RO02,2020,1964258,1964258,110174,110174,474129,474129
RO02,2021,1964177,1964177,108063,108063,472407,472407
