Region,Year,OtherArableMin,OtherArableMax,PermCropMin,PermCropMax,PastureMin,PastureMax
SI00,2010,196787,196787,26304,26304,292636,292636
SI00,2011,195910,195910,27320,27320,275869,275869
SI00,2012,195541,195541,26440,26440,292671,292671
SI00,2013,195307,195307,28239,28239,289071,289071
SI00,2014,194854,194854,27215,27215,298669,298669
SI00,2015,191845,191845,28070,28070,298574,298574
SI00,2016,193061,193061,27366,27366,295167,295167
SI00,2017,191515,191515,26165,26165,311535,311535
SI00,2018,188609,188609,26242,26242,307242,307242
SI00,2019,185704,185704,26319,26319,302949,302949
SI00,2020,182799,182799,26396,26396,298656,298656
SI00,2021,182801,182801,26438,26438,298655,298655
SI00,2022,182803,182803,26480,26480,298654,298654
SI00,2023,182805,182805,26522,26522,298653,298653
SI00,2024,182807,182807,26564,26564,298652,298652
SI00,2025,182810,182810,26607,26607,298651,298651
SI00,2026,182768,182768,26603,26603,298736,298736
SI00,2027,182727,182727,26599,26599,298822,298822
SI00,2028,182686,182686,26596,26596,298908,298908
SI00,2029,182645,182645,26592,26592,298994,298994
SI00,2030,182604,182604,26589,26589,299080,299080
SI00,2031,181810,181810,26699,26699,299081,299081
SI00,2032,181016,181016,26809,26809,299082,299082
SI00,2033,180223,180223,26919,26919,299084,299084
SI00,2034,179429,179429,27029,27029,299085,299085
SI00,2035,178636,178636,27139,27139,299087,299087
SI00,2036,177789,177789,27190,27190,299012,299012
SI00,2037,176942,176942,27241,27241,298937,298937
SI00,2038,176095,176095,27292,27292,298862,298862
SI00,2039,175248,175248,27343,27343,298787,298787
SI00,2040,174402,174402,27394,27394,298713,298713
SI00,2041,173842,173842,27358,27358,298712,298712
SI00,2042,173282,173282,27323,27323,298712,298712
SI00,2043,172722,172722,27287,27287,298712,298712
SI00,2044,172162,172162,27252,27252,298712,298712
SI00,2045,171603,171603,27217,27217,298712,298712
SI00,2046,170864,170864,27225,27225,298711,298711
SI00,2047,170126,170126,27234,27234,298711,298711
SI00,2048,169387,169387,27242,27242,298710,298710
SI00,2049,168649,168649,27251,27251,298710,298710
SI00,2050,167911,167911,27260,27260,298710,298710
SI00,2051,167911,167911,27260,27260,298710,298710
SI00,2052,167911,167911,27260,27260,298710,298710
SI00,2053,167911,167911,27260,27260,298710,298710
SI00,2054,167911,167911,27260,27260,298710,298710
SI00,2055,167911,167911,27260,27260,298710,298710
SI00,2056,167911,167911,27260,27260,298710,298710
SI00,2057,167911,167911,27260,27260,298710,298710
SI00,2058,167911,167911,27260,27260,298710,298710
SI00,2059,167911,167911,27260,27260,298710,298710
SI00,2060,167911,167911,27260,27260,298710,298710
SI00,2061,167911,167911,27260,27260,298710,298710
SI00,2062,167911,167911,27260,27260,298710,298710
SI00,2063,167911,167911,27260,27260,298710,298710
SI00,2064,167911,167911,27260,27260,298710,298710
SI00,2065,167911,167911,27260,27260,298710,298710
SI00,2066,167911,167911,27260,27260,298710,298710
SI00,2067,167911,167911,27260,27260,298710,298710
SI00,2068,167911,167911,27260,27260,298710,298710
SI00,2069,167911,167911,27260,27260,298710,298710
SI00,2070,167911,167911,27260,27260,298710,298710
