Region,Year,OtherArableMin,OtherArableMax,PermCropMin,PermCropMax,PastureMin,PastureMax
UK00,2010,6121946,6121946,145085,145085,11015048,11015048
UK00,2011,6161914,6161914,141900,141900,10910106,10910106
UK00,2012,6163083,6163083,146427,146427,10840366,10840366
UK00,2013,6121527,6121527,151324,151324,10896704,10896704
UK00,2014,6054691,6054691,162774,162774,10894483,10894483
UK00,2015,5885084,5885084,152089,152089,11019479,11019479
UK00,2016,5805218,5805218,147506,147506,11120873,11120873
UK00,2017,5841335,5841335,145164,145164,11139097,11139097
UK00,2018,5878672,5878672,145479,145479,11118681,11118681
UK00,2019,5916009,5916009,145795,145795,11098265,11098265
UK00,2020,5953347,5953347,146111,146111,11077849,11077849
UK00,2021,5948315,5948315,144944,144944,11082878,11082878
UK00,2022,5943284,5943284,143777,143777,11087907,11087907
UK00,2023,5938253,5938253,142610,142610,11092936,11092936
UK00,2024,5933222,5933222,141443,141443,11097965,11097965
UK00,2025,5928191,5928191,140276,140276,11102995,11102995
UK00,2026,5926844,5926844,139161,139161,11104347,11104347
UK00,2027,5925497,5925497,138046,138046,11105699,11105699
UK00,2028,5924151,5924151,136932,136932,11107051,11107051
UK00,2029,5922804,5922804,135817,135817,11108403,11108403
UK00,2030,5921458,5921458,134703,134703,11109755,11109755
UK00,2031,5900888,5900888,133827,133827,11130322,11130322
UK00,2032,5880319,5880319,132951,132951,11150889,11150889
UK00,2033,5859749,5859749,132076,132076,11171456,11171456
UK00,2034,5839180,5839180,131200,131200,11192023,11192023
UK00,2035,5818611,5818611,130325,130325,11212591,11212591
UK00,2036,5802269,5802269,139493,139493,11228933,11228933
UK00,2037,5785927,5785927,148661,148661,11245276,11245276
UK00,2038,5769586,5769586,157829,157829,11261619,11261619
UK00,2039,5753244,5753244,166997,166997,11277962,11277962
UK00,2040,5736903,5736903,176165,176165,11294305,11294305
UK00,2041,5739820,5739820,177719,177719,11291394,11291394
UK00,2042,5742738,5742738,179274,179274,11288483,11288483
UK00,2043,5745655,5745655,180828,180828,11285573,11285573
UK00,2044,5748573,5748573,182383,182383,11282662,11282662
UK00,2045,5751491,5751491,183938,183938,11279752,11279752
UK00,2046,5749186,5749186,184528,184528,11282043,11282043
UK00,2047,5746882,5746882,185118,185118,11284335,11284335
UK00,2048,5744577,5744577,185708,185708,11286626,11286626
UK00,2049,5742273,5742273,186298,186298,11288918,11288918
UK00,2050,5739969,5739969,186888,186888,11291210,11291210
UK00,2051,5739969,5739969,186888,186888,11291210,11291210
UK00,2052,5739969,5739969,186888,186888,11291210,11291210
UK00,2053,5739969,5739969,186888,186888,11291210,11291210
UK00,2054,5739969,5739969,186888,186888,11291210,11291210
UK00,2055,5739969,5739969,186888,186888,11291210,11291210
UK00,2056,5739969,5739969,186888,186888,11291210,11291210
UK00,2057,5739969,5739969,186888,186888,11291210,11291210
UK00,2058,5739969,5739969,186888,186888,11291210,11291210
UK00,2059,5739969,5739969,186888,186888,11291210,11291210
UK00,2060,5739969,5739969,186888,186888,11291210,11291210
UK00,2061,5739969,5739969,186888,186888,11291210,11291210
UK00,2062,5739969,5739969,186888,186888,11291210,11291210
UK00,2063,5739969,5739969,186888,186888,11291210,11291210
UK00,2064,5739969,5739969,186888,186888,11291210,11291210
UK00,2065,5739969,5739969,186888,186888,11291210,11291210
UK00,2066,5739969,5739969,186888,186888,11291210,11291210
UK00,2067,5739969,5739969,186888,186888,11291210,11291210
UK00,2068,5739969,5739969,186888,186888,11291210,11291210
UK00,2069,5739969,5739969,186888,186888,11291210,11291210
UK00,2070,5739969,5739969,186888,186888,11291210,11291210
UKC0,2010,150309,150309,0,0,446889,446889
UKC0,2011,150879,150879,0,0,440361,440361
UKC0,2012,150008,150008,0,0,444498,444498
UKC0,2013,147871,147871,29,29,447733,447733
UKC0,2014,145552,145552,23,23,440301,440301
UKC0,2015,141401,141401,144,144,447926,447926
