"luisa_nuts2","year","Arable","Pastures","PermanentCrops"
"BL00","2050",795883.077472358,862577.541233689,27590.2040769739
"BL00","2020",861121.492157605,842654.58959908,23660.683999922
"BL00","2025",847196.061538595,850798.261655901,23742.7910732069
"BL00","2030",833270.630919585,858941.933712723,23824.8981464917
"BL00","2035",828189.494586284,854619.08098762,24121.2154010823
"BL00","2040",823108.358252984,850296.228262516,24417.532655673
"BL00","2045",809495.717862671,856436.884748103,26003.8683663235
"BL21","2050",37912.1537687278,90047.2229428407,1066.15255841222
"BL21","2020",47884.3553648054,84370.5338246602,1415.63916943469
"BL21","2025",46329.0797966312,85553.0712021883,1324.8156473676
"BL21","2030",44773.804228457,86735.6085797164,1233.99212530051
"BL21","2035",43219.1705596535,87248.3499285818,1168.94981758626
"BL21","2040",41664.53689085,87761.0912774473,1103.90750987201
"BL21","2045",39788.3453297889,88904.157110144,1085.03003414212
"BL22","2050",53013.8335897819,63682.3863314635,2931.63517465229
"BL22","2020",59600.1540051108,60091.4544872328,2233.77416149454
"BL22","2025",58057.0956036514,61247.1750633618,2356.68108705078
"BL22","2030",56514.037202192,62402.8956394908,2479.58801260703
"BL22","2035",56191.8898763321,62060.2199427966,2617.64661955998
"BL22","2040",55869.7425504722,61717.5442461023,2755.70522651293
"BL22","2045",54441.788070127,62699.9652887829,2843.67020058261
"BL23","2050",74049.6313189349,98023.3861767365,2374.33909716872
"BL23","2020",91819.5232629147,84847.5007875037,3211.35299315227
"BL23","2025",89362.6779848249,86594.1362088006,2943.83885567454
"BL23","2030",86905.8327067351,88340.7716300975,2676.32471819681
"BL23","2035",83840.4715953542,90483.0411008433,2496.77874659687
"BL23","2040",80775.1104839733,92625.310571589,2317.23277499693
"BL23","2045",77412.3709014541,95324.3483741628,2345.78593608282
"BL24","2050",59423.1603981681,30977.3741459417,2232.44720307554
"BL24","2020",65063.124600498,28710.7797708273,1906.25654586103
"BL24","2025",64336.2633058963,29071.4137653958,1950.38877488974
"BL24","2030",63609.4020112946,29432.0477599644,1994.52100391844
"BL24","2035",62822.0687509396,29485.4938699276,2040.71096229412
"BL24","2040",62034.7354905847,29538.9399798909,2086.9009206698
"BL24","2045",60728.9479443764,30258.1570629163,2159.67406187267
"BL25","2050",124949.688231409,65629.8147523895,5560.1623457671
"BL25","2020",138810.417538074,63837.2727002554,6798.11261996751
"BL25","2025",136605.055887341,63981.3847135727,6444.56855766188
"BL25","2030",134399.694236608,64125.4967268899,6091.02449535624
"BL25","2035",132552.772595423,63961.5077286203,5854.35462395057
"BL25","2040",130705.850954238,63797.5187303507,5617.6847525449
"BL25","2045",127827.769592824,64713.6667413701,5588.923549156
"BL31","2050",52266.7937595605,20261.5464045799,701.975698319312
"BL31","2020",52564.1086725916,20754.4924536327,352.699381466496
"BL31","2025",52477.8534137944,20867.8721334228,387.073699523254
"BL31","2030",52391.5981549972,20981.2518132128,421.448017580012
"BL31","2035",52542.0078324196,20638.1361049056,460.255217308152
"BL31","2040",52692.417509842,20295.0203965984,499.062417036291
"BL31","2045",52479.6056347012,20278.2834005892,600.519057677802
"BL32","2050",138595.903929532,125877.566046952,1908.05247623056
"BL32","2020",145171.252523638,122401.223567714,1018.74049416845
"BL32","2025",144040.852879972,123431.632595638,1062.87680094211
"BL32","2030",142910.453236306,124462.041623562,1107.01310771577
"BL32","2035",142501.597347333,124043.260777386,1172.39464337314
"BL32","2040",142092.741458359,123624.47993121,1237.77617903052
"BL32","2045",140344.322693946,124751.022989081,1572.91432763054
"BL33","2050",56745.0092056569,106368.67317815,592.344402373739
"BL33","2020",59888.8833068685,108614.378180196,209.372859964253
"BL33","2025",58904.3741808992,109043.533359375,204.658238974317
"BL33","2030",57919.86505493,109472.688538554,199.943617984381
"BL33","2035",57934.9202965584,108242.032893512,217.404257286345
"BL33","2040",57949.9755381867,107011.377248471,234.864896588309
"BL33","2045",57347.4923719218,106690.025213311,413.604649481024
"BL34","2050",42588.4541450001,124314.763516162,6141.85262059693
"BL34","2020",47763.8368286471,121611.684119135,4267.31678017158
"BL34","2025",45483.774320552,123807.511688239,4650.83096858699
"BL34","2030",43203.711812457,126003.339257344,5034.3451570024
"BL34","2035",43769.4559315274,124775.404285841,5293.92689788003
"BL34","2040",44335.2000505978,123547.469314338,5553.50863875767
"BL34","2045",43461.827097799,123931.11641525,5847.6806296773
"BL35","2050",92403.0795869192,59362.9681353129,1332.74099876882
"BL35","2020",89541.4564024704,66523.761539486,621.131650684058
"BL35","2025",89011.4642781297,66058.2290002448,677.927320698321
"BL35","2030",88481.4721537891,65592.6964610036,734.722990712583
"BL35","2035",89713.8722685274,63649.3106391427,805.072281191498
"BL35","2040",90946.2723832656,61705.9248172817,875.421571670413
"BL35","2045",91674.6759850924,60534.4464762973,1104.08128521962
"BL40","2050",63935.3695386675,78031.8396031599,2748.50150160871
"BL40","2020",63014.3796519859,80891.5081684372,1626.28734355711
"BL40","2025",62587.5698869027,81142.3019256626,1739.13112183733
"BL40","2030",62160.7601218195,81393.0956828881,1851.97490011755
"BL40","2035",63101.2675322165,80032.3237160628,1993.72133405537
"BL40","2040",64041.7749426135,78671.5517492375,2135.46776799319
"BL40","2045",63988.5722406405,78351.6956761987,2441.98463480095
