"luisa_nuts2","year","Arable","Pastures","PermanentCrops"
"CZ00","2050",2277836.07562486,1433526.88334202,54486.2428915295
"CZ00","2020",2642934.8839027,1243266.13598457,46128.5558036299
"CZ00","2025",2589697.24448953,1264222.49354411,47064.0340934282
"CZ00","2030",2536459.60507636,1285178.85110365,47999.5123832264
"CZ00","2035",2478476.70891696,1310830.31760363,49681.965688097
"CZ00","2040",2420493.81275756,1336481.78410361,51364.4189929676
"CZ00","2045",2349164.94419121,1385004.33372281,52925.3309422485
"CZ01","2050",6904.03478558927,4864.85241563747,141.182729183428
"CZ01","2020",9145.81188712683,5317.13465069397,70.1061542449128
"CZ01","2025",8816.47520591713,5100.11012072308,80.8862379234578
"CZ01","2030",8487.13852470743,4883.08559075219,91.6663216020028
"CZ01","2035",8131.74236159306,4781.17896492251,103.691995504068
"CZ01","2040",7776.3461984787,4679.27233909283,115.717669406134
"CZ01","2045",7340.19049203398,4772.06237736515,128.450199294781
"CZ02","2050",478467.138457166,120090.090747542,5424.89048812371
"CZ02","2020",522793.923137204,102168.576986497,4850.70577779081
"CZ02","2025",517650.635981227,102702.481317134,4834.97134147939
"CZ02","2030",512507.348825249,103236.385647772,4819.23690516797
"CZ02","2035",506011.644571858,104992.377660015,4956.94689664336
"CZ02","2040",499515.940318466,106748.369672258,5094.65688811874
"CZ02","2045",488991.539387816,113419.2302099,5259.77368812122
"CZ03","2050",378341.455866861,409751.264069061,7556.5573827743
"CZ03","2020",474359.339854124,348228.750120486,5696.82018074178
"CZ03","2025",458983.654608868,357056.217754445,5950.6368047234
"CZ03","2030",443607.969363612,365883.685388404,6204.45342870503
"CZ03","2035",427895.34679189,375098.881854668,6590.44568119459
"CZ03","2040",412182.724220167,384314.078320932,6976.43793368415
"CZ03","2045",395262.090043514,397032.671194997,7266.49765822922
"CZ04","2050",149663.155233486,198042.401273779,1994.77865680125
"CZ04","2020",190495.537819936,173887.873525376,1923.7628878534
"CZ04","2025",185219.721797389,176201.990403432,1914.07007212307
"CZ04","2030",179943.905774843,178516.107281488,1904.37725639274
"CZ04","2035",173678.293831812,181395.35859108,1935.09264495849
"CZ04","2040",167412.681888781,184274.609900671,1965.80803352425
"CZ04","2045",158537.918561133,191158.505587225,1980.29334516275
"CZ05","2050",345073.384623883,254114.503391379,3683.1825878919
"CZ05","2020",401599.458631585,220700.602041543,3552.7647686708
"CZ05","2025",392685.301728161,225259.504257965,3523.91585619103
"CZ05","2030",383771.144824737,229818.406474388,3495.06694371127
"CZ05","2035",374544.694813183,234572.610395962,3567.95154425844
"CZ05","2040",365318.244801629,239326.814317537,3640.83614480561
"CZ05","2045",355195.814712756,246720.658854458,3662.00936634875
"CZ06","2050",568760.988918819,179580.37651573,30731.6669647086
"CZ06","2020",627411.949474543,158197.036002814,25798.1324263211
"CZ06","2025",618891.035093083,159920.066748476,26389.7135380086
"CZ06","2030",610370.120711624,161643.097494139,26981.2946496962
"CZ06","2035",601213.541983804,164187.842464022,27843.761045795
"CZ06","2040",592056.963255983,166732.587433905,28706.2274418938
"CZ06","2045",580408.976087401,173156.481974818,29718.9472033012
"CZ07","2050",250611.178579831,149213.722964966,3826.00540172813
"CZ07","2020",288949.312706328,134650.936429369,3200.52190193051
"CZ07","2025",283057.442130572,136104.488364143,3325.30772592338
"CZ07","2030",277165.571554816,137558.040298916,3450.09354991625
"CZ07","2035",270982.794619064,139475.794017373,3585.66982318464
"CZ07","2040",264800.017683311,141393.547735829,3721.24609645302
"CZ07","2045",257705.598131571,145303.635350398,3773.62574909058
"CZ08","2050",100014.739159229,117869.671963926,1127.97868031818
"CZ08","2020",128179.55039185,100115.226227787,1035.74170607664
"CZ08","2025",124392.977944312,101877.63457779,1044.53251705581
"CZ08","2030",120606.405496773,103640.042927792,1053.32332803498
"CZ08","2035",116018.649943759,106326.273655586,1098.40605655841
"CZ08","2040",111430.894390745,109012.50438338,1143.48878508183
"CZ08","2045",105722.816774987,113441.088173653,1135.73373270001
