"luisa_nuts2","year","Arable","Pastures","PermanentCrops"
"DE00","2050",10759781.651339,7706769.57206942,211466.627346905
"DE00","2020",12010351.6374416,6981267.25485978,223950.924732968
"DE00","2025",11798887.3341314,6965990.85869622,214765.925827175
"DE00","2030",11587423.0308212,6950714.46253265,205580.926921383
"DE00","2035",11435748.4028938,7061738.42963049,206310.991357639
"DE00","2040",11284073.7749665,7172762.39672833,207041.055793895
"DE00","2045",11021927.7131527,7439765.98439888,209253.8415704
"DE11","2050",299739.669282241,187790.183026646,11720.9884027697
"DE11","2020",323209.739828676,186150.212133657,12669.7969671854
"DE11","2025",317365.1483326,184303.472193402,12311.0665473374
"DE11","2030",311520.556836524,182456.732253148,11952.3361274894
"DE11","2035",309367.786537098,182503.175690121,11858.7324062399
"DE11","2040",307215.016237673,182549.619127094,11765.1286849905
"DE11","2045",303477.342759957,185169.90107687,11743.0585438801
"DE12","2050",126869.599121072,100915.827815231,4734.05063398123
"DE12","2020",140203.79411255,101498.304448208,5131.67471472461
"DE12","2025",137137.609094567,99387.4320823731,4940.14257531984
"DE12","2030",134071.424076584,97276.5597165383,4748.61043591508
"DE12","2035",132549.78651668,97195.2932955743,4765.67087404347
"DE12","2040",131028.148956777,97114.0268746103,4782.73131217187
"DE12","2045",128948.874038924,99014.9273449208,4758.39097307655
"DE13","2050",132125.011312601,189392.237493158,9501.73265291723
"DE13","2020",151690.547867803,188939.50087606,10546.1460699265
"DE13","2025",146910.900643669,187441.631818064,10053.0215416887
"DE13","2030",142131.253419535,185943.762760069,9559.89701345086
"DE13","2035",139981.761837206,186081.966705196,9561.73109577255
"DE13","2040",137832.270254878,186220.170650322,9563.56517809425
"DE13","2045",134978.640783739,187806.20407174,9532.64891550574
"DE14","2050",213554.43974861,261312.751441212,5263.19150300032
"DE14","2020",233957.066493577,249221.702644563,8023.95673515593
"DE14","2025",228919.512345308,248656.168871505,7431.913602513
"DE14","2030",223881.958197038,248090.635098446,6839.87046987007
"DE14","2035",221784.547889557,250103.929581838,6408.7170399923
"DE14","2040",219687.137582076,252117.224065229,5977.56361011453
"DE14","2045",216620.788665343,256714.987753221,5620.37755655742
"DE21","2050",346378.549808662,517956.91279052,3348.51182079119
"DE21","2020",431502.221287939,437384.881761733,4443.39721670655
"DE21","2025",419545.761452485,435880.619321521,4102.98215142597
"DE21","2030",407589.30161703,434376.35688131,3762.56708614538
"DE21","2035",396849.975168037,448097.832117468,3741.93329656794
"DE21","2040",386110.648719044,461819.307353626,3721.29950699049
"DE21","2045",366244.599263853,489888.110072073,3534.90566389084
"DE22","2050",373900.046722284,167415.294766338,3299.79871356755
"DE22","2020",395936.032465032,166922.124200682,4115.16038819639
"DE22","2025",390387.851019311,165214.552046167,3867.10435037304
"DE22","2030",384839.66957359,163506.979891653,3619.04831254969
"DE22","2035",382932.170164543,163429.225243572,3513.63321100951
"DE22","2040",381024.670755495,163351.470595491,3408.21810946934
"DE22","2045",377462.35873889,165383.382680915,3354.00841151845
"DE23","2050",250311.346116571,183664.213974119,4280.9980264669
"DE23","2020",274742.983100536,176194.631603038,5862.60562021353
"DE23","2025",269626.854778601,174612.703209717,5252.7735947224
"DE23","2030",264510.726456666,173030.774816397,4642.94156923127
"DE23","2035",262257.857275008,174000.651514023,4465.40496854163
"DE23","2040",260004.988093349,174970.528211648,4287.86836785199
"DE23","2045",255158.16710496,179317.371092883,4284.43319715944
"DE24","2050",194846.82484694,140708.31256736,4725.57073517203
"DE24","2020",220274.044658258,124321.656786076,5575.77139837972
"DE24","2025",215838.55466131,124022.88746312,5115.86669198884
"DE24","2030",211403.064664362,123724.118140163,4655.96198559797
"DE24","2035",208050.608543664,126661.353055576,4671.70089638118
"DE24","2040",204698.152422966,129598.587970989,4687.4398071644
"DE24","2045",199772.488634953,135153.450269174,4706.50527116821
"DE25","2050",212404.599916835,129129.17826954,3915.14014207341
"DE25","2020",237417.802429882,125707.282560817,4493.98537180997
"DE25","2025",231770.14679932,124322.861191471,4183.14048932126
"DE25","2030",226122.491168757,122938.439822125,3872.29560683255
"DE25","2035",223137.864868698,123383.793450511,3872.43097464459
"DE25","2040",220153.238568638,123829.147078896,3872.56634245663
"DE25","2045",216278.919242737,126479.162674218,3893.85324226502
"DE26","2050",288856.50244798,66514.331046013,5630.47873483283
"DE26","2020",297631.16550318,75156.6214220467,5284.29921969597
"DE26","2025",295842.437056793,71819.6879492467,5027.05622665719
"DE26","2030",294053.708610406,68482.7544764467,4769.81323361841
"DE26","2035",293323.695619236,67203.4730053365,4956.37508895587
"DE26","2040",292593.682628066,65924.1915342264,5142.93694429333
"DE26","2045",290725.092538023,66219.2612901197,5386.70783956308
"DE27","2050",209318.521004553,331928.649894455,733.940354288635
"DE27","2020",237357.483235873,323898.920812486,760.293835312129
"DE27","2025",231608.222293531,323519.528729594,720.078298242036
"DE27","2030",225858.96135119,323140.136646701,679.862761171944
"DE27","2035",222512.171070214,324772.619807133,688.223028883417
"DE27","2040",219165.380789239,326405.102967565,696.583296594889
"DE27","2045",214241.950896896,329166.87643101,715.261825441762
"DE40","2050",940121.11414073,623579.800400173,11656.8871581388
"DE40","2020",1057031.80737991,539989.098861593,9691.89791594381
"DE40","2025",1035994.98702233,538060.541077443,9735.68431210114
"DE40","2030",1014958.16666476,536131.983293293,9779.47070825847
"DE40","2035",1003236.42215925,548020.365580488,10249.1617892564
"DE40","2040",991514.677653743,559908.747867683,10718.8528702542
"DE40","2045",965817.895897237,591744.274133928,11187.8700141965
"DE71","2050",142225.481078433,126822.040723262,4504.16871344114
"DE71","2020",159948.1771659,120701.661283407,4201.14460878766
"DE71","2025",156455.396294433,119750.759817619,4066.00724480632
"DE71","2030",152962.615422966,118799.858351831,3930.86988082499
"DE71","2035",150512.482520434,119943.680787834,4075.55034789132
"DE71","2040",148062.349617902,121087.503223836,4220.23081495766
"DE71","2045",145143.915348167,123954.771973549,4362.1997641994
"DE72","2050",102431.422365883,95922.9707496654,1952.76533479941
"DE72","2020",116300.371562324,91912.5561018497,2289.80546390362
"DE72","2025",113873.085530517,91194.6711175529,2163.22419008411
"DE72","2030",111445.79949871,90476.7861332561,2036.6429162646
"DE72","2035",109468.953263431,91233.3852201186,2020.59131308732
"DE72","2040",107492.107028152,91989.9843069811,2004.53970991004
"DE72","2045",104961.764697018,93956.4775283232,1978.65252235473
"DE73","2050",189703.856751105,125049.295704082,3423.27984759678
"DE73","2020",212333.723765473,122292.42660919,3846.252544222
"DE73","2025",207661.940254826,121091.406970945,3605.20803451899
"DE73","2030",202990.156744179,119890.3873327,3364.16352481597
"DE73","2035",200016.543168663,120423.398451721,3394.332583887
"DE73","2040",197042.929593148,120956.409570743,3424.50164295802
"DE73","2045",193373.393172126,123002.852637413,3423.8907452774
"DE80","2050",936439.817823729,577257.212882726,5678.0223486675
"DE80","2020",1079967.3352488,456575.877458103,7904.85980262735
"DE80","2025",1061254.846274,462931.299289057,6957.06787048652
"DE80","2030",1042542.35729921,469286.72112001,6009.27593834569
"DE80","2035",1025292.06120577,485905.665613664,5882.13607838036
"DE80","2040",1008041.76511234,502524.610107317,5754.99621841502
"DE80","2045",972240.791468034,539890.911495022,5716.50928354126
"DE91","2050",328241.815168137,55696.4913283146,5824.50436792228
"DE91","2020",344861.463442779,57328.43487866,3915.01433447682
"DE91","2025",340604.849658675,55886.519556335,4047.93371635161
"DE91","2030",336348.23587457,54444.6042340101,4180.8530982264
"DE91","2035",334807.024099901,54069.3434284714,4540.89071891043
"DE91","2040",333265.812325232,53694.0826229328,4900.92833959446
"DE91","2045",330753.813746685,54695.2869756237,5362.71635375837
"DE92","2050",401264.849826754,120920.432336739,6516.02043595879
"DE92","2020",424534.566256682,113840.142476261,4904.1223065303
"DE92","2025",420253.309698801,112849.377595898,4934.51827887253
"DE92","2030",415972.053140919,111858.612715534,4964.91425121476
"DE92","2035",413153.238780883,113039.581847645,5330.75003894904
"DE92","2040",410334.424420848,114220.550979756,5696.58582668332
"DE92","2045",405799.637123801,117570.491658247,6106.30313132105
"DE93","2050",487891.814957647,438721.710699154,1584.87152466067
"DE93","2020",525574.648785998,420575.366150631,3236.87047977715
"DE93","2025",518123.513193429,418586.584307889,2589.43308124392
"DE93","2030",510672.37760086,416597.802465147,1941.99568271069
"DE93","2035",507235.977857957,419160.877569081,1823.46675714392
"DE93","2040",503799.578115053,421723.952673014,1704.93783157715
"DE93","2045",495845.69653635,430222.831686084,1644.90467811891
"DE94","2050",495066.993467216,661996.334681375,2614.35738827525
"DE94","2020",588114.57389405,575339.644327811,2936.91851143719
"DE94","2025",575386.748281777,582583.509672107,2645.01193650147
"DE94","2030",562658.922669504,589827.375016404,2353.10536156575
"DE94","2035",548891.029773202,603682.766790266,2375.98591351111
"DE94","2040",535123.1368769,617538.158564129,2398.86646545647
"DE94","2045",515095.065172058,639767.246622752,2506.61192686586
"DEA1","2050",136579.611096499,111946.799995485,1454.62597763444
"DEA1","2020",158405.037559285,103556.2587366,2048.9529501741
"DEA1","2025",154541.948904594,103459.355553137,1855.21732385779
"DEA1","2030",150678.860249904,103362.452369674,1661.48169754148
"DEA1","2035",147566.280972989,104664.932377772,1581.46085806553
"DEA1","2040",144453.701696074,105967.41238587,1501.44001858958
"DEA1","2045",140516.656396286,108957.106190677,1478.03299811201
"DEA2","2050",147284.559941959,251194.072695991,1596.50674724171
"DEA2","2020",178790.501474295,226234.881438442,2233.82170960096
"DEA2","2025",174439.607049736,225125.648763083,1969.35422496031
"DEA2","2030",170088.712625177,224016.416087724,1704.88674031966
"DEA2","2035",165140.477311137,228555.583081132,1655.09066651242
"DEA2","2040",160192.241997098,233094.750074539,1605.29459270518
"DEA2","2045",153738.400969528,242144.411385265,1600.90066997345
"DEA3","2050",310947.748693472,109167.200243528,5815.68376952894
"DEA3","2020",340215.991831049,95520.840123512,4943.44222667686
"DEA3","2025",334775.487085392,96706.4102612023,4764.48972880691
"DEA3","2030",329334.982339735,97891.9803988926,4585.53723093696
"DEA3","2035",325442.536623028,99960.8900968697,4811.14852939696
"DEA3","2040",321550.090906322,102029.799794847,5036.75982785696
"DEA3","2045",316248.919799897,105598.500019187,5426.22179869295
"DEA4","2050",256529.797173181,82016.8129750132,6714.0458932636
"DEA4","2020",269229.858126383,83625.1920629011,5111.39302422234
"DEA4","2025",266775.053926218,82096.2901549152,5002.70857940847
"DEA4","2030",264320.249726052,80567.3882469292,4894.02413459459
"DEA4","2035",263172.88392061,79981.8190406468,5282.72120563787
"DEA4","2040",262025.518115167,79396.2498343645,5671.41827668116
"DEA4","2045",259277.657644174,80706.5314046889,6192.73208497238
"DEA5","2050",110602.45300891,155118.940081778,1293.75655223303
"DEA5","2020",133552.343843149,146051.473893267,1643.70635864671
"DEA5","2025",129091.336850318,145597.175285777,1500.99401156039
"DEA5","2030",124630.329857486,145142.876678287,1358.28166447406
"DEA5","2035",121482.325392859,146759.637130454,1313.41311900786
"DEA5","2040",118334.320928232,148376.397582621,1268.54457354165
"DEA5","2045",114468.386968571,151747.668832199,1281.15056288734
"DEB1","2050",131499.903221452,155379.172616474,14907.1404762066
"DEB1","2020",147818.373287496,147042.000580479,15952.3011732415
"DEB1","2025",144784.331994717,145797.722333571,15667.4789919149
"DEB1","2030",141750.290701938,144553.444086662,15382.6568105883
"DEB1","2035",139939.226203665,145956.911899602,15285.3892920562
"DEB1","2040",138128.161705393,147360.379712543,15188.1217735241
"DEB1","2045",134814.032463422,151369.776164508,15047.6311248654
"DEB2","2050",65230.6746105007,113064.419602772,8275.13110973709
"DEB2","2020",68267.7862523308,115090.909446865,12944.4251486167
"DEB2","2025",67150.6359552221,113912.729840618,12057.9374459534
"DEB2","2030",66033.4856581134,112734.550234371,11171.4497432901
"DEB2","2035",66056.9076709446,112320.899180919,10363.5557221663
"DEB2","2040",66080.3296837759,111907.248127467,9555.66170104247
"DEB2","2045",65655.5021471383,112485.83386512,8915.39640538979
"DEB3","2050",168713.973822601,90213.0189048067,49652.5696800815
"DEB3","2020",189964.303303062,83786.0424874592,45204.8600395281
"DEB3","2025",186786.530223758,82241.3242049981,45596.1069145697
"DEB3","2030",183608.757144454,80696.6059225371,45987.3537896113
"DEB3","2035",180248.979786857,82120.310566204,46936.2690345335
"DEB3","2040",176889.20242926,83544.015209871,47885.1842794557
"DEB3","2045",172801.588125931,86878.5170573389,48768.8769797686
"DEC0","2050",26787.5546983216,67563.5936517593,509.998553816114
"DEC0","2020",36548.6198365186,61601.5043843723,541.162192523106
"DEC0","2025",35008.9548771351,61487.6218700878,509.475261481876
"DEC0","2030",33469.2899177516,61373.7393558032,477.788330440647
"DEC0","2035",31875.6039821932,62511.2738324281,483.958826090385
"DEC0","2040",30281.9180466348,63648.808309053,490.129321740124
"DEC0","2045",28534.7363724782,65606.2009804062,500.063937778119
"DED0","2050",666150.150777695,305692.70019262,5689.6135616387
"DED0","2020",735236.2226209,269117.349144789,6726.06265130611
"DED0","2025",723162.273735239,268729.378796491,6365.49853689996
"DED0","2030",711088.324849578,268341.408448194,6004.9344224938
"DED0","2035",702827.920788085,273594.895806451,5857.9423834092
"DED0","2040",694567.516726592,278848.383164708,5710.95034432461
"DED0","2045",680358.833752143,292270.541678664,5700.28195298165
"DEE0","2050",898353.225652809,425504.71054475,6501.56971374098
"DEE0","2020",1020170.04959275,318149.584217417,7812.54931096217
"DEE0","2025",1005006.74364331,320856.89767914,7220.6336894326
"DEE0","2030",989843.437693873,323564.211140863,6628.71806790303
"DEE0","2035",974022.064649511,339628.164484904,6590.75134667873
"DEE0","2040",958200.691605149,355692.117828945,6552.78462545444
"DEE0","2045",928276.958628979,390598.414186847,6527.17716959771
"DEF0","2050",577442.453052877,535683.973203663,2501.08458448346
"DEF0","2020",636580.090326203,493702.775840748,2241.83775131148
"DEF0","2025",630242.784390258,494695.982378263,2163.21812532281
"DEF0","2030",623905.478454314,495689.188915779,2084.59849933413
"DEF0","2035",616109.588671697,501879.137928119,2153.26219025598
"DEF0","2040",608313.698889079,508069.08694046,2221.92588117784
"DEF0","2045",592878.075970978,521876.530072062,2361.50523283065
"DEG0","2050",591967.269680702,201529.974770693,5645.6218879772
"DEG0","2020",642982.910902978,183837.395106058,6712.43669114534
"DEG0","2025",632559.970809213,183168.107293905,6343.57825845001
"DEG0","2030",622137.030715449,182498.819481752,5974.71982575468
"DEG0","2035",616501.648600822,184891.595449353,5798.6097617784
"DEG0","2040",610866.266486194,187284.371416953,5622.49969780213
"DEG0","2045",601416.768083448,194407.173093823,5634.06079288966
