"luisa_nuts2","year","Arable","Pastures","PermanentCrops"
"EL00","2050",1274179.56323637,5343746.52050111,1674579.27987602
"EL00","2020",1741083.11092669,5298067.06956994,1228655.22244168
"EL00","2025",1662154.983167,5328740.71507954,1265796.53323498
"EL00","2030",1583226.8554073,5359414.36058914,1302937.84402828
"EL00","2035",1465380.50555578,5376220.24618839,1394300.87122225
"EL00","2040",1347534.15570425,5393026.13178765,1485663.89841623
"EL00","2045",1310856.85947031,5368386.32614438,1580121.58914613
"EL11","2050",263887.592061843,519119.755633854,77085.959077241
"EL11","2020",300165.116829382,512090.123471434,46036.5243210817
"EL11","2025",304946.230243965,503944.781051218,49319.4523154082
"EL11","2030",309727.343658549,495799.438631002,52602.3803097348
"EL11","2035",298013.275626709,500618.601922434,57730.1477966122
"EL11","2040",286299.207594869,505437.765213866,62857.9152834895
"EL11","2045",275093.399828356,512278.76042386,69971.9371803653
"EL12","2050",361276.255707845,734677.585422514,200961.442936588
"EL12","2020",460096.18255522,730151.157433958,104236.715599616
"EL12","2025",440598.046846283,737136.171550988,115299.76272841
"EL12","2030",421099.911137347,744121.185668018,126362.809857205
"EL12","2035",399678.779682111,747557.336584693,142364.080749751
"EL12","2040",378257.648226876,750993.487501369,158365.351642298
"EL12","2045",369766.95196736,742835.536461941,179663.397289443
"EL13","2050",183251.942831167,318098.654955743,30148.6426001639
"EL13","2020",163093.23472583,344747.010810381,18058.529804859
"EL13","2025",163208.702698359,342681.909490851,19878.9679732443
"EL13","2030",163324.170670889,340616.808171321,21699.4061416296
"EL13","2035",168015.479418631,334135.659447472,23479.9307234756
"EL13","2040",172706.788166373,327654.510723623,25260.4553053215
"EL13","2045",177979.36549877,322876.582839683,27704.5489527427
"EL14","2050",284540.679642316,644097.771302254,122269.273358608
"EL14","2020",337763.145793203,628645.392213264,78790.1104165932
"EL14","2025",330281.933140908,632975.500820618,81369.6328413653
"EL14","2030",322800.720488613,637305.609427971,83949.1552661374
"EL14","2035",302628.654990111,648646.994703874,91509.1405117864
"EL14","2040",282456.589491608,659988.379979776,99069.1257574355
"EL14","2045",283498.634566962,652043.075641015,110669.199558022
