"luisa_nuts2","year","Arable","Pastures","PermanentCrops"
"NO00","2050",798832.223827854,282099.337757183,2425.51514699465
"NO00","2020",861166.142973182,263418.511256,3527.85536551608
"NO00","2025",855391.179124009,264671.165636958,3327.11855453222
"NO00","2030",849616.215274837,265923.820017917,3126.38174354835
"NO00","2035",841475.084671789,268829.348474453,2950.57614237655
"NO00","2040",833333.954068742,271734.87693099,2774.77054120475
"NO00","2045",816083.088948298,276917.107344086,2600.1428440997
"NO02","2050",174392.202007776,37842.1940553237,101.368293388766
"NO02","2020",187786.433928862,31595.5544141808,273.794991365166
"NO02","2025",187246.114115923,32329.7919943525,238.576138985019
"NO02","2030",186705.794302985,33064.0295745242,203.357286604873
"NO02","2035",184632.254402545,34072.4150206291,177.900361702962
"NO02","2040",182558.714502105,35080.800466734,152.44343680105
"NO02","2045",178475.45825494,36461.4972610288,126.905865094908
"NO06","2050",137377.580944251,33234.5774167887,57.4659719228977
"NO06","2020",148530.738162079,26539.1681843374,160.570466142525
"NO06","2025",147220.762281975,27576.6382430644,138.72456601815
"NO06","2030",145910.786401871,28614.1083017913,116.878665893774
"NO06","2035",144393.657719024,29652.7254833554,100.633182080374
"NO06","2040",142876.529036178,30691.3426649195,84.3876982669733
"NO06","2045",140127.054990214,31962.9600408541,70.9268350949355
"NO07","2050",76596.2433118528,86345.9689066445,65.5670051802988
"NO07","2020",78593.5644271773,86363.5779357842,61.6660367966327
"NO07","2025",78897.5842512231,85843.0029628917,62.4434915575878
"NO07","2030",79201.6040752688,85322.4279899993,63.220946318543
"NO07","2035",78919.2246515268,85338.6596467265,64.3632757118104
"NO07","2040",78636.8452277848,85354.8913034538,65.5056051050779
"NO07","2045",77616.5442698188,85850.4301050491,65.5363051426884
"NO08","2050",181827.384711494,15363.7145292724,627.250487343728
"NO08","2020",199665.962323814,13487.1804190759,784.326340444846
"NO08","2025",198278.885105906,13450.7536182421,768.00164406008
"NO08","2030",196891.807887997,13414.3268174083,751.676947675313
"NO08","2035",194513.868680393,13652.9088684041,734.785746068375
"NO08","2040",192135.929472789,13891.4909193999,717.894544461438
"NO08","2045",186981.657092142,14627.6027243361,672.572515902583
"NO09","2050",78303.6133126624,17003.3015714803,482.761650115469
"NO09","2020",87036.159352534,15104.7167860777,762.141194811214
"NO09","2025",85985.4862956828,15125.2056811418,709.589952395408
"NO09","2030",84934.8132388315,15145.694576206,657.038709979602
"NO09","2035",83771.6749158067,15438.5357689486,614.736549894331
"NO09","2040",82608.5365927819,15731.3769616912,572.434389809061
"NO09","2045",80456.0749527222,16367.3392665858,527.598019962265
"NO0A","2050",150335.199539818,92309.5812776732,1091.10173904349
"NO0A","2020",159553.284778715,90328.3135165443,1485.3563359557
"NO0A","2025",157762.3470733,90345.7731372659,1409.78276151597
"NO0A","2030",155971.409367884,90363.2327579874,1334.20918707625
"NO0A","2035",155244.404302494,90674.1036863894,1258.1570269187
"NO0A","2040",154517.399237103,90984.9746147914,1182.10486676115
"NO0A","2045",152426.299388461,91647.2779462323,1136.60330290232
