"luisa_nuts2","year","Arable","Pastures","PermanentCrops"
"PT00","2050",1449760.48775772,1042638.94827715,759394.201684737
"PT00","2020",1543315.7791386,1083539.1075443,764148.25626812
"PT00","2025",1519467.86033927,1078696.94005224,768866.420577632
"PT00","2030",1495619.94153993,1073854.77256018,773584.584887144
"PT00","2035",1483671.40475782,1062131.82028922,770500.599199168
"PT00","2040",1471722.86797571,1050408.86801825,767416.613511192
"PT00","2045",1460741.67786671,1046523.9081477,763405.407597964
"PT11","2050",208137.082052191,204738.639475945,170877.048321883
"PT11","2020",253181.475469579,187520.728378493,185254.5232439
"PT11","2025",244265.678599719,190774.778927358,183944.382124113
"PT11","2030",235349.881729859,194028.829476222,182634.241004326
"PT11","2035",228831.433099638,195446.450306244,180014.412383175
"PT11","2040",222312.984469417,196864.071136266,177394.583762024
"PT11","2045",215225.033260804,200801.355306105,174135.816041953
"PT15","2050",37692.4845922339,39618.8977142776,33929.521069618
"PT15","2020",46762.0537257146,37888.5363508769,35634.7594161496
"PT15","2025",46341.5502538232,37767.766219531,34769.8309662821
"PT15","2030",45921.0467819317,37646.9960881851,33904.9025164147
"PT15","2035",44969.882413301,37185.0197763477,33714.347626568
"PT15","2040",44018.7180446702,36723.0434645103,33523.7927367214
"PT15","2045",40855.6013184521,38170.970589394,33726.6569031697
"PT16","2050",286437.593281715,177918.696434219,63874.7829615916
"PT16","2020",286606.894558326,180347.700855105,108612.152279675
"PT16","2025",286408.544272704,180599.532091693,100494.45222882
"PT16","2030",286210.193987083,180851.363328281,92376.7521779646
"PT16","2035",285500.124132299,179803.309013469,84441.2978755704
"PT16","2040",284790.054277516,178755.254698657,76505.8435731763
"PT16","2045",285613.823779615,178336.975566438,70190.3132673839
"PT17","2050",29860.1119173076,25699.3450816326,8223.58168593777
"PT17","2020",34707.8130646815,26117.1054985521,13856.9280614511
"PT17","2025",33753.8757915956,26089.4051781905,13171.8449934827
"PT17","2030",32799.9385185097,26061.7048578289,12486.7619255143
"PT17","2035",32774.4163171038,25695.6635119341,11070.6313966686
"PT17","2040",32748.8941156979,25329.6221660394,9654.50086782294
"PT17","2045",31304.5030165027,25514.483623836,8939.04127688035
"PT18","2050",858099.329849242,540401.468665538,454917.787766006
"PT18","2020",897264.221058139,584966.663214933,396061.651840718
"PT18","2025",883669.964540535,579491.396771671,410246.889642144
"PT18","2030",870075.708022932,574016.130328409,424432.12744357
"PT18","2035",865013.87794272,565310.017049846,433198.684730036
"PT18","2040",859952.047862509,556603.903771283,441965.242016503
"PT18","2045",859025.688855876,548502.68621841,448441.514891254
"PT20","2050",28992.7871618675,52043.498210449,27231.7729203075
"PT20","2020",22549.4077475713,64854.0386996378,23772.1555494509
"PT20","2025",23137.8328646146,61996.6328645294,25356.0873295834
"PT20","2030",23726.2579816579,59139.227029421,26940.0191097159
"PT20","2035",25242.7961362762,56673.5178381551,27371.9737715681
"PT20","2040",26759.3342908946,54207.8086468892,27803.9284334203
"PT20","2045",27876.060726381,53125.6534286691,27517.8506768639
"PT30","2050",541.098903160278,2218.40269508385,339.706959393126
"PT30","2020",2243.91351458591,1844.33454670396,956.085876774602
"PT30","2025",1890.41401627367,1977.42799927051,882.933293206288
"PT30","2030",1536.91451796143,2110.52145183706,809.780709637975
"PT30","2035",1338.87471648187,2017.84279322302,689.251415580704
"PT30","2040",1140.8349150023,1925.16413460897,568.722121523433
"PT30","2045",840.966909081289,2071.78341484641,454.214540458279
