"luisa_nuts2","year","Arable","Pastures","PermanentCrops"
"RO00","2050",7944465.04975147,4762528.94213034,938852.818173982
"RO00","2020",8901229.24402728,4963981.67793745,294341.625459469
"RO00","2025",8818607.32932802,4924263.64367692,276807.935333364
"RO00","2030",8735985.41462875,4884545.60941638,259274.245207258
"RO00","2035",8747310.75991473,4856446.60460276,246586.236615619
"RO00","2040",8758636.1052007,4828347.59978914,233898.22802398
"RO00","2045",8351550.57747609,4795438.27095974,586375.523098981
"RO01","2050",1125527.20478459,660157.976788222,140370.52395939
"RO01","2020",1248247.99170733,734517.385922214,44621.8453291407
"RO01","2025",1239083.50122137,721572.847534021,42188.0058776707
"RO01","2030",1229919.01073542,708628.309145828,39754.1664262008
"RO01","2035",1232189.29135705,699204.598878043,38294.1638018033
"RO01","2040",1234459.57197869,689780.888610258,36834.1611774059
"RO01","2045",1179993.38838164,674969.43269924,88602.342568398
"RO02","2050",1766320.46216031,366456.980788349,159018.171149777
"RO02","2020",1845327.4387254,404064.913399688,79197.5153649279
"RO02","2025",1851887.85891806,392615.24911184,71690.5637174466
"RO02","2030",1858448.27911073,381165.584823992,64183.6120699653
"RO02","2035",1873333.77764698,371789.894014995,57898.4713589653
"RO02","2040",1888219.27618323,362414.203205998,51613.3306479653
"RO02","2045",1827269.86917177,364435.591997174,105315.750898871
"RO03","2050",1882233.33765223,322558.587560383,162219.469829606
"RO03","2020",1997955.78453458,357584.645309062,56817.5367439344
"RO03","2025",1992733.28317298,351493.431260471,54813.5247507606
"RO03","2030",1987510.78181139,345402.21721188,52809.5127575867
"RO03","2035",1993611.6426888,339429.959013011,51195.4831541776
"RO03","2040",1999712.50356621,333457.700814142,49581.4535507685
"RO03","2045",1940972.92060922,328008.144187262,105900.461690187
"RO04","2050",1096424.66726176,428494.829364936,145942.695088355
"RO04","2020",1227002.40303863,452787.526951509,63133.6236790584
"RO04","2025",1219653.30164948,443353.074503248,61502.1033093073
"RO04","2030",1212304.20026034,433918.622054986,59870.5829395562
"RO04","2035",1210760.86133125,431043.86421293,58668.9364065061
"RO04","2040",1209217.52240217,428169.106370873,57467.2898734559
"RO04","2045",1152821.09483197,428331.967867905,101704.992480905
"RO05","2050",882636.99218206,748122.9397052,107768.419462333
"RO05","2020",1007163.20427455,764222.589396218,21129.5658937757
"RO05","2025",996243.005332749,756217.825102924,19288.9231559039
"RO05","2030",985322.806390945,748213.060809631,17448.2804180322
"RO05","2035",1000921.00246253,738901.304151871,16575.5236990642
"RO05","2040",1016519.19853411,729589.547494111,15702.7669800963
"RO05","2045",949578.095358083,738856.243599655,61735.5932212146
"RO06","2050",701118.336434217,1023991.10656822,110365.30132721
"RO06","2020",881195.054346507,1042649.60975304,13952.4767717454
"RO06","2025",856302.664619415,1044183.11869518,12540.395216896
"RO06","2030",831410.274892322,1045716.62763732,11128.3136620466
"RO06","2035",821009.333376259,1047144.82083752,10399.5355000625
"RO06","2040",810608.391860195,1048573.01403772,9670.75733807835
"RO06","2045",755863.364147206,1036282.06030297,60018.0293326443
"RO07","2050",399672.236208201,1208842.84875468,104082.510848803
"RO07","2020",597915.301958496,1202030.21501702,11794.2377321724
"RO07","2025",566648.613534833,1209089.03975912,11076.4750187395
"RO07","2030",535381.92511117,1216147.86450122,10358.7123053065
"RO07","2035",519644.051284422,1223906.21580205,9808.27796986008
"RO07","2040",503906.177457674,1231664.56710287,9257.84363441366
"RO07","2045",451789.206832938,1220253.70792877,56670.1772416083
"RO08","2050",90531.8130681085,3903.67260035365,9085.72650850734
"RO08","2020",96422.0654417962,6124.7921886967,3694.82394471421
"RO08","2025",96055.1008791188,5739.05771011063,3707.94428663911
"RO08","2030",95688.1363164415,5353.32323152455,3721.064628564
"RO08","2035",95840.7997674339,5025.94769234699,3745.84472518006
"RO08","2040",95993.4632184263,4698.57215316943,3770.62482179612
"RO08","2045",93262.6381432674,4301.12237676154,6428.17566515173
