Region,Year,ForestAreaOriginal,ForestsMatMin,ForestsMatMax,ForestsYoMin,ForestsYoMax
BELUX,2000,754400.125,528079,980720,0,0
BELUX,2001,754061.6515,527842,980279,0,0
BELUX,2002,753723.178,527605,979839,0,0
BELUX,2003,753384.7046,527369,979399,0,0
BELUX,2004,753046.2311,527131,978959,0,0
BELUX,2005,752707.7576,526895,978519,0,0
BELUX,2006,753126.3523,527188,979063,0,0
BELUX,2007,753544.9469,527481,979607,0,0
BELUX,2008,753963.5416,527773,980152,0,0
BELUX,2009,754382.1362,528066,980695,0,0
BELUX,2010,754800.7309,528359,981240,0,0
BELUX,2011,755537.6549,528875,982198,0,0
BELUX,2012,756274.579,529391,983156,0,0
BELUX,2013,757011.503,529907,984114,0,0
BELUX,2014,757748.4271,530422,985071,0,0
BELUX,2015,758485.3511,530938,986030,0,0
BELUX,2016,759198.6201,531438,986957,0,0
BELUX,2017,759911.8892,531937,987885,0,0
BELUX,2018,760625.1582,532436,988812,0,0
BELUX,2019,761338.4273,532936,989739,0,0
BELUX,2020,762051.6963,533435,990667,0,0
BELUX,2021,762975.4731,534082,991867,0,0
BELUX,2022,763899.2498,534728,993068,0,0
BELUX,2023,764823.0266,535375,994269,0,0
BELUX,2024,765746.8033,536022,995470,0,0
BELUX,2025,766670.5801,536668,996671,0,0
BELUX,2026,767908.6262,537535,998280,0,0
BELUX,2027,769146.6723,538402,999890,0,0
BELUX,2028,770384.7183,539268,1001499,0,0
BELUX,2029,771622.7644,540135,1003109,0,0
BELUX,2030,772860.8105,541002,1004718,0,0
BELUX,2031,773962.9402,541774,1006151,0,0
BELUX,2032,775065.0699,542545,1007583,0,0
BELUX,2033,776167.1996,543317,1009016,0,0
BELUX,2034,777269.3293,544087,1010449,0,0
BELUX,2035,778371.459,544859,1011882,0,0
BELUX,2036,779411.907,545587,1013234,0,0
BELUX,2037,780452.355,546315,1014587,0,0
BELUX,2038,781492.8031,547044,1015940,0,0
BELUX,2039,782533.2511,547772,1017292,0,0
BELUX,2040,783573.6991,548501,1018645,0,0
BELUX,2041,784684.7276,549279,1020089,0,0
BELUX,2042,785795.7562,550056,1021534,0,0
BELUX,2043,786906.7847,550834,1022978,0,0
BELUX,2044,788017.8133,551611,1024422,0,0
BELUX,2045,789128.8418,552389,1025866,0,0
BELUX,2046,790038.9445,553026,1027049,0,0
BELUX,2047,790949.0472,553664,1028233,0,0
BELUX,2048,791859.15,554301,1029416,0,0
BELUX,2049,792769.2527,554938,1030599,0,0
BELUX,2050,793679.3554,555575,1031782,0,0
BELUX,2051,794448.4749,556113,1032782,0,0
BELUX,2052,795217.5945,556651,1033782,0,0
BELUX,2053,795986.714,557190,1034781,0,0
BELUX,2054,796755.8336,557728,1035781,0,0
BELUX,2055,797524.9531,558267,1036781,0,0
BELUX,2056,797960.6562,558572,1037348,0,0
BELUX,2057,798396.3593,558877,1037914,0,0
BELUX,2058,798832.0625,559182,1038480,0,0
BELUX,2059,799267.7656,559487,1039047,0,0
BELUX,2060,799703.4687,559792,1039613,0,0
BELUX,2061,800146.8507,560102,1040190,0,0
BELUX,2062,800590.2328,560412,1040766,0,0
BELUX,2063,801033.6148,560723,1041342,0,0
BELUX,2064,801476.9969,561033,1041919,0,0
BELUX,2065,801920.3789,561343,1042495,0,0
BELUX,2066,802368.9336,561657,1043078,0,0
BELUX,2067,802817.4883,561971,1043661,0,0
BELUX,2068,803266.0429,562285,1044245,0,0
BELUX,2069,803714.5976,562599,1044828,0,0
BELUX,2070,804163.1523,562913,1045411,0,0
