"Region","Year","ForestAreaOriginal","ForestsMatMin","ForestsMatMax","ForestsYoMin","ForestsYoMax"
"BG",2000,3375000.25,2362500,4387500,0,0
"BG",2001,3386370.6625,2370459,4402281,0,0
"BG",2002,3397741.075,2378418,4417063,0,0
"BG",2003,3409111.4875,2386378,4431844,0,0
"BG",2004,3420481.9,2394337,4446626,0,0
"BG",2005,3431852.3125,2402296,4461408,0,0
"BG",2006,3443776.82968,2410643,4476909,0,0
"BG",2007,3455701.34686,2418990,4492411,0,0
"BG",2008,3467625.86404,2427338,4507913,0,0
"BG",2009,3479550.38122,2435685,4523415,0,0
"BG",2010,3491474.8984,2444032,4538917,0,0
"BG",2011,3503903.97498,2452732,4555075,0,0
"BG",2012,3516333.05156,2461433,4571232,0,0
"BG",2013,3528762.12814,2470133,4587390,0,0
"BG",2014,3541191.20472,2478833,4603548,0,0
"BG",2015,3553620.2813,2487534,4619706,0,0
"BG",2016,3566408.85316,2496486,4636331,0,0
"BG",2017,3579197.42502,2505438,4652956,0,0
"BG",2018,3591985.99688,2514390,4669581,0,0
"BG",2019,3604774.56874,2523342,4686206,0,0
"BG",2020,3617563.1406,2532294,4702832,0,0
"BG",2021,3630674.81874,2541472,4719877,0,0
"BG",2022,3643786.49688,2550650,4736922,0,0
"BG",2023,3656898.17502,2559828,4753967,0,0
"BG",2024,3670009.85316,2569006,4771012,0,0
"BG",2025,3683121.5313,2578185,4788057,0,0
"BG",2026,3694731.3063,2586311,4803150,0,0
"BG",2027,3706341.0813,2594438,4818243,0,0
"BG",2028,3717950.8563,2602565,4833336,0,0
"BG",2029,3729560.6313,2610692,4848428,0,0
"BG",2030,3741170.4063,2618819,4863521,0,0
"BG",2031,3750395.9563,2625277,4875514,0,0
"BG",2032,3759621.5063,2631735,4887507,0,0
"BG",2033,3768847.0563,2638192,4899501,0,0
"BG",2034,3778072.6063,2644650,4911494,0,0
"BG",2035,3787298.1563,2651108,4923487,0,0
"BG",2036,3795331.26254,2656731,4933930,0,0
"BG",2037,3803364.36878,2662355,4944373,0,0
"BG",2038,3811397.47502,2667978,4954816,0,0
"BG",2039,3819430.58126,2673601,4965259,0,0
"BG",2040,3827463.6875,2679224,4975702,0,0
"BG",2041,3835497.0875,2684847,4986146,0,0
"BG",2042,3843530.4875,2690471,4996589,0,0
"BG",2043,3851563.8875,2696094,5007033,0,0
"BG",2044,3859597.2875,2701718,5017476,0,0
"BG",2045,3867630.6875,2707341,5027919,0,0
"BG",2046,3875444.15,2712810,5038077,0,0
"BG",2047,3883257.6125,2718280,5048234,0,0
"BG",2048,3891071.075,2723749,5058392,0,0
"BG",2049,3898884.5375,2729219,5068549,0,0
"BG",2050,3906698,2734688,5078707,0,0
"BG",2051,3912878.0625,2739014,5086741,0,0
"BG",2052,3919058.125,2743340,5094775,0,0
"BG",2053,3925238.1875,2747666,5102809,0,0
"BG",2054,3931418.25,2751992,5110843,0,0
"BG",2055,3937598.3125,2756318,5118877,0,0
"BG",2056,3941938.1125,2759356,5124519,0,0
"BG",2057,3946277.9125,2762394,5130161,0,0
"BG",2058,3950617.7125,2765432,5135803,0,0
"BG",2059,3954957.5125,2768470,5141444,0,0
"BG",2060,3959297.3125,2771508,5147086,0,0
"BG",2061,3963175.25,2774222,5152127,0,0
"BG",2062,3967053.1875,2776937,5157169,0,0
"BG",2063,3970931.125,2779651,5162210,0,0
"BG",2064,3974809.0625,2782366,5167251,0,0
"BG",2065,3978687,2785080,5172293,0,0
"BG",2066,3981868.275,2787307,5176428,0,0
"BG",2067,3985049.55,2789534,5180564,0,0
"BG",2068,3988230.825,2791761,5184700,0,0
"BG",2069,3991412.1,2793988,5188835,0,0
"BG",2070,3994593.375,2796215,5192971,0,0
