Region,Year,ForestAreaOriginal,ForestsMatMin,ForestsMatMax,ForestsYoMin,ForestsYoMax,ForestsPlMin,ForestsPlMax
DK,2000,585500.0625,409850,761150,0,999000000,0,999000000
DK,2001,589279.1727,412495,766062,0,999000000,0,999000000
DK,2002,593058.2828,415140,770975,0,999000000,0,999000000
DK,2003,596837.393,417786,775888,0,999000000,0,999000000
DK,2004,600616.5031,420431,780801,0,999000000,0,999000000
DK,2005,604395.6133,423076,785714,0,999000000,0,999000000
DK,2006,608160.236,425712,790608,0,999000000,0,999000000
DK,2007,611924.8586,428347,795502,0,999000000,0,999000000
DK,2008,615689.4813,430982,800396,0,999000000,0,999000000
DK,2009,619454.1039,433617,805290,0,999000000,0,999000000
DK,2010,623218.7266,436253,810184,0,999000000,0,999000000
DK,2011,625680.1141,437976,813384,0,999000000,0,999000000
DK,2012,628141.5016,439699,816583,0,999000000,0,999000000
DK,2013,630602.8891,441422,819783,0,999000000,0,999000000
DK,2014,633064.2766,443144,822983,0,999000000,0,999000000
DK,2015,635525.6641,444867,826183,0,999000000,0,999000000
DK,2016,637330.6953,446131,828529,0,999000000,0,999000000
DK,2017,639135.7266,447395,830876,0,999000000,0,999000000
DK,2018,640940.7578,448658,833222,0,999000000,0,999000000
DK,2019,642745.7891,449922,835569,0,999000000,0,999000000
DK,2020,644550.8203,451185,837916,0,999000000,0,999000000
DK,2021,646464.8328,452525,840404,0,999000000,0,999000000
DK,2022,648378.8453,453865,842892,0,999000000,0,999000000
DK,2023,650292.8578,455205,845380,0,999000000,0,999000000
DK,2024,652206.8703,456544,847868,0,999000000,0,999000000
DK,2025,654120.8828,457884,850357,0,999000000,0,999000000
DK,2026,656143.8312,459300,852986,0,999000000,0,999000000
DK,2027,658166.7797,460716,855616,0,999000000,0,999000000
DK,2028,660189.7281,462132,858246,0,999000000,0,999000000
DK,2029,662212.6766,463548,860876,0,999000000,0,999000000
DK,2030,664235.625,464964,863506,0,999000000,0,999000000
DK,2031,666265.5844,466385,866145,0,999000000,0,999000000
DK,2032,668295.5438,467806,868784,0,999000000,0,999000000
DK,2033,670325.5031,469227,871423,0,999000000,0,999000000
DK,2034,672355.4625,470648,874062,0,999000000,0,999000000
DK,2035,674385.4219,472069,876701,0,999000000,0,999000000
DK,2036,676422.9,473496,879349,0,999000000,0,999000000
DK,2037,678460.3781,474922,881998,0,999000000,0,999000000
DK,2038,680497.8563,476348,884647,0,999000000,0,999000000
DK,2039,682535.3344,477774,887295,0,999000000,0,999000000
DK,2040,684572.8125,479200,889944,0,999000000,0,999000000
DK,2041,685854.1531,480097,891610,0,999000000,0,999000000
DK,2042,687135.4937,480994,893276,0,999000000,0,999000000
DK,2043,688416.8344,481891,894941,0,999000000,0,999000000
DK,2044,689698.175,482788,896607,0,999000000,0,999000000
DK,2045,690979.5156,483685,898273,0,999000000,0,999000000
DK,2046,691846.7828,484292,899400,0,999000000,0,999000000
DK,2047,692714.05,484899,900528,0,999000000,0,999000000
DK,2048,693581.3172,485506,901655,0,999000000,0,999000000
DK,2049,694448.5844,486114,902783,0,999000000,0,999000000
DK,2050,695315.8516,486721,903910,0,999000000,0,999000000
DK,2051,695242.511,486669,903815,0,999000000,0,999000000
DK,2052,695169.1703,486618,903719,0,999000000,0,999000000
DK,2053,695095.8297,486567,903624,0,999000000,0,999000000
DK,2054,695022.489,486515,903529,0,999000000,0,999000000
DK,2055,694949.1484,486464,903433,0,999000000,0,999000000
DK,2056,694881.7453,486417,903346,0,999000000,0,999000000
DK,2057,694814.3422,486370,903258,0,999000000,0,999000000
DK,2058,694746.939,486322,903171,0,999000000,0,999000000
DK,2059,694679.5359,486275,903083,0,999000000,0,999000000
DK,2060,694612.1328,486228,902995,0,999000000,0,999000000
DK,2061,694550.0953,486185,902915,0,999000000,0,999000000
DK,2062,694488.0578,486141,902834,0,999000000,0,999000000
DK,2063,694426.0203,486098,902753,0,999000000,0,999000000
DK,2064,694363.9828,486054,902673,0,999000000,0,999000000
DK,2065,694301.9453,486011,902592,0,999000000,0,999000000
DK,2066,694066.7172,485846,902286,0,999000000,0,999000000
DK,2067,693831.4891,485682,901980,0,999000000,0,999000000
DK,2068,693596.2609,485517,901675,0,999000000,0,999000000
DK,2069,693361.0328,485352,901369,0,999000000,0,999000000
DK,2070,693125.8047,485188,901063,0,999000000,0,999000000
