"Region","Year","ForestsMatMin","ForestsMatMax","ForestsYoMin","ForestsYoMax"
"GR","2006",2352520,2352520,0,0
"GR","2007",2611375,2611375,0,0
"GR","2008",2870231,2870231,0,0
"GR","2009",3129086,3129086,0,0
"GR","2010",3387942,3387942,0,0
"GR","2011",3386861,3387942,1847,21902
"GR","2012",3385780,3387942,3694,43804
"GR","2013",3384699,3387942,5541,65706
"GR","2014",3383618,3387942,7388,87608
"GR","2015",3382537,3387942,9235,109510
"GR","2016",3381456,3387942,11082,131412
"GR","2017",3380375,3387942,12929,153314
"GR","2018",3379294,3387942,14776,175216
"GR","2019",3378213,3387942,16623,197118
"GR","2020",3377132,3387942,18470,219020
"GR","2021",3376051,3387942,20317,240922
"GR","2022",3374970,3387942,22164,262824
"GR","2023",3373889,3387942,24011,284726
"GR","2024",3372808,3387942,25858,306628
"GR","2025",3371727,3387942,27705,328530
"GR","2026",3370646,3387942,29552,350432
"GR","2027",3369565,3387942,31399,372334
"GR","2028",3368484,3387942,33246,394236
"GR","2029",3367403,3387942,35093,416138
"GR","2030",3366322,3387942,36940,438040
"GR","2031",3365241,3387942,38787,459942
"GR","2032",3364160,3387942,40634,481844
"GR","2033",3363079,3387942,42481,503746
"GR","2034",3361998,3387942,44328,525648
"GR","2035",3360917,3387942,46175,547550
"GR","2036",3359836,3387942,48022,569452
"GR","2037",3358755,3387942,49869,591354
"GR","2038",3357674,3387942,51716,613256
"GR","2039",3356593,3387942,53563,635158
"GR","2040",3355512,3387942,55410,657060
"GR","2041",3354431,3387942,57257,678962
"GR","2042",3353350,3387942,59104,700864
"GR","2043",3352269,3387942,60951,722766
"GR","2044",3351188,3387942,62798,744668
"GR","2045",3350107,3387942,64645,766570
"GR","2046",3349026,3387942,66492,788472
"GR","2047",3347945,3387942,68339,810374
"GR","2048",3346864,3387942,70186,832276
"GR","2049",3345783,3387942,72033,854178
"GR","2050",3344702,3387942,73880,876080
