Region,Year,ForestAreaOriginal,ForestsMatMin,ForestsMatMax,ForestsYoMin,ForestsYoMax
HU,2000,1823648.625,1276554,2370743,0,999000000
HU,2001,1834553.127,1284187,2384919,0,999000000
HU,2002,1845457.63,1291820,2399094,0,999000000
HU,2003,1856362.132,1299453,2413270,0,999000000
HU,2004,1867266.634,1307086,2427446,0,999000000
HU,2005,1878171.137,1314719,2441622,0,999000000
HU,2006,1888550.58,1321985,2455115,0,999000000
HU,2007,1898930.023,1329251,2468609,0,999000000
HU,2008,1909309.466,1336516,2482102,0,999000000
HU,2009,1919688.909,1343782,2495595,0,999000000
HU,2010,1930068.352,1351047,2509088,0,999000000
HU,2011,1939624.653,1357737,2521512,0,999000000
HU,2012,1949180.955,1364426,2533935,0,999000000
HU,2013,1958737.256,1371116,2546358,0,999000000
HU,2014,1968293.558,1377805,2558781,0,999000000
HU,2015,1977849.859,1384494,2571204,0,999000000
HU,2016,1986175.047,1390322,2582027,0,999000000
HU,2017,1994500.234,1396150,2592850,0,999000000
HU,2018,2002825.422,1401977,2603673,0,999000000
HU,2019,2011150.609,1407805,2614495,0,999000000
HU,2020,2019475.797,1413633,2625318,0,999000000
HU,2021,2027338.45,1419136,2635539,0,999000000
HU,2022,2035201.103,1424640,2645761,0,999000000
HU,2023,2043063.756,1430144,2655982,0,999000000
HU,2024,2050926.409,1435648,2666204,0,999000000
HU,2025,2058789.063,1441152,2676425,0,999000000
HU,2026,2066418.319,1446492,2686343,0,999000000
HU,2027,2074047.575,1451833,2696261,0,999000000
HU,2028,2081676.831,1457173,2706179,0,999000000
HU,2029,2089306.088,1462514,2716097,0,999000000
HU,2030,2096935.344,1467854,2726015,0,999000000
HU,2031,2103601.263,1472520,2734681,0,999000000
HU,2032,2110267.181,1477187,2743347,0,999000000
HU,2033,2116933.1,1481853,2752013,0,999000000
HU,2034,2123599.019,1486519,2760678,0,999000000
HU,2035,2130264.938,1491185,2769344,0,999000000
HU,2036,2136531.713,1495572,2777491,0,999000000
HU,2037,2142798.488,1499958,2785638,0,999000000
HU,2038,2149065.263,1504345,2793784,0,999000000
HU,2039,2155332.038,1508732,2801931,0,999000000
HU,2040,2161598.813,1513119,2810078,0,999000000
HU,2041,2167316.1,1517121,2817510,0,999000000
HU,2042,2173033.388,1521123,2824943,0,999000000
HU,2043,2178750.675,1525125,2832375,0,999000000
HU,2044,2184467.963,1529127,2839808,0,999000000
HU,2045,2190185.25,1533129,2847240,0,999000000
HU,2046,2194556.813,1536189,2852923,0,999000000
HU,2047,2198928.375,1539249,2858606,0,999000000
HU,2048,2203299.938,1542309,2864289,0,999000000
HU,2049,2207671.5,1545370,2869972,0,999000000
HU,2050,2212043.063,1548430,2875655,0,999000000
HU,2051,2214031.256,1549821,2878240,0,999000000
HU,2052,2216019.45,1551213,2880825,0,999000000
HU,2053,2218007.644,1552605,2883409,0,999000000
HU,2054,2219995.838,1553997,2885994,0,999000000
HU,2055,2221984.031,1555388,2888579,0,999000000
HU,2056,2222421.525,1555695,2889147,0,999000000
HU,2057,2222859.019,1556001,2889716,0,999000000
HU,2058,2223296.513,1556307,2890285,0,999000000
HU,2059,2223734.006,1556613,2890854,0,999000000
HU,2060,2224171.5,1556920,2891422,0,999000000
HU,2061,2224414.625,1557090,2891739,0,999000000
HU,2062,2224657.75,1557260,2892055,0,999000000
HU,2063,2224900.875,1557430,2892371,0,999000000
HU,2064,2225144,1557600,2892687,0,999000000
HU,2065,2225387.125,1557770,2893003,0,999000000
HU,2066,2225630.725,1557941,2893319,0,999000000
HU,2067,2225874.325,1558112,2893636,0,999000000
HU,2068,2226117.925,1558282,2893953,0,999000000
HU,2069,2226361.525,1558453,2894269,0,999000000
HU,2070,2226605.125,1558623,2894586,0,999000000
