Region,Year,ForestAreaOriginal,ForestsMatMin,ForestsMatMax,ForestsYoMin,ForestsYoMax
IE,2000,635000.1875,0,825500,0,999000000
IE,2001,642155.2563,0,834801,0,999000000
IE,2002,649310.325,0,844103,0,999000000
IE,2003,656465.3938,0,853405,0,999000000
IE,2004,663620.4625,0,862706,0,999000000
IE,2005,670775.5313,0,872008,0,999000000
IE,2006,679111.475,0,882844,0,999000000
IE,2007,687447.4188,0,893681,0,999000000
IE,2008,695783.3625,0,904518,0,999000000
IE,2009,704119.3063,0,915355,0,999000000
IE,2010,712455.25,0,926191,0,999000000
IE,2011,722554.8344,0,939321,0,999000000
IE,2012,732654.4188,0,952450,0,999000000
IE,2013,742754.0031,0,965580,0,999000000
IE,2014,752853.5875,0,978709,0,999000000
IE,2015,762953.1719,0,991839,0,999000000
IE,2016,773199.6469,0,1005159,0,999000000
IE,2017,783446.1219,0,1018479,0,999000000
IE,2018,793692.5969,0,1031800,0,999000000
IE,2019,803939.0719,0,1045120,0,999000000
IE,2020,814185.5469,0,1058441,0,999000000
IE,2021,825630.0969,0,1073319,0,999000000
IE,2022,837074.6469,0,1088197,0,999000000
IE,2023,848519.1969,0,1103074,0,999000000
IE,2024,859963.7469,0,1117952,0,999000000
IE,2025,871408.2969,0,1132830,0,999000000
IE,2026,884225.4375,0,1149493,0,999000000
IE,2027,897042.5781,0,1166155,0,999000000
IE,2028,909859.7188,0,1182817,0,999000000
IE,2029,922676.8594,0,1199479,0,999000000
IE,2030,935494,0,1216142,0,999000000
IE,2031,949547.0188,0,1234411,0,999000000
IE,2032,963600.0375,0,1252680,0,999000000
IE,2033,977653.0563,0,1270948,0,999000000
IE,2034,991706.075,0,1289217,0,999000000
IE,2035,1005759.094,0,1307486,0,999000000
IE,2036,1020128.15,0,1326166,0,999000000
IE,2037,1034497.206,0,1344846,0,999000000
IE,2038,1048866.263,0,1363526,0,999000000
IE,2039,1063235.319,0,1382205,0,999000000
IE,2040,1077604.375,0,1400885,0,999000000
IE,2041,1092057.713,0,1419675,0,999000000
IE,2042,1106511.05,0,1438464,0,999000000
IE,2043,1120964.388,0,1457253,0,999000000
IE,2044,1135417.725,0,1476043,0,999000000
IE,2045,1149871.063,0,1494832,0,999000000
IE,2046,1161360.425,0,1509768,0,999000000
IE,2047,1172849.788,0,1524704,0,999000000
IE,2048,1184339.15,0,1539640,0,999000000
IE,2049,1195828.513,0,1554577,0,999000000
IE,2050,1207317.875,0,1569513,0,999000000
IE,2051,1217074.3,0,1582196,0,999000000
IE,2052,1226830.725,0,1594879,0,999000000
IE,2053,1236587.15,0,1607563,0,999000000
IE,2054,1246343.575,0,1620246,0,999000000
IE,2055,1256100,0,1632930,0,999000000
IE,2056,1264416.263,0,1643741,0,999000000
IE,2057,1272732.525,0,1654552,0,999000000
IE,2058,1281048.788,0,1665363,0,999000000
IE,2059,1289365.05,0,1676174,0,999000000
IE,2060,1297681.313,0,1686985,0,999000000
IE,2061,1305215.913,0,1696780,0,999000000
IE,2062,1312750.513,0,1706575,0,999000000
IE,2063,1320285.113,0,1716370,0,999000000
IE,2064,1327819.713,0,1726165,0,999000000
IE,2065,1335354.313,0,1735960,0,999000000
IE,2066,1342403.05,0,1745123,0,999000000
IE,2067,1349451.788,0,1754287,0,999000000
IE,2068,1356500.525,0,1763450,0,999000000
IE,2069,1363549.263,0,1772614,0,999000000
IE,2070,1370598,0,1781777,0,999000000
