Region,Year,ForestAreaOriginal,ForestsMatMin,ForestsMatMax,ForestsYoMin,ForestsYoMax,ForestsPlMin,ForestsPlMax
IT,2000,8141046.5,5698732,10583360,0,999000000,0,999000000
IT,2001,8227312.056,5759118,10695505,0,999000000,0,999000000
IT,2002,8313577.613,5819504,10807650,0,999000000,0,999000000
IT,2003,8399843.169,5879890,10919796,0,999000000,0,999000000
IT,2004,8486108.725,5940276,11031941,0,999000000,0,999000000
IT,2005,8572374.281,6000661,11144086,0,999000000,0,999000000
IT,2006,8632844.113,6042990,11222697,0,999000000,0,999000000
IT,2007,8693313.944,6085319,11301308,0,999000000,0,999000000
IT,2008,8753783.775,6127648,11379918,0,999000000,0,999000000
IT,2009,8814253.606,6169977,11458529,0,999000000,0,999000000
IT,2010,8874723.438,6212306,11537140,0,999000000,0,999000000
IT,2011,8916134.813,6241294,11590975,0,999000000,0,999000000
IT,2012,8957546.188,6270282,11644810,0,999000000,0,999000000
IT,2013,8998957.563,6299270,11698644,0,999000000,0,999000000
IT,2014,9040368.938,6328258,11752479,0,999000000,0,999000000
IT,2015,9081780.313,6357246,11806314,0,999000000,0,999000000
IT,2016,9113673.475,6379571,11847775,0,999000000,0,999000000
IT,2017,9145566.638,6401896,11889236,0,999000000,0,999000000
IT,2018,9177459.8,6424221,11930697,0,999000000,0,999000000
IT,2019,9209352.963,6446547,11972158,0,999000000,0,999000000
IT,2020,9241246.125,6468872,12013619,0,999000000,0,999000000
IT,2021,9266522.725,6486565,12046479,0,999000000,0,999000000
IT,2022,9291799.325,6504259,12079339,0,999000000,0,999000000
IT,2023,9317075.925,6521953,12112198,0,999000000,0,999000000
IT,2024,9342352.525,6539646,12145058,0,999000000,0,999000000
IT,2025,9367629.125,6557340,12177917,0,999000000,0,999000000
IT,2026,9389772.625,6572840,12206704,0,999000000,0,999000000
IT,2027,9411916.125,6588341,12235490,0,999000000,0,999000000
IT,2028,9434059.625,6603841,12264277,0,999000000,0,999000000
IT,2029,9456203.125,6619342,12293064,0,999000000,0,999000000
IT,2030,9478346.625,6634842,12321850,0,999000000,0,999000000
IT,2031,9493974.825,6645782,12342167,0,999000000,0,999000000
IT,2032,9509603.025,6656722,12362483,0,999000000,0,999000000
IT,2033,9525231.225,6667661,12382800,0,999000000,0,999000000
IT,2034,9540859.425,6678601,12403117,0,999000000,0,999000000
IT,2035,9556487.625,6689541,12423433,0,999000000,0,999000000
IT,2036,9567448.7,6697214,12437683,0,999000000,0,999000000
IT,2037,9578409.775,6704886,12451932,0,999000000,0,999000000
IT,2038,9589370.85,6712559,12466182,0,999000000,0,999000000
IT,2039,9600331.925,6720232,12480431,0,999000000,0,999000000
IT,2040,9611293,6727905,12494680,0,999000000,0,999000000
IT,2041,9618544.75,6732981,12504108,0,999000000,0,999000000
IT,2042,9625796.5,6738057,12513535,0,999000000,0,999000000
IT,2043,9633048.25,6743133,12522962,0,999000000,0,999000000
IT,2044,9640300,6748210,12532390,0,999000000,0,999000000
IT,2045,9647551.75,6753286,12541817,0,999000000,0,999000000
IT,2046,9652354.575,6756648,12548060,0,999000000,0,999000000
IT,2047,9657157.4,6760010,12554304,0,999000000,0,999000000
IT,2048,9661960.225,6763372,12560548,0,999000000,0,999000000
IT,2049,9666763.05,6766734,12566791,0,999000000,0,999000000
IT,2050,9671565.875,6770096,12573035,0,999000000,0,999000000
IT,2051,9674783.475,6772348,12577218,0,999000000,0,999000000
IT,2052,9678001.075,6774600,12581401,0,999000000,0,999000000
IT,2053,9681218.675,6776853,12585584,0,999000000,0,999000000
IT,2054,9684436.275,6779105,12589767,0,999000000,0,999000000
IT,2055,9687653.875,6781357,12593950,0,999000000,0,999000000
IT,2056,9689557.05,6782689,12596424,0,999000000,0,999000000
IT,2057,9691460.225,6784022,12598898,0,999000000,0,999000000
IT,2058,9693363.4,6785354,12601372,0,999000000,0,999000000
IT,2059,9695266.575,6786686,12603846,0,999000000,0,999000000
IT,2060,9697169.75,6788018,12606320,0,999000000,0,999000000
IT,2061,9698300.6,6788810,12607790,0,999000000,0,999000000
IT,2062,9699431.45,6789602,12609260,0,999000000,0,999000000
IT,2063,9700562.3,6790393,12610730,0,999000000,0,999000000
IT,2064,9701693.15,6791185,12612201,0,999000000,0,999000000
IT,2065,9702824,6791976,12613671,0,999000000,0,999000000
IT,2066,9703546.675,6792482,12614610,0,999000000,0,999000000
IT,2067,9704269.35,6792988,12615550,0,999000000,0,999000000
IT,2068,9704992.025,6793494,12616489,0,999000000,0,999000000
IT,2069,9705714.7,6794000,12617429,0,999000000,0,999000000
IT,2070,9706437.375,6794506,12618368,0,999000000,0,999000000
