Region,Year,ForestAreaOriginal,ForestsMatMin,ForestsMatMax,ForestsYoMin,ForestsYoMax
MT,2000,0,0,0,0,990000
MT,2001,0,0,0,0,990000
MT,2002,0,0,0,0,990000
MT,2003,0,0,0,0,990000
MT,2004,0,0,0,0,990000
MT,2005,0,0,0,0,990000
MT,2006,0,0,0,0,990000
MT,2007,0,0,0,0,990000
MT,2008,0,0,0,0,990000
MT,2009,0,0,0,0,990000
MT,2010,0,0,0,0,990000
MT,2011,0,0,0,0,990000
MT,2012,0,0,0,0,990000
MT,2013,0,0,0,0,990000
MT,2014,0,0,0,0,990000
MT,2015,0,0,0,0,990000
MT,2016,0,0,0,0,990000
MT,2017,0,0,0,0,990000
MT,2018,0,0,0,0,990000
MT,2019,0,0,0,0,990000
MT,2020,0,0,0,0,990000
MT,2021,0,0,0,0,990000
MT,2022,0,0,0,0,990000
MT,2023,0,0,0,0,990000
MT,2024,0,0,0,0,990000
MT,2025,0,0,0,0,990000
MT,2026,0,0,0,0,990000
MT,2027,0,0,0,0,990000
MT,2028,0,0,0,0,990000
MT,2029,0,0,0,0,990000
MT,2030,0,0,0,0,990000
MT,2031,0,0,0,0,990000
MT,2032,0,0,0,0,990000
MT,2033,0,0,0,0,990000
MT,2034,0,0,0,0,990000
MT,2035,0,0,0,0,990000
MT,2036,0,0,0,0,990000
MT,2037,0,0,0,0,990000
MT,2038,0,0,0,0,990000
MT,2039,0,0,0,0,990000
MT,2040,0,0,0,0,990000
MT,2041,0,0,0,0,990000
MT,2042,0,0,0,0,990000
MT,2043,0,0,0,0,990000
MT,2044,0,0,0,0,990000
MT,2045,0,0,0,0,990000
MT,2046,0,0,0,0,990000
MT,2047,0,0,0,0,990000
MT,2048,0,0,0,0,990000
MT,2049,0,0,0,0,990000
MT,2050,0,0,0,0,990000
MT,2051,0,0,0,0,990000
MT,2052,0,0,0,0,990000
MT,2053,0,0,0,0,990000
MT,2054,0,0,0,0,990000
MT,2055,0,0,0,0,990000
MT,2056,0,0,0,0,990000
MT,2057,0,0,0,0,990000
MT,2058,0,0,0,0,990000
MT,2059,0,0,0,0,990000
MT,2060,0,0,0,0,990000
MT,2061,0,0,0,0,990000
MT,2062,0,0,0,0,990000
MT,2063,0,0,0,0,990000
MT,2064,0,0,0,0,990000
MT,2065,0,0,0,0,990000
MT,2066,0,0,0,0,990000
MT,2067,0,0,0,0,990000
MT,2068,0,0,0,0,990000
MT,2069,0,0,0,0,990000
MT,2070,0,0,0,0,990000
