"Region","Year","ForestsMatMin","ForestsMatMax","ForestsYoMin","ForestsYoMax"
"PT","2006",1998199,1998199,0,0
"PT","2007",2311754,2311754,0,0
"PT","2008",2625310,2625310,0,0
"PT","2009",2938865,2938865,0,0
"PT","2010",3252421,3252421,0,0
"PT","2011",3219688,3252421,31035,128685
"PT","2012",3186955,3252421,62070,257370
"PT","2013",3154222,3252421,93105,386055
"PT","2014",3121489,3252421,124140,514740
"PT","2015",3088756,3252421,155175,643425
"PT","2016",3056023,3252421,186210,772110
"PT","2017",3023290,3252421,217245,900795
"PT","2018",2990557,3252421,248280,1029480
"PT","2019",2957824,3252421,279315,1158165
"PT","2020",2925091,3252421,310350,1286850
"PT","2021",2892358,3252421,341385,1415535
"PT","2022",2859625,3252421,372420,1544220
"PT","2023",2826892,3252421,403455,1672905
"PT","2024",2794159,3252421,434490,1801590
"PT","2025",2761426,3252421,465525,1930275
"PT","2026",2728693,3252421,496560,2058960
"PT","2027",2695960,3252421,527595,2187645
"PT","2028",2663227,3252421,558630,2316330
"PT","2029",2630494,3252421,589665,2445015
"PT","2030",2597761,3252421,620700,2573700
"PT","2031",2565028,3252421,651735,2702385
"PT","2032",2532295,3252421,682770,2831070
"PT","2033",2499562,3252421,713805,2959755
"PT","2034",2466829,3252421,744840,3088440
"PT","2035",2434096,3252421,775875,3217125
"PT","2036",2401363,3252421,806910,3345810
"PT","2037",2368630,3252421,837945,3474495
"PT","2038",2335897,3252421,868980,3603180
"PT","2039",2303164,3252421,900015,3731865
"PT","2040",2270431,3252421,931050,3860550
"PT","2041",2237698,3252421,962085,3989235
"PT","2042",2204965,3252421,993120,4117920
"PT","2043",2172232,3252421,1024155,4246605
"PT","2044",2139499,3252421,1055190,4375290
"PT","2045",2106766,3252421,1086225,4503975
"PT","2046",2074033,3252421,1117260,4632660
"PT","2047",2041300,3252421,1148295,4761345
"PT","2048",2008567,3252421,1179330,4890030
"PT","2049",1975834,3252421,1210365,5018715
"PT","2050",1943101,3252421,1241400,5147400
