Region,Year,ForestAreaOriginal,ForestsMatMin,ForestsMatMax,ForestsYoMin,ForestsYoMax
SI,2000,1233000,863100,1602900,0,999000000
SI,2001,1233821.762,863675,1603968,0,999000000
SI,2002,1234643.523,864250,1605036,0,999000000
SI,2003,1235465.285,864825,1606104,0,999000000
SI,2004,1236287.047,865400,1607173,0,999000000
SI,2005,1237108.809,865976,1608241,0,999000000
SI,2006,1238182.428,866727,1609637,0,999000000
SI,2007,1239256.048,867479,1611032,0,999000000
SI,2008,1240329.667,868230,1612428,0,999000000
SI,2009,1241403.287,868982,1613824,0,999000000
SI,2010,1242476.906,869733,1615219,0,999000000
SI,2011,1242083.493,869458,1614708,0,999000000
SI,2012,1241690.08,869183,1614197,0,999000000
SI,2013,1241296.666,868907,1613685,0,999000000
SI,2014,1240903.253,868632,1613174,0,999000000
SI,2015,1240509.84,868356,1612662,0,999000000
SI,2016,1239434.765,867604,1611265,0,999000000
SI,2017,1238359.69,866851,1609867,0,999000000
SI,2018,1237284.615,866099,1608469,0,999000000
SI,2019,1236209.54,865346,1607072,0,999000000
SI,2020,1235134.465,864594,1605674,0,999000000
SI,2021,1234360.915,864052,1604669,0,999000000
SI,2022,1233587.365,863511,1603663,0,999000000
SI,2023,1232813.815,862969,1602657,0,999000000
SI,2024,1232040.265,862428,1601652,0,999000000
SI,2025,1231266.715,861886,1600646,0,999000000
SI,2026,1230693.14,861485,1599901,0,999000000
SI,2027,1230119.565,861083,1599155,0,999000000
SI,2028,1229545.99,860682,1598409,0,999000000
SI,2029,1228972.415,860280,1597664,0,999000000
SI,2030,1228398.84,859879,1596918,0,999000000
SI,2031,1230304.612,861213,1599395,0,999000000
SI,2032,1232210.385,862547,1601873,0,999000000
SI,2033,1234116.158,863881,1604351,0,999000000
SI,2034,1236021.93,865215,1606828,0,999000000
SI,2035,1237927.703,866549,1609306,0,999000000
SI,2036,1241098.267,868768,1613427,0,999000000
SI,2037,1244268.831,870988,1617549,0,999000000
SI,2038,1247439.395,873207,1621671,0,999000000
SI,2039,1250609.959,875426,1625792,0,999000000
SI,2040,1253780.523,877646,1629914,0,999000000
SI,2041,1255308.845,878716,1631901,0,999000000
SI,2042,1256837.167,879786,1633888,0,999000000
SI,2043,1258365.489,880855,1635875,0,999000000
SI,2044,1259893.811,881925,1637861,0,999000000
SI,2045,1261422.133,882995,1639848,0,999000000
SI,2046,1261736.336,883215,1640257,0,999000000
SI,2047,1262050.539,883435,1640665,0,999000000
SI,2048,1262364.742,883655,1641074,0,999000000
SI,2049,1262678.945,883875,1641482,0,999000000
SI,2050,1262993.148,884095,1641891,0,999000000
SI,2051,1263087.603,884161,1642013,0,999000000
SI,2052,1263182.058,884227,1642136,0,999000000
SI,2053,1263276.513,884293,1642259,0,999000000
SI,2054,1263370.967,884359,1642382,0,999000000
SI,2055,1263465.422,884425,1642505,0,999000000
SI,2056,1263560.07,884492,1642628,0,999000000
SI,2057,1263654.719,884558,1642751,0,999000000
SI,2058,1263749.367,884624,1642874,0,999000000
SI,2059,1263844.016,884690,1642997,0,999000000
SI,2060,1263938.664,884757,1643120,0,999000000
SI,2061,1264033.566,884823,1643243,0,999000000
SI,2062,1264128.467,884889,1643367,0,999000000
SI,2063,1264223.369,884956,1643490,0,999000000
SI,2064,1264318.27,885022,1643613,0,999000000
SI,2065,1264413.172,885089,1643737,0,999000000
SI,2066,1264508.316,885155,1643860,0,999000000
SI,2067,1264603.459,885222,1643984,0,999000000
SI,2068,1264698.603,885289,1644108,0,999000000
SI,2069,1264793.747,885355,1644231,0,999000000
SI,2070,1264888.891,885422,1644355,0,999000000
