Region,Year,ForestAreaOriginal,ForestsMatMin,ForestsMatMax,ForestsYoMin,ForestsYoMax
UK,2000,2953999.75,2067799,3840199,0,999000000
UK,2001,2970134.773,2079094,3861175,0,999000000
UK,2002,2986269.797,2090388,3882150,0,999000000
UK,2003,3002404.82,2101683,3903126,0,999000000
UK,2004,3018539.844,2112977,3924101,0,999000000
UK,2005,3034674.867,2124272,3945077,0,999000000
UK,2006,3038207.384,2126745,3949669,0,999000000
UK,2007,3041739.902,2129217,3954261,0,999000000
UK,2008,3045272.419,2131690,3958854,0,999000000
UK,2009,3048804.936,2134163,3963446,0,999000000
UK,2010,3052337.453,2136636,3968038,0,999000000
UK,2011,3052431.406,2136701,3968160,0,999000000
UK,2012,3052525.359,2136767,3968282,0,999000000
UK,2013,3052619.313,2136833,3968405,0,999000000
UK,2014,3052713.266,2136899,3968527,0,999000000
UK,2015,3052807.219,2136965,3968649,0,999000000
UK,2016,3051335.734,2135935,3966736,0,999000000
UK,2017,3049864.25,2134904,3964823,0,999000000
UK,2018,3048392.766,2133874,3962910,0,999000000
UK,2019,3046921.281,2132844,3960997,0,999000000
UK,2020,3045449.797,2131814,3959084,0,999000000
UK,2021,3043365.347,2130355,3956374,0,999000000
UK,2022,3041280.897,2128896,3953665,0,999000000
UK,2023,3039196.447,2127437,3950955,0,999000000
UK,2024,3037111.997,2125978,3948245,0,999000000
UK,2025,3035027.547,2124519,3945535,0,999000000
UK,2026,3033227.947,2123259,3943196,0,999000000
UK,2027,3031428.347,2121999,3940856,0,999000000
UK,2028,3029628.747,2120740,3938517,0,999000000
UK,2029,3027829.147,2119480,3936177,0,999000000
UK,2030,3026029.547,2118220,3933838,0,999000000
UK,2031,3024421.897,2117095,3931748,0,999000000
UK,2032,3022814.247,2115969,3929658,0,999000000
UK,2033,3021206.597,2114844,3927568,0,999000000
UK,2034,3019598.947,2113719,3925478,0,999000000
UK,2035,3017991.297,2112593,3923388,0,999000000
UK,2036,3018675.197,2113072,3924277,0,999000000
UK,2037,3019359.097,2113551,3925166,0,999000000
UK,2038,3020042.997,2114030,3926055,0,999000000
UK,2039,3020726.897,2114508,3926944,0,999000000
UK,2040,3021410.797,2114987,3927834,0,999000000
UK,2041,3020011.447,2114008,3926014,0,999000000
UK,2042,3018612.097,2113028,3924195,0,999000000
UK,2043,3017212.747,2112048,3922376,0,999000000
UK,2044,3015813.397,2111069,3920557,0,999000000
UK,2045,3014414.047,2110089,3918738,0,999000000
UK,2046,3013073.597,2109151,3916995,0,999000000
UK,2047,3011733.147,2108213,3915253,0,999000000
UK,2048,3010392.697,2107274,3913510,0,999000000
UK,2049,3009052.247,2106336,3911767,0,999000000
UK,2050,3007711.797,2105398,3910025,0,999000000
UK,2051,3006417.547,2104492,3908342,0,999000000
UK,2052,3005123.297,2103586,3906660,0,999000000
UK,2053,3003829.047,2102680,3904977,0,999000000
UK,2054,3002534.797,2101774,3903295,0,999000000
UK,2055,3001240.547,2100868,3901612,0,999000000
UK,2056,2999984.097,2099988,3899979,0,999000000
UK,2057,2998727.647,2099109,3898345,0,999000000
UK,2058,2997471.197,2098229,3896712,0,999000000
UK,2059,2996214.747,2097350,3895079,0,999000000
UK,2060,2994958.297,2096470,3893445,0,999000000
UK,2061,2993732.497,2095612,3891852,0,999000000
UK,2062,2992506.697,2094754,3890258,0,999000000
UK,2063,2991280.897,2093896,3888665,0,999000000
UK,2064,2990055.097,2093038,3887071,0,999000000
UK,2065,2988829.297,2092180,3885478,0,999000000
UK,2066,2987629.297,2091340,3883918,0,999000000
UK,2067,2986429.297,2090500,3882358,0,999000000
UK,2068,2985229.297,2089660,3880798,0,999000000
UK,2069,2984029.297,2088820,3879238,0,999000000
UK,2070,2982829.297,2087980,3877678,0,999000000
