"Region","Year","ForestAreaOriginal","ForestsMatMin","ForestsMatMax","ForestsYoMin","ForestsYoMax"
"CZ",2000,2636942.25,1845859,3428024,0,0
"CZ",2001,2639066.3459,1847346,3430786,0,0
"CZ",2002,2641190.4418,1848833,3433547,0,0
"CZ",2003,2643314.5377,1850320,3436308,0,0
"CZ",2004,2645438.6336,1851807,3439070,0,0
"CZ",2005,2647562.7295,1853293,3441831,0,0
"CZ",2006,2649621.70392,1854735,3444508,0,0
"CZ",2007,2651680.67834,1856176,3447184,0,0
"CZ",2008,2653739.65276,1857617,3449861,0,0
"CZ",2009,2655798.62718,1859059,3452538,0,0
"CZ",2010,2657857.6016,1860500,3455214,0,0
"CZ",2011,2659993.6516,1861995,3457991,0,0
"CZ",2012,2662129.7016,1863490,3460768,0,0
"CZ",2013,2664265.7516,1864986,3463545,0,0
"CZ",2014,2666401.8016,1866481,3466322,0,0
"CZ",2015,2668537.8516,1867976,3469099,0,0
"CZ",2016,2670567.67034,1869397,3471737,0,0
"CZ",2017,2672597.48908,1870818,3474376,0,0
"CZ",2018,2674627.30782,1872239,3477015,0,0
"CZ",2019,2676657.12656,1873659,3479654,0,0
"CZ",2020,2678686.9453,1875080,3482293,0,0
"CZ",2021,2680813.6789,1876569,3485057,0,0
"CZ",2022,2682940.4125,1878058,3487822,0,0
"CZ",2023,2685067.1461,1879547,3490587,0,0
"CZ",2024,2687193.8797,1881035,3493352,0,0
"CZ",2025,2689320.6133,1882524,3496116,0,0
"CZ",2026,2691562.36408,1884093,3499031,0,0
"CZ",2027,2693804.11486,1885662,3501945,0,0
"CZ",2028,2696045.86564,1887232,3504859,0,0
"CZ",2029,2698287.61642,1888801,3507773,0,0
"CZ",2030,2700529.3672,1890370,3510688,0,0
"CZ",2031,2702862.5547,1892003,3513721,0,0
"CZ",2032,2705195.7422,1893637,3516754,0,0
"CZ",2033,2707528.9297,1895270,3519787,0,0
"CZ",2034,2709862.1172,1896903,3522820,0,0
"CZ",2035,2712195.3047,1898536,3525853,0,0
"CZ",2036,2714545.22032,1900181,3528908,0,0
"CZ",2037,2716895.13594,1901826,3531963,0,0
"CZ",2038,2719245.05156,1903471,3535018,0,0
"CZ",2039,2721594.96718,1905116,3538073,0,0
"CZ",2040,2723944.8828,1906761,3541128,0,0
"CZ",2041,2726301.3078,1908410,3544191,0,0
"CZ",2042,2728657.7328,1910060,3547255,0,0
"CZ",2043,2731014.1578,1911709,3550318,0,0
"CZ",2044,2733370.5828,1913359,3553381,0,0
"CZ",2045,2735727.0078,1915008,3556445,0,0
"CZ",2046,2738107.65468,1916675,3559539,0,0
"CZ",2047,2740488.30156,1918341,3562634,0,0
"CZ",2048,2742868.94844,1920008,3565729,0,0
"CZ",2049,2745249.59532,1921674,3568824,0,0
"CZ",2050,2747630.2422,1923341,3571919,0,0
"CZ",2051,2749933.19688,1924953,3574913,0,0
"CZ",2052,2752236.15156,1926565,3577906,0,0
"CZ",2053,2754539.10624,1928177,3580900,0,0
"CZ",2054,2756842.06092,1929789,3583894,0,0
"CZ",2055,2759145.0156,1931401,3586888,0,0
"CZ",2056,2761157.6656,1932810,3589504,0,0
"CZ",2057,2763170.3156,1934219,3592121,0,0
"CZ",2058,2765182.9656,1935628,3594737,0,0
"CZ",2059,2767195.6156,1937036,3597354,0,0
"CZ",2060,2769208.2656,1938445,3599970,0,0
"CZ",2061,2771175.04374,1939822,3602527,0,0
"CZ",2062,2773141.82188,1941199,3605084,0,0
"CZ",2063,2775108.60002,1942576,3607641,0,0
"CZ",2064,2777075.37816,1943952,3610197,0,0
"CZ",2065,2779042.1563,1945329,3612754,0,0
"CZ",2066,2780924.79692,1946647,3615202,0,0
"CZ",2067,2782807.43754,1947965,3617649,0,0
"CZ",2068,2784690.07816,1949283,3620097,0,0
"CZ",2069,2786572.71878,1950600,3622544,0,0
"CZ",2070,2788455.3594,1951918,3624991,0,0
