"Region","Year","ForestAreaOriginal","ForestsMatMin","ForestsMatMax","ForestsYoMin","ForestsYoMax"
"EE",2000,2206481.5,1544537,2868425,0,0
"EE",2001,2207387.6832,1545171,2869603,0,0
"EE",2002,2208293.8664,1545805,2870782,0,0
"EE",2003,2209200.0496,1546440,2871960,0,0
"EE",2004,2210106.2328,1547074,2873138,0,0
"EE",2005,2211012.416,1547708,2874316,0,0
"EE",2006,2211338.53554,1547936,2874740,0,0
"EE",2007,2211664.65508,1548165,2875164,0,0
"EE",2008,2211990.77462,1548393,2875588,0,0
"EE",2009,2212316.89416,1548621,2876011,0,0
"EE",2010,2212643.0137,1548850,2876435,0,0
"EE",2011,2213309.98088,1549316,2877302,0,0
"EE",2012,2213976.94806,1549783,2878170,0,0
"EE",2013,2214643.91524,1550250,2879037,0,0
"EE",2014,2215310.88242,1550717,2879904,0,0
"EE",2015,2215977.8496,1551184,2880771,0,0
"EE",2016,2216992.79764,1551894,2882090,0,0
"EE",2017,2218007.74568,1552605,2883410,0,0
"EE",2018,2219022.69372,1553315,2884729,0,0
"EE",2019,2220037.64176,1554026,2886048,0,0
"EE",2020,2221052.5898,1554736,2887368,0,0
"EE",2021,2222366.73044,1555656,2889076,0,0
"EE",2022,2223680.87108,1556576,2890785,0,0
"EE",2023,2224995.01172,1557496,2892493,0,0
"EE",2024,2226309.15236,1558416,2894201,0,0
"EE",2025,2227623.293,1559336,2895910,0,0
"EE",2026,2229181.73986,1560427,2897936,0,0
"EE",2027,2230740.18672,1561518,2899962,0,0
"EE",2028,2232298.63358,1562609,2901988,0,0
"EE",2029,2233857.08044,1563699,2904014,0,0
"EE",2030,2235415.5273,1564790,2906040,0,0
"EE",2031,2237138.8781,1565997,2908280,0,0
"EE",2032,2238862.2289,1567203,2910520,0,0
"EE",2033,2240585.5797,1568409,2912761,0,0
"EE",2034,2242308.9305,1569616,2915001,0,0
"EE",2035,2244032.2813,1570822,2917241,0,0
"EE",2036,2245860.51254,1572102,2919618,0,0
"EE",2037,2247688.74378,1573382,2921995,0,0
"EE",2038,2249516.97502,1574661,2924372,0,0
"EE",2039,2251345.20626,1575941,2926748,0,0
"EE",2040,2253173.4375,1577221,2929125,0,0
"EE",2041,2255071.58438,1578550,2931593,0,0
"EE",2042,2256969.73126,1579878,2934060,0,0
"EE",2043,2258867.87814,1581207,2936528,0,0
"EE",2044,2260766.02502,1582536,2938995,0,0
"EE",2045,2262664.1719,1583864,2941463,0,0
"EE",2046,2264600.7047,1585220,2943980,0,0
"EE",2047,2266537.2375,1586576,2946498,0,0
"EE",2048,2268473.7703,1587931,2949015,0,0
"EE",2049,2270410.3031,1589287,2951533,0,0
"EE",2050,2272346.8359,1590642,2954050,0,0
"EE",2051,2274298.34528,1592008,2956587,0,0
"EE",2052,2276249.85466,1593374,2959124,0,0
"EE",2053,2278201.36404,1594740,2961661,0,0
"EE",2054,2280152.87342,1596107,2964198,0,0
"EE",2055,2282104.3828,1597473,2966735,0,0
"EE",2056,2284062.2078,1598843,2969280,0,0
"EE",2057,2286020.0328,1600214,2971826,0,0
"EE",2058,2287977.8578,1601584,2974371,0,0
"EE",2059,2289935.6828,1602954,2976916,0,0
"EE",2060,2291893.5078,1604325,2979461,0,0
"EE",2061,2293854.8875,1605698,2982011,0,0
"EE",2062,2295816.2672,1607071,2984561,0,0
"EE",2063,2297777.6469,1608444,2987110,0,0
"EE",2064,2299739.0266,1609817,2989660,0,0
"EE",2065,2301700.4063,1611190,2992210,0,0
"EE",2066,2303663.97504,1612564,2994763,0,0
"EE",2067,2305627.54378,1613939,2997315,0,0
"EE",2068,2307591.11252,1615313,2999868,0,0
"EE",2069,2309554.68126,1616688,3002421,0,0
"EE",2070,2311518.25,1618062,3004973,0,0
