"Region","Year","ForestAreaOriginal","ForestsMatMin","ForestsMatMax","ForestsYoMin","ForestsYoMax"
"LU",2000,87100,60969,113230,0,0
"LU",2001,87159.5359,61011,113307,0,0
"LU",2002,87219.0718,61053,113384,0,0
"LU",2003,87278.6077,61095,113462,0,0
"LU",2004,87338.1436,61136,113539,0,0
"LU",2005,87397.6795,61178,113616,0,0
"LU",2006,87540.3349,61278,113802,0,0
"LU",2007,87682.9903,61378,113987,0,0
"LU",2008,87825.6457,61477,114173,0,0
"LU",2009,87968.3011,61577,114358,0,0
"LU",2010,88110.9565,61677,114544,0,0
"LU",2011,88220.71276,61754,114686,0,0
"LU",2012,88330.46902,61831,114829,0,0
"LU",2013,88440.22528,61908,114972,0,0
"LU",2014,88549.98154,61984,115114,0,0
"LU",2015,88659.7378,62061,115257,0,0
"LU",2016,88717.33692,62102,115332,0,0
"LU",2017,88774.93604,62142,115407,0,0
"LU",2018,88832.53516,62182,115482,0,0
"LU",2019,88890.13428,62223,115557,0,0
"LU",2020,88947.7334,62263,115632,0,0
"LU",2021,89048.70626,62334,115763,0,0
"LU",2022,89149.67912,62404,115894,0,0
"LU",2023,89250.65198,62475,116025,0,0
"LU",2024,89351.62484,62546,116157,0,0
"LU",2025,89452.5977,62616,116288,0,0
"LU",2026,89660.6723,62762,116558,0,0
"LU",2027,89868.7469,62908,116829,0,0
"LU",2028,90076.8215,63053,117099,0,0
"LU",2029,90284.8961,63199,117370,0,0
"LU",2030,90492.9707,63345,117640,0,0
"LU",2031,90797.21914,63558,118036,0,0
"LU",2032,91101.46758,63771,118431,0,0
"LU",2033,91405.71602,63984,118827,0,0
"LU",2034,91709.96446,64196,119222,0,0
"LU",2035,92014.2129,64409,119618,0,0
"LU",2036,92377.68046,64664,120090,0,0
"LU",2037,92741.14802,64918,120563,0,0
"LU",2038,93104.61558,65173,121036,0,0
"LU",2039,93468.08314,65427,121508,0,0
"LU",2040,93831.5507,65682,121981,0,0
"LU",2041,94223.21048,65956,122490,0,0
"LU",2042,94614.87026,66230,122999,0,0
"LU",2043,95006.53004,66504,123508,0,0
"LU",2044,95398.18982,66778,124017,0,0
"LU",2045,95789.8496,67052,124526,0,0
"LU",2046,95949.99764,67164,124734,0,0
"LU",2047,96110.14568,67277,124943,0,0
"LU",2048,96270.29372,67389,125151,0,0
"LU",2049,96430.44176,67501,125359,0,0
"LU",2050,96590.5898,67613,125567,0,0
"LU",2051,96590.5898,67613,125567,0,0
"LU",2052,96590.5898,67613,125567,0,0
"LU",2053,96590.5898,67613,125567,0,0
"LU",2054,96590.5898,67613,125567,0,0
"LU",2055,96590.5898,67613,125567,0,0
"LU",2056,96590.5898,67613,125567,0,0
"LU",2057,96590.5898,67613,125567,0,0
"LU",2058,96590.5898,67613,125567,0,0
"LU",2059,96590.5898,67613,125567,0,0
"LU",2060,96590.5898,67613,125567,0,0
"LU",2061,96590.5898,67613,125567,0,0
"LU",2062,96590.5898,67613,125567,0,0
"LU",2063,96590.5898,67613,125567,0,0
"LU",2064,96590.5898,67613,125567,0,0
"LU",2065,96590.5898,67613,125567,0,0
"LU",2066,96590.5898,67613,125567,0,0
"LU",2067,96590.5898,67613,125567,0,0
"LU",2068,96590.5898,67613,125567,0,0
"LU",2069,96590.5898,67613,125567,0,0
"LU",2070,96590.5898,67613,125567,0,0
