"Region","Year","ForestAreaOriginal","ForestsMatMin","ForestsMatMax","ForestsYoMin","ForestsYoMax"
"SE",2000,28030100,19621070,36439130,0,0
"SE",2001,28034358.74532,19624051,36444666,0,0
"SE",2002,28038617.49064,19627032,36450202,0,0
"SE",2003,28042876.23596,19630013,36455739,0,0
"SE",2004,28047134.98128,19632994,36461275,0,0
"SE",2005,28051393.7266,19635975,36466811,0,0
"SE",2006,28055786.56878,19639050,36472522,0,0
"SE",2007,28060179.41096,19642125,36478233,0,0
"SE",2008,28064572.25314,19645200,36483943,0,0
"SE",2009,28068965.09532,19648275,36489654,0,0
"SE",2010,28073357.9375,19651350,36495365,0,0
"SE",2011,28083246.28126,19658272,36508220,0,0
"SE",2012,28093134.62502,19665194,36521075,0,0
"SE",2013,28103022.96878,19672116,36533929,0,0
"SE",2014,28112911.31254,19679037,36546784,0,0
"SE",2015,28122799.6563,19685959,36559639,0,0
"SE",2016,28129456.05004,19690619,36568292,0,0
"SE",2017,28136112.44378,19695278,36576946,0,0
"SE",2018,28142768.83752,19699938,36585599,0,0
"SE",2019,28149425.23126,19704597,36594252,0,0
"SE",2020,28156081.625,19709257,36602906,0,0
"SE",2021,28159023.7875,19711316,36606730,0,0
"SE",2022,28161965.95,19713376,36610555,0,0
"SE",2023,28164908.1125,19715435,36614380,0,0
"SE",2024,28167850.275,19717495,36618205,0,0
"SE",2025,28170792.4375,19719554,36622030,0,0
"SE",2026,28172181.2,19720526,36623835,0,0
"SE",2027,28173569.9625,19721498,36625640,0,0
"SE",2028,28174958.725,19722471,36627446,0,0
"SE",2029,28176347.4875,19723443,36629251,0,0
"SE",2030,28177736.25,19724415,36631057,0,0
"SE",2031,28177864.7375,19724505,36631224,0,0
"SE",2032,28177993.225,19724595,36631391,0,0
"SE",2033,28178121.7125,19724685,36631558,0,0
"SE",2034,28178250.2,19724775,36631725,0,0
"SE",2035,28178378.6875,19724865,36631892,0,0
"SE",2036,28178232.9375,19724763,36631702,0,0
"SE",2037,28178087.1875,19724661,36631513,0,0
"SE",2038,28177941.4375,19724559,36631323,0,0
"SE",2039,28177795.6875,19724456,36631134,0,0
"SE",2040,28177649.9375,19724354,36630944,0,0
"SE",2041,28177692.23126,19724384,36630999,0,0
"SE",2042,28177734.52502,19724414,36631054,0,0
"SE",2043,28177776.81878,19724443,36631109,0,0
"SE",2044,28177819.11254,19724473,36631164,0,0
"SE",2045,28177861.4063,19724502,36631219,0,0
"SE",2046,28177996.58754,19724597,36631395,0,0
"SE",2047,28178131.76878,19724692,36631571,0,0
"SE",2048,28178266.95002,19724786,36631747,0,0
"SE",2049,28178402.13126,19724881,36631922,0,0
"SE",2050,28178537.3125,19724976,36632098,0,0
"SE",2051,28178711.23126,19725097,36632324,0,0
"SE",2052,28178885.15002,19725219,36632550,0,0
"SE",2053,28179059.06878,19725341,36632776,0,0
"SE",2054,28179232.98754,19725463,36633002,0,0
"SE",2055,28179406.9063,19725584,36633228,0,0
"SE",2056,28179619.02504,19725733,36633504,0,0
"SE",2057,28179831.14378,19725881,36633780,0,0
"SE",2058,28180043.26252,19726030,36634056,0,0
"SE",2059,28180255.38126,19726178,36634331,0,0
"SE",2060,28180467.5,19726327,36634607,0,0
"SE",2061,28180707.41876,19726495,36634919,0,0
"SE",2062,28180947.33752,19726663,36635231,0,0
"SE",2063,28181187.25628,19726831,36635543,0,0
"SE",2064,28181427.17504,19726999,36635855,0,0
"SE",2065,28181667.0938,19727166,36636167,0,0
"SE",2066,28181926.8063,19727348,36636504,0,0
"SE",2067,28182186.5188,19727530,36636842,0,0
"SE",2068,28182446.2313,19727712,36637180,0,0
"SE",2069,28182705.9438,19727894,36637517,0,0
"SE",2070,28182965.6563,19728075,36637855,0,0
