Region,Year,UrbanMin,UrbanMax,IndustryMin,IndustryMax
AT11,2006,0,0,617,617
AT11,2007,0,0,635,636
AT11,2008,0,0,654,654
AT11,2009,0,0,672,673
AT11,2010,0,0,691,692
AT11,2011,0,0,698,698
AT11,2012,0,0,704,705
AT11,2013,0,0,711,712
AT11,2014,0,0,718,719
AT11,2015,0,0,725,726
AT11,2016,0,0,734,736
AT11,2017,0,0,744,745
AT11,2018,0,0,753,755
AT11,2019,0,0,763,765
AT11,2020,0,0,772,774
AT11,2021,0,0,781,783
AT11,2022,0,0,790,793
AT11,2023,0,0,798,802
AT11,2024,0,0,807,811
AT11,2025,0,0,816,820
AT11,2026,0,0,824,828
AT11,2027,0,0,832,836
AT11,2028,0,0,840,845
AT11,2029,0,0,848,853
AT11,2030,0,0,857,862
AT11,2031,0,0,865,871
AT11,2032,0,0,874,880
AT11,2033,0,0,883,889
AT11,2034,0,0,892,899
AT11,2035,0,0,901,908
AT11,2036,0,0,910,917
AT11,2037,0,0,918,927
AT11,2038,0,0,927,936
AT11,2039,0,0,936,946
AT11,2040,0,0,945,955
AT11,2041,0,0,954,964
AT11,2042,0,0,962,973
AT11,2043,0,0,971,982
AT11,2044,0,0,979,991
AT11,2045,0,0,987,1000
AT11,2046,0,0,994,1008
AT11,2047,0,0,1002,1015
AT11,2048,0,0,1009,1023
AT11,2049,0,0,1016,1031
AT11,2050,0,0,1023,1039
AT12,2006,0,0,10347,10347
AT12,2007,0,0,10397,10398
AT12,2008,0,0,10447,10449
AT12,2009,0,0,10498,10499
AT12,2010,0,0,10548,10550
AT12,2011,0,0,10599,10602
AT12,2012,0,0,10650,10654
AT12,2013,0,0,10701,10706
AT12,2014,0,0,10752,10758
AT12,2015,0,0,10803,10810
AT12,2016,0,0,10872,10882
AT12,2017,0,0,10942,10954
AT12,2018,0,0,11011,11026
AT12,2019,0,0,11081,11098
AT12,2020,0,0,11150,11170
AT12,2021,0,0,11214,11237
AT12,2022,0,0,11278,11304
AT12,2023,0,0,11342,11371
AT12,2024,0,0,11406,11438
AT12,2025,0,0,11471,11504
AT12,2026,0,0,11529,11566
AT12,2027,0,0,11587,11627
AT12,2028,0,0,11645,11689
AT12,2029,0,0,11703,11750
AT12,2030,0,0,11762,11812
AT12,2031,0,0,11824,11878
AT12,2032,0,0,11886,11944
AT12,2033,0,0,11948,12010
AT12,2034,0,0,12010,12077
AT12,2035,0,0,12072,12143
AT12,2036,0,0,12134,12210
AT12,2037,0,0,12195,12276
AT12,2038,0,0,12257,12343
AT12,2039,0,0,12318,12409
AT12,2040,0,0,12380,12476
AT12,2041,0,0,12437,12538
AT12,2042,0,0,12494,12600
AT12,2043,0,0,12551,12662
AT12,2044,0,0,12608,12724
AT12,2045,0,0,12665,12786
AT12,2046,0,0,12712,12839
AT12,2047,0,0,12759,12891
AT12,2048,0,0,12806,12943
AT12,2049,0,0,12853,12995
AT12,2050,0,0,12900,13047
AT13,2006,0,0,5684,5684
AT13,2007,0,0,5744,5745
AT13,2008,0,0,5805,5805
AT13,2009,0,0,5865,5866
AT13,2010,0,0,5926,5927
AT13,2011,0,0,5959,5960
AT13,2012,0,0,5992,5993
AT13,2013,0,0,6025,6027
AT13,2014,0,0,6058,6060
AT13,2015,0,0,6091,6093
AT13,2016,0,0,6137,6140
AT13,2017,0,0,6183,6186
AT13,2018,0,0,6229,6232
AT13,2019,0,0,6275,6279
AT13,2020,0,0,6321,6325
AT13,2021,0,0,6366,6370
AT13,2022,0,0,6410,6416
AT13,2023,0,0,6455,6461
AT13,2024,0,0,6499,6506
AT13,2025,0,0,6544,6551
AT13,2026,0,0,6586,6594
AT13,2027,0,0,6629,6637
AT13,2028,0,0,6671,6680
AT13,2029,0,0,6713,6723
AT13,2030,0,0,6756,6766
AT13,2031,0,0,6804,6814
AT13,2032,0,0,6852,6863
AT13,2033,0,0,6900,6912
AT13,2034,0,0,6948,6961
AT13,2035,0,0,6996,7010
AT13,2036,0,0,7046,7062
AT13,2037,0,0,7096,7113
AT13,2038,0,0,7147,7165
AT13,2039,0,0,7197,7216
AT13,2040,0,0,7248,7268
AT13,2041,0,0,7297,7318
AT13,2042,0,0,7346,7369
AT13,2043,0,0,7395,7419
AT13,2044,0,0,7444,7470
AT13,2045,0,0,7493,7520
AT13,2046,0,0,7537,7566
AT13,2047,0,0,7581,7611
AT13,2048,0,0,7626,7657
AT13,2049,0,0,7670,7702
AT13,2050,0,0,7714,7748
AT21,2006,0,0,911,911
AT21,2007,0,0,916,916
AT21,2008,0,0,920,920
AT21,2009,0,0,925,925
AT21,2010,0,0,929,930
AT21,2011,0,0,938,938
AT21,2012,0,0,947,947
AT21,2013,0,0,955,956
AT21,2014,0,0,964,965
AT21,2015,0,0,973,973
AT21,2016,0,0,985,986
AT21,2017,0,0,997,998
AT21,2018,0,0,1009,1010
AT21,2019,0,0,1021,1022
AT21,2020,0,0,1033,1034
AT21,2021,0,0,1044,1046
AT21,2022,0,0,1055,1057
AT21,2023,0,0,1066,1069
AT21,2024,0,0,1077,1080
AT21,2025,0,0,1088,1092
AT21,2026,0,0,1099,1103
AT21,2027,0,0,1109,1113
AT21,2028,0,0,1119,1124
AT21,2029,0,0,1129,1135
AT21,2030,0,0,1140,1145
AT21,2031,0,0,1151,1157
AT21,2032,0,0,1162,1168
AT21,2033,0,0,1173,1180
AT21,2034,0,0,1184,1192
AT21,2035,0,0,1195,1203
AT21,2036,0,0,1206,1215
AT21,2037,0,0,1217,1227
AT21,2038,0,0,1229,1239
AT21,2039,0,0,1240,1251
AT21,2040,0,0,1251,1263
AT21,2041,0,0,1261,1274
AT21,2042,0,0,1272,1285
AT21,2043,0,0,1282,1296
AT21,2044,0,0,1293,1307
AT21,2045,0,0,1303,1318
AT21,2046,0,0,1312,1328
AT21,2047,0,0,1321,1337
AT21,2048,0,0,1329,1347
AT21,2049,0,0,1338,1356
AT21,2050,0,0,1347,1366
AT22,2006,0,0,4912,4912
AT22,2007,0,0,4942,4942
AT22,2008,0,0,4971,4971
AT22,2009,0,0,5001,5001
AT22,2010,0,0,5030,5031
AT22,2011,0,0,5058,5059
AT22,2012,0,0,5085,5087
AT22,2013,0,0,5113,5115
AT22,2014,0,0,5140,5143
AT22,2015,0,0,5168,5171
AT22,2016,0,0,5206,5210
AT22,2017,0,0,5244,5249
AT22,2018,0,0,5282,5288
AT22,2019,0,0,5320,5327
AT22,2020,0,0,5358,5366
AT22,2021,0,0,5393,5402
AT22,2022,0,0,5429,5439
AT22,2023,0,0,5464,5475
AT22,2024,0,0,5500,5512
AT22,2025,0,0,5535,5549
AT22,2026,0,0,5567,5583
AT22,2027,0,0,5600,5616
AT22,2028,0,0,5632,5650
AT22,2029,0,0,5665,5684
AT22,2030,0,0,5697,5718
AT22,2031,0,0,5732,5755
AT22,2032,0,0,5767,5792
AT22,2033,0,0,5802,5828
AT22,2034,0,0,5837,5865
AT22,2035,0,0,5872,5902
AT22,2036,0,0,5907,5939
AT22,2037,0,0,5942,5977
AT22,2038,0,0,5977,6014
AT22,2039,0,0,6012,6052
