Region,Year,UrbanMin,UrbanMax,IndustryMin,IndustryMax
BE10,2006,0,0,3019,3019
BE10,2007,0,0,3007,3007
BE10,2008,0,0,2995,2995
BE10,2009,0,0,2983,2983
BE10,2010,0,0,2970,2970
BE10,2011,0,0,2972,2972
BE10,2012,0,0,2974,2974
BE10,2013,0,0,2975,2975
BE10,2014,0,0,2977,2977
BE10,2015,0,0,2978,2978
BE10,2016,0,0,2995,2995
BE10,2017,0,0,3012,3012
BE10,2018,0,0,3029,3029
BE10,2019,0,0,3046,3046
BE10,2020,0,0,3063,3063
BE10,2021,0,0,3079,3079
BE10,2022,0,0,3096,3096
BE10,2023,0,0,3112,3112
BE10,2024,0,0,3128,3128
BE10,2025,0,0,3144,3144
BE10,2026,0,0,3167,3167
BE10,2027,0,0,3189,3189
BE10,2028,0,0,3211,3211
BE10,2029,0,0,3233,3233
BE10,2030,0,0,3255,3255
BE10,2031,0,0,3293,3293
BE10,2032,0,0,3330,3330
BE10,2033,0,0,3368,3368
BE10,2034,0,0,3405,3405
BE10,2035,0,0,3443,3443
BE10,2036,0,0,3487,3487
BE10,2037,0,0,3531,3531
BE10,2038,0,0,3575,3575
BE10,2039,0,0,3619,3619
BE10,2040,0,0,3663,3663
BE10,2041,0,0,3709,3709
BE10,2042,0,0,3755,3755
BE10,2043,0,0,3801,3801
BE10,2044,0,0,3847,3847
BE10,2045,0,0,3893,3893
BE10,2046,0,0,3939,3939
BE10,2047,0,0,3984,3984
BE10,2048,0,0,4029,4029
BE10,2049,0,0,4075,4075
BE10,2050,0,0,4120,4120
BE21,2006,0,0,12798,12798
BE21,2007,0,0,12739,12739
BE21,2008,0,0,12680,12680
BE21,2009,0,0,12621,12621
BE21,2010,0,0,12562,12562
BE21,2011,0,0,12594,12594
BE21,2012,0,0,12626,12626
BE21,2013,0,0,12659,12659
BE21,2014,0,0,12691,12691
BE21,2015,0,0,12723,12723
BE21,2016,0,0,12828,12828
BE21,2017,0,0,12932,12933
BE21,2018,0,0,13036,13038
BE21,2019,0,0,13141,13143
BE21,2020,0,0,13245,13248
BE21,2021,0,0,13346,13349
BE21,2022,0,0,13446,13451
BE21,2023,0,0,13546,13553
BE21,2024,0,0,13646,13654
BE21,2025,0,0,13746,13756
BE21,2026,0,0,13865,13878
BE21,2027,0,0,13983,14000
BE21,2028,0,0,14102,14122
BE21,2029,0,0,14220,14244
BE21,2030,0,0,14339,14366
BE21,2031,0,0,14504,14539
BE21,2032,0,0,14669,14712
BE21,2033,0,0,14835,14886
BE21,2034,0,0,15000,15059
BE21,2035,0,0,15165,15233
BE21,2036,0,0,15335,15414
BE21,2037,0,0,15504,15596
BE21,2038,0,0,15673,15777
BE21,2039,0,0,15843,15958
BE21,2040,0,0,16012,16140
BE21,2041,0,0,16171,16312
BE21,2042,0,0,16329,16485
BE21,2043,0,0,16488,16658
BE21,2044,0,0,16646,16830
BE21,2045,0,0,16804,17003
BE21,2046,0,0,16944,17157
BE21,2047,0,0,17084,17312
BE21,2048,0,0,17223,17466
BE21,2049,0,0,17363,17621
BE21,2050,0,0,17503,17775
BE22,2006,0,0,8019,8019
BE22,2007,0,0,7932,7932
BE22,2008,0,0,7845,7845
BE22,2009,0,0,7759,7759
BE22,2010,0,0,7672,7672
BE22,2011,0,0,7688,7688
BE22,2012,0,0,7703,7703
BE22,2013,0,0,7719,7719
BE22,2014,0,0,7735,7735
BE22,2015,0,0,7751,7751
BE22,2016,0,0,7812,7814
BE22,2017,0,0,7874,7878
BE22,2018,0,0,7936,7941
BE22,2019,0,0,7998,8004
BE22,2020,0,0,8059,8068
BE22,2021,0,0,8114,8125
BE22,2022,0,0,8169,8182
BE22,2023,0,0,8223,8240
