Region,Year,UrbanMin,UrbanMax,IndustryMin,IndustryMax
FR10,2006,0,0,54734,54734
FR10,2007,0,0,54135,54136
FR10,2008,0,0,53535,53538
FR10,2009,0,0,52936,52940
FR10,2010,0,0,52337,52342
FR10,2011,0,0,52340,52345
FR10,2012,0,0,52344,52348
FR10,2013,0,0,52347,52352
FR10,2014,0,0,52351,52355
FR10,2015,0,0,52354,52359
FR10,2016,0,0,52626,52628
FR10,2017,0,0,52893,52901
FR10,2018,0,0,53161,53175
FR10,2019,0,0,53428,53449
FR10,2020,0,0,53695,53723
FR10,2021,0,0,53839,53871
FR10,2022,0,0,53982,54019
FR10,2023,0,0,54126,54167
FR10,2024,0,0,54270,54315
FR10,2025,0,0,54413,54463
FR10,2026,0,0,54594,54652
FR10,2027,0,0,54776,54841
FR10,2028,0,0,54957,55030
FR10,2029,0,0,55138,55218
FR10,2030,0,0,55319,55407
FR10,2031,0,0,55575,55675
FR10,2032,0,0,55830,55944
FR10,2033,0,0,56085,56212
FR10,2034,0,0,56340,56480
FR10,2035,0,0,56595,56749
FR10,2036,0,0,56889,57061
FR10,2037,0,0,57183,57374
FR10,2038,0,0,57477,57686
FR10,2039,0,0,57771,57999
FR10,2040,0,0,58065,58311
FR10,2041,0,0,58340,58607
FR10,2042,0,0,58615,58902
FR10,2043,0,0,58890,59198
FR10,2044,0,0,59165,59493
FR10,2045,0,0,59440,59788
FR10,2046,0,0,59732,60106
FR10,2047,0,0,60025,60423
FR10,2048,0,0,60317,60740
FR10,2049,0,0,60609,61058
FR10,2050,0,0,60902,61375
FR21,2006,0,0,15311,15311
FR21,2007,0,0,15040,15040
FR21,2008,0,0,14769,14769
FR21,2009,0,0,14498,14498
FR21,2010,0,0,14227,14227
FR21,2011,0,0,14235,14235
FR21,2012,0,0,14242,14242
FR21,2013,0,0,14250,14250
FR21,2014,0,0,14257,14257
FR21,2015,0,0,14265,14265
FR21,2016,0,0,14359,14359
FR21,2017,0,0,14453,14453
FR21,2018,0,0,14547,14547
FR21,2019,0,0,14641,14641
FR21,2020,0,0,14735,14735
FR21,2021,0,0,14777,14778
FR21,2022,0,0,14819,14821
FR21,2023,0,0,14861,14863
FR21,2024,0,0,14903,14906
FR21,2025,0,0,14945,14949
FR21,2026,0,0,14993,14999
FR21,2027,0,0,15041,15050
FR21,2028,0,0,15089,15100
FR21,2029,0,0,15137,15151
FR21,2030,0,0,15186,15201
FR21,2031,0,0,15248,15268
FR21,2032,0,0,15311,15335
FR21,2033,0,0,15374,15402
FR21,2034,0,0,15436,15469
FR21,2035,0,0,15499,15537
