Region,Year,UrbanMin,UrbanMax,IndustryMin,IndustryMax
ITC1,2006,0,0,27434,27434
ITC1,2007,0,0,27008,27008
ITC1,2008,0,0,26583,26583
ITC1,2009,0,0,26157,26157
ITC1,2010,0,0,25732,25732
ITC1,2011,0,0,25579,25579
ITC1,2012,0,0,25427,25427
ITC1,2013,0,0,25274,25274
ITC1,2014,0,0,25122,25122
ITC1,2015,0,0,24969,24969
ITC1,2016,0,0,25150,25150
ITC1,2017,0,0,25331,25331
ITC1,2018,0,0,25512,25512
ITC1,2019,0,0,25693,25693
ITC1,2020,0,0,25874,25874
ITC1,2021,0,0,25990,25991
ITC1,2022,0,0,26106,26108
ITC1,2023,0,0,26222,26224
ITC1,2024,0,0,26338,26341
ITC1,2025,0,0,26454,26458
ITC1,2026,0,0,26578,26584
ITC1,2027,0,0,26702,26710
ITC1,2028,0,0,26826,26837
ITC1,2029,0,0,26950,26963
ITC1,2030,0,0,27074,27089
ITC1,2031,0,0,27225,27246
ITC1,2032,0,0,27377,27402
ITC1,2033,0,0,27528,27559
ITC1,2034,0,0,27679,27715
ITC1,2035,0,0,27831,27872
ITC1,2036,0,0,28009,28059
ITC1,2037,0,0,28188,28246
ITC1,2038,0,0,28366,28434
ITC1,2039,0,0,28545,28621
ITC1,2040,0,0,28723,28809
ITC1,2041,0,0,28889,28985
ITC1,2042,0,0,29055,29162
ITC1,2043,0,0,29221,29338
ITC1,2044,0,0,29387,29515
ITC1,2045,0,0,29552,29691
ITC1,2046,0,0,29728,29880
ITC1,2047,0,0,29903,30069
ITC1,2048,0,0,30078,30259
ITC1,2049,0,0,30253,30448
ITC1,2050,0,0,30428,30637
ITC2,2006,0,0,823,823
ITC2,2007,0,0,809,809
ITC2,2008,0,0,796,796
ITC2,2009,0,0,782,782
ITC2,2010,0,0,768,768
ITC2,2011,0,0,763,763
ITC2,2012,0,0,758,758
ITC2,2013,0,0,753,753
ITC2,2014,0,0,748,748
ITC2,2015,0,0,743,743
ITC2,2016,0,0,751,751
ITC2,2017,0,0,759,759
ITC2,2018,0,0,767,767
ITC2,2019,0,0,775,775
ITC2,2020,0,0,783,783
ITC2,2021,0,0,788,788
ITC2,2022,0,0,793,794
ITC2,2023,0,0,799,799
ITC2,2024,0,0,804,804
ITC2,2025,0,0,809,810
ITC2,2026,0,0,815,815
ITC2,2027,0,0,820,820
ITC2,2028,0,0,825,826
ITC2,2029,0,0,831,831
ITC2,2030,0,0,836,837
ITC2,2031,0,0,843,844
ITC2,2032,0,0,850,851
ITC2,2033,0,0,856,858
ITC2,2034,0,0,863,865
ITC2,2035,0,0,870,872
ITC2,2036,0,0,878,880
ITC2,2037,0,0,885,888
ITC2,2038,0,0,893,896
ITC2,2039,0,0,900,904
ITC2,2040,0,0,908,912
ITC2,2041,0,0,914,919
ITC2,2042,0,0,921,926
ITC2,2043,0,0,928,933
ITC2,2044,0,0,934,940
ITC2,2045,0,0,941,948
ITC2,2046,0,0,948,955
ITC2,2047,0,0,955,963
ITC2,2048,0,0,962,970
ITC2,2049,0,0,969,978
ITC2,2050,0,0,976,985
ITC3,2006,0,0,3858,3858
ITC3,2007,0,0,3829,3829
ITC3,2008,0,0,3801,3801
ITC3,2009,0,0,3772,3772
ITC3,2010,0,0,3743,3743
ITC3,2011,0,0,3723,3723
ITC3,2012,0,0,3702,3702
ITC3,2013,0,0,3681,3681
ITC3,2014,0,0,3660,3660
ITC3,2015,0,0,3639,3639
ITC3,2016,0,0,3666,3666
ITC3,2017,0,0,3693,3694
ITC3,2018,0,0,3720,3721
ITC3,2019,0,0,3747,3748
ITC3,2020,0,0,3774,3775
ITC3,2021,0,0,3793,3794
ITC3,2022,0,0,3811,3812
ITC3,2023,0,0,3829,3831
ITC3,2024,0,0,3848,3849
ITC3,2025,0,0,3866,3868
ITC3,2026,0,0,3885,3887
ITC3,2027,0,0,3905,3907
ITC3,2028,0,0,3924,3927
ITC3,2029,0,0,3944,3947
ITC3,2030,0,0,3963,3967
ITC3,2031,0,0,3990,3994
ITC3,2032,0,0,4016,4021
ITC3,2033,0,0,4042,4047
ITC3,2034,0,0,4068,4074
ITC3,2035,0,0,4094,4101
ITC3,2036,0,0,4125,4133
ITC3,2037,0,0,4156,4165
ITC3,2038,0,0,4187,4197
ITC3,2039,0,0,4218,4229
ITC3,2040,0,0,4249,4261
ITC3,2041,0,0,4278,4291
ITC3,2042,0,0,4308,4322
ITC3,2043,0,0,4337,4353
ITC3,2044,0,0,4367,4383
ITC3,2045,0,0,4396,4414
ITC3,2046,0,0,4429,4448
ITC3,2047,0,0,4462,4483
ITC3,2048,0,0,4494,4517
ITC3,2049,0,0,4527,4551
ITC3,2050,0,0,4560,4586
ITC4,2006,0,0,64878,64878
ITC4,2007,0,0,64198,64198
ITC4,2008,0,0,63519,63519
ITC4,2009,0,0,62839,62839
ITC4,2010,0,0,62160,62160
ITC4,2011,0,0,61777,61777
ITC4,2012,0,0,61394,61394
ITC4,2013,0,0,61012,61012
ITC4,2014,0,0,60629,60629
ITC4,2015,0,0,60246,60246
ITC4,2016,0,0,60672,60672
ITC4,2017,0,0,61098,61098
ITC4,2018,0,0,61524,61524
ITC4,2019,0,0,61950,61950
ITC4,2020,0,0,62375,62375
ITC4,2021,0,0,62663,62663
ITC4,2022,0,0,62950,62950
ITC4,2023,0,0,63237,63237
ITC4,2024,0,0,63524,63524
ITC4,2025,0,0,63811,63811
ITC4,2026,0,0,64136,64138
ITC4,2027,0,0,64462,64465
ITC4,2028,0,0,64788,64793
ITC4,2029,0,0,65113,65120
ITC4,2030,0,0,65439,65447
ITC4,2031,0,0,65841,65857
ITC4,2032,0,0,66243,66266
ITC4,2033,0,0,66645,66676
ITC4,2034,0,0,67047,67086
ITC4,2035,0,0,67450,67495
ITC4,2036,0,0,67920,67982
ITC4,2037,0,0,68391,68468
ITC4,2038,0,0,68862,68954
ITC4,2039,0,0,69333,69440
ITC4,2040,0,0,69803,69927
ITC4,2041,0,0,70250,70394
ITC4,2042,0,0,70696,70861
ITC4,2043,0,0,71142,71328
ITC4,2044,0,0,71588,71795
ITC4,2045,0,0,72034,72262
ITC4,2046,0,0,72507,72765
ITC4,2047,0,0,72980,73267
ITC4,2048,0,0,73453,73770
ITC4,2049,0,0,73926,74273
ITC4,2050,0,0,74398,74775
ITD1,2006,0,0,1488,1488
ITD1,2007,0,0,1514,1514
ITD1,2008,0,0,1541,1541
ITD1,2009,0,0,1567,1567
ITD1,2010,0,0,1594,1594
ITD1,2011,0,0,1582,1582
ITD1,2012,0,0,1570,1571
ITD1,2013,0,0,1559,1559
ITD1,2014,0,0,1547,1547
ITD1,2015,0,0,1536,1536
ITD1,2016,0,0,1553,1554
ITD1,2017,0,0,1571,1572
ITD1,2018,0,0,1589,1589
ITD1,2019,0,0,1607,1607
ITD1,2020,0,0,1625,1625
ITD1,2021,0,0,1638,1638
ITD1,2022,0,0,1650,1651
ITD1,2023,0,0,1663,1663
ITD1,2024,0,0,1676,1676
ITD1,2025,0,0,1689,1689
ITD1,2026,0,0,1703,1703
ITD1,2027,0,0,1717,1717
ITD1,2028,0,0,1731,1731
ITD1,2029,0,0,1745,1745
ITD1,2030,0,0,1759,1759
ITD1,2031,0,0,1777,1778
ITD1,2032,0,0,1796,1796
ITD1,2033,0,0,1814,1815
ITD1,2034,0,0,1833,1833
ITD1,2035,0,0,1851,1852
ITD1,2036,0,0,1873,1874
ITD1,2037,0,0,1894,1896
ITD1,2038,0,0,1916,1917
ITD1,2039,0,0,1937,1939
ITD1,2040,0,0,1959,1961
ITD1,2041,0,0,1979,1982
ITD1,2042,0,0,2000,2003
ITD1,2043,0,0,2021,2024
ITD1,2044,0,0,2041,2046
ITD1,2045,0,0,2062,2067
ITD1,2046,0,0,2084,2090
ITD1,2047,0,0,2107,2113
ITD1,2048,0,0,2129,2137
ITD1,2049,0,0,2152,2160
ITD1,2050,0,0,2174,2183
ITD2,2006,0,0,2511,2511
ITD2,2007,0,0,2516,2516
ITD2,2008,0,0,2521,2521
ITD2,2009,0,0,2526,2526
ITD2,2010,0,0,2531,2531
ITD2,2011,0,0,2518,2518
ITD2,2012,0,0,2505,2505
ITD2,2013,0,0,2491,2491
ITD2,2014,0,0,2478,2478
ITD2,2015,0,0,2465,2465
ITD2,2016,0,0,2481,2481
ITD2,2017,0,0,2498,2498
ITD2,2018,0,0,2514,2514
ITD2,2019,0,0,2531,2531
ITD2,2020,0,0,2547,2547
ITD2,2021,0,0,2558,2558
ITD2,2022,0,0,2570,2570
ITD2,2023,0,0,2581,2581
ITD2,2024,0,0,2592,2592
ITD2,2025,0,0,2604,2604
ITD2,2026,0,0,2616,2616
ITD2,2027,0,0,2629,2629
ITD2,2028,0,0,2642,2642
ITD2,2029,0,0,2654,2654
ITD2,2030,0,0,2667,2667
ITD2,2031,0,0,2685,2685
ITD2,2032,0,0,2702,2702
ITD2,2033,0,0,2720,2720
ITD2,2034,0,0,2737,2737
ITD2,2035,0,0,2755,2755
ITD2,2036,0,0,2776,2776
ITD2,2037,0,0,2797,2797
ITD2,2038,0,0,2817,2818
ITD2,2039,0,0,2838,2839
ITD2,2040,0,0,2859,2860
ITD2,2041,0,0,2879,2880
ITD2,2042,0,0,2899,2901
ITD2,2043,0,0,2920,2921
ITD2,2044,0,0,2940,2941
ITD2,2045,0,0,2960,2962
ITD2,2046,0,0,2982,2984
ITD2,2047,0,0,3004,3007
ITD2,2048,0,0,3026,3030
ITD2,2049,0,0,3048,3052
ITD2,2050,0,0,3070,3075
ITD3,2006,0,0,43234,43234
ITD3,2007,0,0,43042,43042
ITD3,2008,0,0,42849,42849
ITD3,2009,0,0,42657,42657
ITD3,2010,0,0,42465,42465
ITD3,2011,0,0,42218,42218
ITD3,2012,0,0,41972,41972
ITD3,2013,0,0,41725,41725
ITD3,2014,0,0,41478,41478
ITD3,2015,0,0,41232,41232
ITD3,2016,0,0,41558,41558
ITD3,2017,0,0,41884,41884
ITD3,2018,0,0,42210,42210
ITD3,2019,0,0,42537,42537
ITD3,2020,0,0,42863,42863
ITD3,2021,0,0,43087,43087
ITD3,2022,0,0,43311,43311
ITD3,2023,0,0,43536,43536
ITD3,2024,0,0,43760,43760
ITD3,2025,0,0,43984,43984
ITD3,2026,0,0,44227,44230
ITD3,2027,0,0,44471,44476
ITD3,2028,0,0,44714,44722
ITD3,2029,0,0,44958,44968
ITD3,2030,0,0,45201,45214
ITD3,2031,0,0,45485,45507
ITD3,2032,0,0,45768,45800
ITD3,2033,0,0,46052,46092
ITD3,2034,0,0,46336,46385
ITD3,2035,0,0,46620,46677
ITD3,2036,0,0,46939,47014
ITD3,2037,0,0,47259,47350
ITD3,2038,0,0,47579,47686
ITD3,2039,0,0,47898,48022
ITD3,2040,0,0,48218,48358
ITD3,2041,0,0,48511,48672
ITD3,2042,0,0,48804,48986
ITD3,2043,0,0,49097,49299
ITD3,2044,0,0,49390,49613
ITD3,2045,0,0,49683,49927
ITD3,2046,0,0,49982,50252
ITD3,2047,0,0,50280,50578
ITD3,2048,0,0,50579,50904
ITD3,2049,0,0,50877,51229
ITD3,2050,0,0,51176,51555
ITD4,2006,0,0,10314,10314
ITD4,2007,0,0,10113,10113
ITD4,2008,0,0,9913,9913
ITD4,2009,0,0,9712,9712
ITD4,2010,0,0,9512,9512
ITD4,2011,0,0,9449,9449
ITD4,2012,0,0,9385,9385
ITD4,2013,0,0,9322,9322
ITD4,2014,0,0,9259,9259
ITD4,2015,0,0,9196,9196
ITD4,2016,0,0,9278,9278
ITD4,2017,0,0,9360,9360
ITD4,2018,0,0,9442,9442
ITD4,2019,0,0,9525,9525
ITD4,2020,0,0,9607,9607
ITD4,2021,0,0,9659,9660
ITD4,2022,0,0,9712,9713
ITD4,2023,0,0,9764,9766
ITD4,2024,0,0,9816,9819
ITD4,2025,0,0,9869,9872
ITD4,2026,0,0,9922,9927
ITD4,2027,0,0,9975,9981
ITD4,2028,0,0,10028,10036
ITD4,2029,0,0,10081,10091
ITD4,2030,0,0,10134,10146
ITD4,2031,0,0,10198,10213
ITD4,2032,0,0,10263,10281
ITD4,2033,0,0,10327,10349
ITD4,2034,0,0,10392,10417
ITD4,2035,0,0,10456,10485
ITD4,2036,0,0,10528,10562
ITD4,2037,0,0,10599,10638
ITD4,2038,0,0,10670,10715
ITD4,2039,0,0,10742,10792
ITD4,2040,0,0,10813,10868
ITD4,2041,0,0,10877,10938
ITD4,2042,0,0,10941,11007
ITD4,2043,0,0,11004,11077
ITD4,2044,0,0,11068,11146
ITD4,2045,0,0,11132,11216
ITD4,2046,0,0,11197,11288
ITD4,2047,0,0,11262,11361
ITD4,2048,0,0,11327,11433
ITD4,2049,0,0,11392,11505
ITD4,2050,0,0,11457,11578
ITD5,2006,0,0,36097,36097
ITD5,2007,0,0,35555,35555
ITD5,2008,0,0,35013,35013
