Region,Year,UrbanMin,UrbanMax,IndustryMin,IndustryMax
LV00,2006,0,0,19309,19309
LV00,2007,0,0,19211,19212
LV00,2008,0,0,19112,19115
LV00,2009,0,0,19014,19019
LV00,2010,0,0,18915,18922
LV00,2011,0,0,19272,19310
LV00,2012,0,0,19621,19705
LV00,2013,0,0,19971,20101
LV00,2014,0,0,20320,20496
LV00,2015,0,0,20670,20891
LV00,2016,0,0,20897,21157
LV00,2017,0,0,21124,21423
LV00,2018,0,0,21351,21689
LV00,2019,0,0,21579,21955
LV00,2020,0,0,21806,22221
LV00,2021,0,0,21902,22336
LV00,2022,0,0,21999,22451
LV00,2023,0,0,22095,22566
LV00,2024,0,0,22192,22681
LV00,2025,0,0,22289,22796
LV00,2026,0,0,22346,22864
LV00,2027,0,0,22403,22933
LV00,2028,0,0,22460,23002
LV00,2029,0,0,22518,23071
LV00,2030,0,0,22575,23140
LV00,2031,0,0,22579,23145
LV00,2032,0,0,22584,23151
LV00,2033,0,0,22588,23156
LV00,2034,0,0,22593,23162
LV00,2035,0,0,22597,23167
LV00,2036,0,0,22632,23210
LV00,2037,0,0,22667,23253
LV00,2038,0,0,22702,23295
LV00,2039,0,0,22737,23338
LV00,2040,0,0,22772,23381
LV00,2041,0,0,22791,23404
LV00,2042,0,0,22810,23428
LV00,2043,0,0,22829,23451
LV00,2044,0,0,22848,23475
LV00,2045,0,0,22867,23498
LV00,2046,0,0,22878,23511
LV00,2047,0,0,22889,23524
LV00,2048,0,0,22899,23538
LV00,2049,0,0,22910,23551
LV00,2050,0,0,22921,23564
