Region,Year,UrbanMin,UrbanMax,IndustryMin,IndustryMax
PL11,2006,0,0,12153,12153
PL11,2007,0,0,12795,12821
PL11,2008,0,0,13437,13490
PL11,2009,0,0,14079,14158
PL11,2010,0,0,14721,14827
PL11,2011,0,0,14938,15059
PL11,2012,0,0,15156,15291
PL11,2013,0,0,15374,15523
PL11,2014,0,0,15592,15755
PL11,2015,0,0,15810,15987
PL11,2016,0,0,16076,16277
PL11,2017,0,0,16342,16568
PL11,2018,0,0,16608,16859
PL11,2019,0,0,16874,17149
PL11,2020,0,0,17140,17440
PL11,2021,0,0,17314,17633
PL11,2022,0,0,17488,17826
PL11,2023,0,0,17662,18019
PL11,2024,0,0,17837,18213
PL11,2025,0,0,18011,18406
PL11,2026,0,0,18177,18593
PL11,2027,0,0,18343,18780
PL11,2028,0,0,18509,18968
PL11,2029,0,0,18676,19155
PL11,2030,0,0,18842,19342
PL11,2031,0,0,18935,19449
PL11,2032,0,0,19029,19555
PL11,2033,0,0,19122,19661
PL11,2034,0,0,19215,19767
PL11,2035,0,0,19308,19874
PL11,2036,0,0,19409,19989
PL11,2037,0,0,19509,20105
PL11,2038,0,0,19610,20220
PL11,2039,0,0,19710,20335
PL11,2040,0,0,19810,20451
PL11,2041,0,0,19883,20535
PL11,2042,0,0,19956,20619
PL11,2043,0,0,20028,20704
PL11,2044,0,0,20101,20788
PL11,2045,0,0,20174,20872
PL11,2046,0,0,20224,20931
PL11,2047,0,0,20275,20990
PL11,2048,0,0,20325,21049
PL11,2049,0,0,20376,21108
PL11,2050,0,0,20426,21166
PL12,2006,0,0,25196,25196
PL12,2007,0,0,26018,26045
PL12,2008,0,0,26840,26894
PL12,2009,0,0,27662,27743
PL12,2010,0,0,28485,28592
PL12,2011,0,0,28931,29063
PL12,2012,0,0,29378,29534
PL12,2013,0,0,29825,30006
PL12,2014,0,0,30272,30477
PL12,2015,0,0,30719,30948
PL12,2016,0,0,31250,31522
PL12,2017,0,0,31782,32096
PL12,2018,0,0,32313,32669
PL12,2019,0,0,32844,33243
PL12,2020,0,0,33376,33816
PL12,2021,0,0,33753,34230
PL12,2022,0,0,34130,34644
PL12,2023,0,0,34507,35058
PL12,2024,0,0,34884,35471
PL12,2025,0,0,35261,35885
PL12,2026,0,0,35618,36282
PL12,2027,0,0,35974,36679
PL12,2028,0,0,36331,37076
PL12,2029,0,0,36688,37472
PL12,2030,0,0,37044,37869
PL12,2031,0,0,37267,38119
PL12,2032,0,0,37489,38370
PL12,2033,0,0,37712,38620
PL12,2034,0,0,37935,38870
PL12,2035,0,0,38157,39120
PL12,2036,0,0,38384,39378
PL12,2037,0,0,38612,39636
PL12,2038,0,0,38839,39894
PL12,2039,0,0,39066,40151
PL12,2040,0,0,39294,40409
PL12,2041,0,0,39464,40603
PL12,2042,0,0,39633,40796
PL12,2043,0,0,39803,40990
PL12,2044,0,0,39973,41184
PL12,2045,0,0,40143,41377
PL12,2046,0,0,40263,41515
PL12,2047,0,0,40384,41653
PL12,2048,0,0,40504,41791
PL12,2049,0,0,40624,41929
PL12,2050,0,0,40745,42067
PL21,2006,0,0,12405,12405
PL21,2007,0,0,12894,12909
PL21,2008,0,0,13384,13413
PL21,2009,0,0,13873,13917
PL21,2010,0,0,14362,14420
PL21,2011,0,0,14628,14699
PL21,2012,0,0,14894,14978
PL21,2013,0,0,15159,15257
PL21,2014,0,0,15425,15536
PL21,2015,0,0,15691,15815
PL21,2016,0,0,16031,16180
PL21,2017,0,0,16370,16545
PL21,2018,0,0,16710,16910
PL21,2019,0,0,17050,17275
PL21,2020,0,0,17389,17640
PL21,2021,0,0,17608,17878
PL21,2022,0,0,17826,18116
PL21,2023,0,0,18045,18354
PL21,2024,0,0,18263,18592
PL21,2025,0,0,18481,18830
PL21,2026,0,0,18698,19070
PL21,2027,0,0,18915,19309
PL21,2028,0,0,19132,19549
PL21,2029,0,0,19348,19788
PL21,2030,0,0,19565,20028
PL21,2031,0,0,19681,20157
PL21,2032,0,0,19797,20286
PL21,2033,0,0,19912,20415
PL21,2034,0,0,20028,20544
PL21,2035,0,0,20143,20672
PL21,2036,0,0,20280,20826
PL21,2037,0,0,20416,20979
PL21,2038,0,0,20553,21133
PL21,2039,0,0,20689,21286
PL21,2040,0,0,20826,21440
PL21,2041,0,0,20927,21554
PL21,2042,0,0,21028,21669
PL21,2043,0,0,21129,21783
PL21,2044,0,0,21230,21898
PL21,2045,0,0,21331,22012
PL21,2046,0,0,21403,22093
PL21,2047,0,0,21474,22174
PL21,2048,0,0,21545,22256
PL21,2049,0,0,21617,22337
PL21,2050,0,0,21688,22418
PL22,2006,0,0,31103,31103
PL22,2007,0,0,32830,32952
PL22,2008,0,0,34557,34801
PL22,2009,0,0,36285,36650
PL22,2010,0,0,38012,38499
PL22,2011,0,0,38587,39133
PL22,2012,0,0,39162,39768
PL22,2013,0,0,39737,40402
PL22,2014,0,0,40312,41036
PL22,2015,0,0,40888,41671
PL22,2016,0,0,41567,42442
PL22,2017,0,0,42246,43213
PL22,2018,0,0,42925,43985
PL22,2019,0,0,43604,44756
PL22,2020,0,0,44283,45527
PL22,2021,0,0,44682,45989
PL22,2022,0,0,45081,46450
PL22,2023,0,0,45480,46911
PL22,2024,0,0,45879,47372
PL22,2025,0,0,46279,47833
PL22,2026,0,0,46650,48269
PL22,2027,0,0,47021,48704
PL22,2028,0,0,47392,49139
PL22,2029,0,0,47763,49574
PL22,2030,0,0,48134,50009
PL22,2031,0,0,48317,50226
PL22,2032,0,0,48501,50443
PL22,2033,0,0,48684,50661
PL22,2034,0,0,48868,50878
PL22,2035,0,0,49052,51095
PL22,2036,0,0,49261,51346
PL22,2037,0,0,49471,51596
PL22,2038,0,0,49680,51846
PL22,2039,0,0,49890,52097
PL22,2040,0,0,50100,52347
PL22,2041,0,0,50247,52524
PL22,2042,0,0,50395,52701
PL22,2043,0,0,50542,52879
PL22,2044,0,0,50690,53056
PL22,2045,0,0,50837,53233
PL22,2046,0,0,50937,53353
PL22,2047,0,0,51036,53474
PL22,2048,0,0,51136,53594
PL22,2049,0,0,51236,53714
PL22,2050,0,0,51335,53834
PL31,2006,0,0,6660,6660
PL31,2007,0,0,6980,6989
PL31,2008,0,0,7300,7318
PL31,2009,0,0,7620,7647
PL31,2010,0,0,7941,7976
PL31,2011,0,0,8079,8120
PL31,2012,0,0,8217,8265
PL31,2013,0,0,8355,8409
PL31,2014,0,0,8493,8553
PL31,2015,0,0,8631,8698
PL31,2016,0,0,8818,8897
PL31,2017,0,0,9004,9096
PL31,2018,0,0,9190,9296
PL31,2019,0,0,9377,9495
PL31,2020,0,0,9563,9694
PL31,2021,0,0,9675,9816
PL31,2022,0,0,9788,9938
PL31,2023,0,0,9900,10060
PL31,2024,0,0,10013,10182
PL31,2025,0,0,10125,10303
PL31,2026,0,0,10239,10429
PL31,2027,0,0,10354,10555
PL31,2028,0,0,10468,10681
PL31,2029,0,0,10582,10806
PL31,2030,0,0,10696,10932
PL31,2031,0,0,10750,10992
PL31,2032,0,0,10804,11051
PL31,2033,0,0,10857,11111
PL31,2034,0,0,10911,11170
PL31,2035,0,0,10964,11230
PL31,2036,0,0,11032,11306
PL31,2037,0,0,11100,11382
PL31,2038,0,0,11167,11458
PL31,2039,0,0,11235,11534
PL31,2040,0,0,11303,11610
PL31,2041,0,0,11351,11665
PL31,2042,0,0,11400,11720
PL31,2043,0,0,11449,11775
PL31,2044,0,0,11498,11831
PL31,2045,0,0,11546,11886
PL31,2046,0,0,11579,11923
PL31,2047,0,0,11612,11960
PL31,2048,0,0,11645,11998
PL31,2049,0,0,11677,12035
PL31,2050,0,0,11710,12073
PL32,2006,0,0,6065,6065
PL32,2007,0,0,6420,6431
PL32,2008,0,0,6775,6797
PL32,2009,0,0,7130,7163
PL32,2010,0,0,7485,7529
PL32,2011,0,0,7649,7701
PL32,2012,0,0,7812,7873
PL32,2013,0,0,7976,8044
PL32,2014,0,0,8140,8216
PL32,2015,0,0,8303,8388
PL32,2016,0,0,8525,8626
PL32,2017,0,0,8746,8863
PL32,2018,0,0,8967,9101
PL32,2019,0,0,9188,9339
PL32,2020,0,0,9410,9577
PL32,2021,0,0,9539,9717
PL32,2022,0,0,9669,9858
PL32,2023,0,0,9798,9999
PL32,2024,0,0,9927,10140
PL32,2025,0,0,10057,10281
PL32,2026,0,0,10191,10429
PL32,2027,0,0,10325,10577
PL32,2028,0,0,10459,10725
PL32,2029,0,0,10593,10873
PL32,2030,0,0,10727,11021
PL32,2031,0,0,10787,11088
PL32,2032,0,0,10848,11156
PL32,2033,0,0,10908,11223
PL32,2034,0,0,10969,11290
PL32,2035,0,0,11029,11358
PL32,2036,0,0,11112,11450
PL32,2037,0,0,11194,11543
PL32,2038,0,0,11276,11635
PL32,2039,0,0,11358,11727
PL32,2040,0,0,11440,11820
PL32,2041,0,0,11500,11888
PL32,2042,0,0,11561,11956
PL32,2043,0,0,11621,12024
PL32,2044,0,0,11681,12093
PL32,2045,0,0,11742,12161
PL32,2046,0,0,11784,12209
PL32,2047,0,0,11826,12257
PL32,2048,0,0,11868,12305
PL32,2049,0,0,11910,12353
PL32,2050,0,0,11952,12401
