Region,Year,UrbanMin,UrbanMax,IndustryMin,IndustryMax
RO11,2006,0,0,15560,15560
RO11,2007,0,0,15904,15914
RO11,2008,0,0,16247,16268
RO11,2009,0,0,16591,16622
RO11,2010,0,0,16934,16976
RO11,2011,0,0,17223,17290
RO11,2012,0,0,17511,17604
RO11,2013,0,0,17799,17917
RO11,2014,0,0,18087,18231
RO11,2015,0,0,18376,18545
RO11,2016,0,0,18658,18863
RO11,2017,0,0,18941,19181
RO11,2018,0,0,19224,19499
RO11,2019,0,0,19507,19817
RO11,2020,0,0,19790,20135
RO11,2021,0,0,19968,20339
RO11,2022,0,0,20146,20543
RO11,2023,0,0,20324,20747
RO11,2024,0,0,20502,20951
RO11,2025,0,0,20680,21155
RO11,2026,0,0,20812,21308
RO11,2027,0,0,20943,21461
RO11,2028,0,0,21075,21614
RO11,2029,0,0,21207,21767
RO11,2030,0,0,21338,21920
RO11,2031,0,0,21411,22005
RO11,2032,0,0,21484,22091
RO11,2033,0,0,21557,22176
RO11,2034,0,0,21630,22262
RO11,2035,0,0,21703,22348
RO11,2036,0,0,21785,22445
RO11,2037,0,0,21868,22543
RO11,2038,0,0,21950,22640
RO11,2039,0,0,22032,22738
RO11,2040,0,0,22115,22835
RO11,2041,0,0,22185,22920
RO11,2042,0,0,22256,23004
RO11,2043,0,0,22327,23088
RO11,2044,0,0,22397,23173
RO11,2045,0,0,22468,23257
RO11,2046,0,0,22526,23327
RO11,2047,0,0,22585,23397
RO11,2048,0,0,22643,23468
RO11,2049,0,0,22702,23538
RO11,2050,0,0,22760,23608
RO12,2006,0,0,12829,12829
RO12,2007,0,0,13053,13059
RO12,2008,0,0,13277,13290
RO12,2009,0,0,13501,13520
RO12,2010,0,0,13724,13750
RO12,2011,0,0,13938,13981
RO12,2012,0,0,14151,14211
RO12,2013,0,0,14364,14442
RO12,2014,0,0,14577,14673
RO12,2015,0,0,14790,14904
RO12,2016,0,0,15009,15146
RO12,2017,0,0,15227,15389
RO12,2018,0,0,15445,15632
RO12,2019,0,0,15663,15875
RO12,2020,0,0,15882,16118
RO12,2021,0,0,16022,16277
RO12,2022,0,0,16162,16436
RO12,2023,0,0,16302,16594
RO12,2024,0,0,16442,16753
RO12,2025,0,0,16582,16912
RO12,2026,0,0,16688,17033
RO12,2027,0,0,16794,17154
RO12,2028,0,0,16899,17275
RO12,2029,0,0,17005,17397
RO12,2030,0,0,17111,17518
RO12,2031,0,0,17170,17587
RO12,2032,0,0,17230,17656
RO12,2033,0,0,17290,17725
RO12,2034,0,0,17350,17795
RO12,2035,0,0,17409,17864
RO12,2036,0,0,17477,17943
RO12,2037,0,0,17545,18023
RO12,2038,0,0,17613,18102
RO12,2039,0,0,17681,18182
RO12,2040,0,0,17749,18261
RO12,2041,0,0,17809,18331
RO12,2042,0,0,17868,18401
RO12,2043,0,0,17927,18471
RO12,2044,0,0,17986,18540
RO12,2045,0,0,18046,18610
RO12,2046,0,0,18095,18669
RO12,2047,0,0,18145,18728
RO12,2048,0,0,18194,18786
RO12,2049,0,0,18244,18845
RO12,2050,0,0,18293,18904
RO21,2006,0,0,23245,23245
RO21,2007,0,0,23680,23691
RO21,2008,0,0,24114,24137
RO21,2009,0,0,24549,24583
RO21,2010,0,0,24983,25029
RO21,2011,0,0,25305,25386
RO21,2012,0,0,25627,25742
RO21,2013,0,0,25949,26098
RO21,2014,0,0,26271,26455
RO21,2015,0,0,26593,26811
RO21,2016,0,0,26933,27199
RO21,2017,0,0,27273,27586
RO21,2018,0,0,27612,27973
RO21,2019,0,0,27952,28361
RO21,2020,0,0,28292,28748
RO21,2021,0,0,28497,28986
RO21,2022,0,0,28703,29224
RO21,2023,0,0,28908,29461
RO21,2024,0,0,29113,29699
RO21,2025,0,0,29318,29937
RO21,2026,0,0,29471,30116
RO21,2027,0,0,29623,30295
RO21,2028,0,0,29776,30474
RO21,2029,0,0,29928,30652
RO21,2030,0,0,30081,30831
RO21,2031,0,0,30154,30918
RO21,2032,0,0,30227,31004
RO21,2033,0,0,30300,31090
RO21,2034,0,0,30373,31176
RO21,2035,0,0,30445,31262
RO21,2036,0,0,30542,31378
RO21,2037,0,0,30639,31493
RO21,2038,0,0,30735,31608
RO21,2039,0,0,30832,31723
RO21,2040,0,0,30928,31838
RO21,2041,0,0,31011,31938
RO21,2042,0,0,31094,32037
RO21,2043,0,0,31177,32136
RO21,2044,0,0,31259,32236
RO21,2045,0,0,31342,32335
RO21,2046,0,0,31411,32419
RO21,2047,0,0,31480,32502
RO21,2048,0,0,31549,32586
RO21,2049,0,0,31618,32669
RO21,2050,0,0,31688,32753
RO22,2006,0,0,27415,27415
RO22,2007,0,0,27721,27723
RO22,2008,0,0,28027,28031
