Region,Year,UrbanMin,UrbanMax,IndustryMin,IndustryMax
UKC1,2006,0,0,5819,5819
UKC1,2007,0,0,5734,5734
UKC1,2008,0,0,5649,5649
UKC1,2009,0,0,5564,5564
UKC1,2010,0,0,5480,5480
UKC1,2011,0,0,5459,5459
UKC1,2012,0,0,5439,5439
UKC1,2013,0,0,5419,5419
UKC1,2014,0,0,5398,5398
UKC1,2015,0,0,5378,5378
UKC1,2016,0,0,5366,5366
UKC1,2017,0,0,5354,5355
UKC1,2018,0,0,5343,5343
UKC1,2019,0,0,5331,5331
UKC1,2020,0,0,5319,5320
UKC1,2021,0,0,5298,5299
UKC1,2022,0,0,5277,5278
UKC1,2023,0,0,5255,5257
UKC1,2024,0,0,5234,5236
UKC1,2025,0,0,5213,5215
UKC1,2026,0,0,5211,5213
UKC1,2027,0,0,5209,5211
UKC1,2028,0,0,5207,5209
UKC1,2029,0,0,5205,5207
UKC1,2030,0,0,5203,5205
UKC1,2031,0,0,5221,5222
UKC1,2032,0,0,5239,5240
UKC1,2033,0,0,5257,5257
UKC1,2034,0,0,5274,5275
UKC1,2035,0,0,5292,5293
UKC1,2036,0,0,5312,5315
UKC1,2037,0,0,5332,5336
UKC1,2038,0,0,5353,5358
UKC1,2039,0,0,5373,5380
UKC1,2040,0,0,5394,5401
UKC1,2041,0,0,5412,5422
UKC1,2042,0,0,5431,5442
UKC1,2043,0,0,5450,5462
UKC1,2044,0,0,5469,5483
UKC1,2045,0,0,5488,5503
UKC1,2046,0,0,5499,5515
UKC1,2047,0,0,5509,5527
UKC1,2048,0,0,5520,5538
UKC1,2049,0,0,5531,5550
UKC1,2050,0,0,5542,5562
UKC2,2006,0,0,4581,4581
UKC2,2007,0,0,4459,4459
UKC2,2008,0,0,4338,4338
UKC2,2009,0,0,4216,4216
UKC2,2010,0,0,4095,4095
UKC2,2011,0,0,4115,4115
UKC2,2012,0,0,4135,4135
UKC2,2013,0,0,4155,4155
UKC2,2014,0,0,4175,4175
UKC2,2015,0,0,4195,4195
UKC2,2016,0,0,4220,4220
UKC2,2017,0,0,4244,4245
UKC2,2018,0,0,4269,4270
UKC2,2019,0,0,4293,4294
UKC2,2020,0,0,4318,4319
UKC2,2021,0,0,4332,4334
UKC2,2022,0,0,4347,4349
UKC2,2023,0,0,4362,4365
UKC2,2024,0,0,4377,4380
UKC2,2025,0,0,4392,4395
UKC2,2026,0,0,4421,4425
UKC2,2027,0,0,4450,4454
UKC2,2028,0,0,4479,4484
UKC2,2029,0,0,4508,4514
UKC2,2030,0,0,4537,4543
UKC2,2031,0,0,4580,4589
UKC2,2032,0,0,4624,4635
UKC2,2033,0,0,4668,4681
UKC2,2034,0,0,4712,4726
UKC2,2035,0,0,4756,4772
UKC2,2036,0,0,4802,4821
UKC2,2037,0,0,4849,4870
UKC2,2038,0,0,4895,4919
UKC2,2039,0,0,4942,4969
UKC2,2040,0,0,4988,5018
UKC2,2041,0,0,5032,5065
UKC2,2042,0,0,5077,5113
UKC2,2043,0,0,5121,5160
UKC2,2044,0,0,5165,5208
UKC2,2045,0,0,5210,5255
UKC2,2046,0,0,5245,5293
UKC2,2047,0,0,5280,5331
UKC2,2048,0,0,5315,5369
UKC2,2049,0,0,5350,5407
UKC2,2050,0,0,5385,5445
UKD1,2006,0,0,3409,3409
UKD1,2007,0,0,3385,3385
UKD1,2008,0,0,3361,3361
UKD1,2009,0,0,3337,3337
UKD1,2010,0,0,3313,3313
UKD1,2011,0,0,3329,3330
UKD1,2012,0,0,3345,3346
UKD1,2013,0,0,3361,3362
UKD1,2014,0,0,3376,3378
UKD1,2015,0,0,3392,3394
UKD1,2016,0,0,3411,3413
UKD1,2017,0,0,3429,3432
UKD1,2018,0,0,3448,3452
UKD1,2019,0,0,3466,3471
UKD1,2020,0,0,3485,3491
UKD1,2021,0,0,3497,3503
UKD1,2022,0,0,3508,3516
UKD1,2023,0,0,3520,3528
UKD1,2024,0,0,3532,3541
UKD1,2025,0,0,3544,3553
UKD1,2026,0,0,3563,3574
UKD1,2027,0,0,3583,3595
UKD1,2028,0,0,3602,3617
UKD1,2029,0,0,3621,3638
UKD1,2030,0,0,3641,3659
UKD1,2031,0,0,3666,3687
UKD1,2032,0,0,3691,3715
UKD1,2033,0,0,3717,3743
UKD1,2034,0,0,3742,3771
UKD1,2035,0,0,3767,3799
UKD1,2036,0,0,3791,3825
UKD1,2037,0,0,3814,3852
UKD1,2038,0,0,3837,3878
UKD1,2039,0,0,3860,3905
UKD1,2040,0,0,3884,3931
UKD1,2041,0,0,3904,3954
UKD1,2042,0,0,3924,3978
UKD1,2043,0,0,3944,4001
UKD1,2044,0,0,3965,4025
UKD1,2045,0,0,3985,4048
UKD1,2046,0,0,4000,4065
UKD1,2047,0,0,4015,4083
UKD1,2048,0,0,4029,4100
UKD1,2049,0,0,4044,4117
UKD1,2050,0,0,4059,4135
UKD2,2006,0,0,6624,6624
UKD2,2007,0,0,6427,6427
UKD2,2008,0,0,6230,6230
UKD2,2009,0,0,6033,6033
UKD2,2010,0,0,5836,5836
UKD2,2011,0,0,5858,5858
UKD2,2012,0,0,5880,5881
UKD2,2013,0,0,5903,5903
UKD2,2014,0,0,5925,5926
UKD2,2015,0,0,5947,5948
UKD2,2016,0,0,5974,5976
UKD2,2017,0,0,6001,6004
UKD2,2018,0,0,6028,6031
UKD2,2019,0,0,6055,6059
UKD2,2020,0,0,6082,6087
UKD2,2021,0,0,6097,6103
UKD2,2022,0,0,6113,6119
UKD2,2023,0,0,6128,6135
UKD2,2024,0,0,6144,6151
UKD2,2025,0,0,6159,6168
UKD2,2026,0,0,6190,6200
UKD2,2027,0,0,6221,6233
UKD2,2028,0,0,6252,6266
UKD2,2029,0,0,6282,6299
UKD2,2030,0,0,6313,6332
UKD2,2031,0,0,6357,6380
UKD2,2032,0,0,6401,6428
UKD2,2033,0,0,6445,6476
UKD2,2034,0,0,6489,6524
UKD2,2035,0,0,6533,6572
UKD2,2036,0,0,6575,6618
UKD2,2037,0,0,6617,6664
UKD2,2038,0,0,6658,6711
UKD2,2039,0,0,6700,6757
UKD2,2040,0,0,6741,6803
UKD2,2041,0,0,6779,6845
UKD2,2042,0,0,6816,6887
UKD2,2043,0,0,6853,6929
UKD2,2044,0,0,6890,6971
UKD2,2045,0,0,6927,7013
UKD2,2046,0,0,6954,7044
UKD2,2047,0,0,6981,7075
UKD2,2048,0,0,7008,7106
UKD2,2049,0,0,7036,7138
UKD2,2050,0,0,7063,7169
