"Region","Year","Plantation","PlantationMin","PlantationMax"
"ES",2012,108087,75661,140514
"ES",2013,109872,76910,142834
"ES",2014,111657,78160,145154
"ES",2015,113441,79409,147474
"ES",2016,116087,81261,150913
"ES",2017,118733,83113,154353
"ES",2018,121379,84965,157793
"ES",2019,124025,86817,161232
"ES",2020,126670,88669,164672
"ES",2021,129899,90929,168868
"ES",2022,133127,93189,173065
"ES",2023,136355,95448,177262
"ES",2024,139583,97708,181458
"ES",2025,142811,99968,185655
"ES",2026,145826,102078,189574
"ES",2027,148841,104189,193494
"ES",2028,151856,106299,197413
"ES",2029,154871,108410,201333
"ES",2030,157886,110520,205252
"ES",2031,160418,112292,208543
"ES",2032,162949,114064,211834
"ES",2033,165480,115836,215124
"ES",2034,168011,117608,218415
"ES",2035,170543,119380,221706
"ES",2036,172699,120889,224509
"ES",2037,174855,122399,227312
"ES",2038,177012,123908,230116
"ES",2039,179168,125418,232919
"ES",2040,181325,126927,235722
"ES",2041,183107,128174,238039
"ES",2042,184888,129422,240355
"ES",2043,186670,130669,242671
"ES",2044,188452,131916,244987
"ES",2045,190233,133163,247304
"ES",2046,191795,134257,249334
"ES",2047,193357,135350,251364
"ES",2048,194919,136443,253395
"ES",2049,196481,137536,255425
"ES",2050,198043,138630,257455
