"Region","Year","Plantation","PlantationMin","PlantationMax"
"FI",2012,14511,10158,18864
"FI",2013,15106,10574,19639
"FI",2014,15702,10991,20413
"FI",2015,16297,11408,21187
"FI",2016,17036,11925,22147
"FI",2017,17775,12442,23108
"FI",2018,18514,12959,24068
"FI",2019,19252,13477,25028
"FI",2020,19991,13994,25989
"FI",2021,20874,14611,27136
"FI",2022,21756,15229,28283
"FI",2023,22639,15847,29431
"FI",2024,23521,16465,30578
"FI",2025,24404,17083,31725
"FI",2026,25307,17715,32899
"FI",2027,26210,18347,34073
"FI",2028,27112,18978,35246
"FI",2029,28015,19610,36420
"FI",2030,28918,20242,37593
"FI",2031,29821,20875,38768
"FI",2032,30725,21507,39942
"FI",2033,31628,22139,41117
"FI",2034,32531,22772,42291
"FI",2035,33435,23404,43465
"FI",2036,34338,24037,44640
"FI",2037,35242,24669,45815
"FI",2038,36146,25302,46989
"FI",2039,37049,25934,48164
"FI",2040,37953,26567,49339
"FI",2041,38857,27200,50514
"FI",2042,39761,27832,51689
"FI",2043,40665,28465,52864
"FI",2044,41569,29098,54039
"FI",2045,42473,29731,55215
"FI",2046,43377,30364,56390
"FI",2047,44281,30997,57566
"FI",2048,45186,31630,58741
"FI",2049,46090,32263,59917
"FI",2050,46994,32896,61093
