"Region","Year","Plantation","PlantationMin","PlantationMax"
"GR",2012,1731,1212,2251
"GR",2013,1731,1212,2251
"GR",2014,1731,1212,2251
"GR",2015,1731,1212,2251
"GR",2016,1752,1226,2277
"GR",2017,1772,1240,2304
"GR",2018,1793,1255,2330
"GR",2019,1813,1269,2357
"GR",2020,1833,1283,2384
"GR",2021,1864,1305,2423
"GR",2022,1895,1326,2463
"GR",2023,1925,1347,2503
"GR",2024,1956,1369,2542
"GR",2025,1986,1390,2582
"GR",2026,2024,1417,2632
"GR",2027,2063,1444,2681
"GR",2028,2101,1470,2731
"GR",2029,2139,1497,2781
"GR",2030,2177,1524,2830
"GR",2031,2213,1549,2877
"GR",2032,2249,1574,2923
"GR",2033,2284,1599,2970
"GR",2034,2320,1624,3016
"GR",2035,2356,1649,3063
"GR",2036,2382,1667,3096
"GR",2037,2407,1685,3130
"GR",2038,2433,1703,3163
"GR",2039,2459,1721,3197
"GR",2040,2485,1739,3230
"GR",2041,2510,1757,3264
"GR",2042,2536,1775,3297
"GR",2043,2562,1793,3331
"GR",2044,2588,1812,3365
"GR",2045,2614,1830,3398
"GR",2046,2640,1848,3432
"GR",2047,2666,1866,3466
"GR",2048,2692,1884,3500
"GR",2049,2718,1903,3534
"GR",2050,2744,1921,3568
