"Region","Year","Plantation","PlantationMin","PlantationMax"
"IE",2012,45919,32143,59695
"IE",2013,48067,33646,62487
"IE",2014,50214,35150,65279
"IE",2015,52362,36653,68071
"IE",2016,54699,38289,71108
"IE",2017,57035,39924,74146
"IE",2018,59371,41560,77183
"IE",2019,61708,43195,80220
"IE",2020,64044,44831,83258
"IE",2021,66423,46496,86350
"IE",2022,68802,48161,89443
"IE",2023,71181,49826,92535
"IE",2024,73560,51492,95628
"IE",2025,75938,53157,98720
"IE",2026,78324,54826,101821
"IE",2027,80709,56496,104922
"IE",2028,83094,58166,108023
"IE",2029,85480,59836,111124
"IE",2030,87865,61505,114224
"IE",2031,89764,62834,116693
"IE",2032,91662,64163,119161
"IE",2033,93561,65493,121630
"IE",2034,95460,66822,124098
"IE",2035,97359,68151,126566
"IE",2036,98970,69279,128662
"IE",2037,100582,70407,130757
"IE",2038,102194,71535,132852
"IE",2039,103805,72664,134947
"IE",2040,105417,73792,137042
"IE",2041,106793,74755,138831
"IE",2042,108168,75718,140619
"IE",2043,109544,76681,142408
"IE",2044,110920,77644,144196
"IE",2045,112296,78607,145985
"IE",2046,113541,79478,147603
"IE",2047,114785,80350,149221
"IE",2048,116030,81221,150839
"IE",2049,117275,82092,152457
"IE",2050,118519,82963,154075
