"Region","Year","Plantation","PlantationMin","PlantationMax"
"PT",2012,48296,33807,62784
"PT",2013,48866,34206,63525
"PT",2014,49436,34605,64267
"PT",2015,50006,35004,65008
"PT",2016,50308,35215,65400
"PT",2017,50610,35427,65793
"PT",2018,50911,35638,66185
"PT",2019,51213,35849,66577
"PT",2020,51515,36060,66970
"PT",2021,52270,36589,67952
"PT",2022,53026,37118,68934
"PT",2023,53781,37647,69916
"PT",2024,54537,38176,70898
"PT",2025,55292,38705,71880
"PT",2026,55553,38887,72219
"PT",2027,55813,39069,72558
"PT",2028,56074,39252,72896
"PT",2029,56335,39434,73235
"PT",2030,56595,39616,73574
"PT",2031,56844,39791,73898
"PT",2032,57094,39965,74222
"PT",2033,57343,40140,74546
"PT",2034,57592,40314,74870
"PT",2035,57841,40489,75194
"PT",2036,58074,40651,75496
"PT",2037,58306,40814,75798
"PT",2038,58538,40977,76100
"PT",2039,58771,41139,76402
"PT",2040,59003,41302,76704
"PT",2041,59187,41431,76943
"PT",2042,59371,41560,77182
"PT",2043,59555,41688,77422
"PT",2044,59739,41817,77661
"PT",2045,59923,41946,77900
"PT",2046,60102,42071,78132
"PT",2047,60280,42196,78364
"PT",2048,60459,42321,78597
"PT",2049,60637,42446,78829
"PT",2050,60816,42571,79061
