Region,Year,ArableMin,ArableMax,PermCropMin,PermCropMax,PastureMin,PastureMax,NewEnergyMin,NewEnergyMax
AT00,2010,1133187,1699780,58887,88330,1247119,1870678,0,0
AT00,2011,1150772,1726159,59197,88796,1241091,1861637,0,0
AT00,2012,1168358,1752537,59508,89262,1235063,1852595,0,0
AT00,2013,1185944,1778916,59819,89729,1229035,1843553,0,0
AT00,2014,1203529,1805294,60130,90195,1223007,1834511,0,0
AT00,2015,1221115,1831672,60440,90661,1216980,1825470,0,0
AT00,2016,1218502,1827753,60710,91066,1214657,1821985,213,320
AT00,2017,1215889,1823834,60980,91470,1212334,1818501,426,640
AT00,2018,1213277,1819915,61250,91875,1210011,1815017,640,960
AT00,2019,1210664,1815996,61520,92280,1207689,1811533,853,1280
AT00,2020,1208052,1812078,61790,92685,1205366,1808049,1067,1600
AT00,2021,1206433,1809650,62096,93144,1202102,1803153,1189,1784
AT00,2022,1204814,1807222,62402,93603,1198838,1798257,1312,1968
AT00,2023,1203196,1804794,62708,94062,1195573,1793360,1434,2152
AT00,2024,1201577,1802366,63014,94522,1192309,1788464,1557,2336
AT00,2025,1199959,1799938,63320,94981,1189045,1783568,1680,2520
AT00,2026,1201899,1802849,63504,95256,1182366,1773550,1753,2630
AT00,2027,1203840,1805760,63688,95532,1175687,1763531,1826,2740
AT00,2028,1205780,1808670,63871,95807,1169008,1753513,1900,2850
AT00,2029,1207721,1811581,64055,96083,1162330,1743495,1973,2960
AT00,2030,1209661,1814492,64239,96358,1155651,1733476,2047,3070
AT00,2031,1205284,1807926,65398,98098,1155369,1733053,3337,5006
AT00,2032,1200906,1801360,66558,99837,1155087,1732630,4628,6942
AT00,2033,1196529,1794793,67718,101577,1154804,1732207,5918,8877
AT00,2034,1192151,1788227,68877,103316,1154522,1731784,7208,10813
AT00,2035,1187774,1781661,70037,105056,1154240,1731361,8499,12748
AT00,2036,1183138,1774708,71667,107501,1154250,1731375,9982,14973
AT00,2037,1178503,1767755,73297,109946,1154259,1731389,11465,17198
AT00,2038,1173867,1760801,74927,112391,1154269,1731403,12949,19423
AT00,2039,1169232,1753848,76557,114836,1154278,1731417,14432,21648
AT00,2040,1164596,1746895,78188,117282,1154288,1731432,15916,23874
AT00,2041,1160000,1740001,78493,117739,1154293,1731440,15876,23814
AT00,2042,1155404,1733107,78798,118197,1154298,1731448,15836,23754
AT00,2043,1150808,1726213,79103,118655,1154304,1731456,15796,23695
AT00,2044,1146212,1719319,79409,119113,1154309,1731464,15757,23635
AT00,2045,1141616,1712425,79714,119571,1154315,1731472,15717,23576
AT00,2046,1137043,1705565,80667,121001,1154335,1731503,16309,24464
AT00,2047,1132469,1698704,81620,122430,1154355,1731533,16902,25353
AT00,2048,1127896,1691844,82573,123859,1154376,1731564,17494,26241
AT00,2049,1123323,1684984,83526,125289,1154396,1731594,18086,27130
AT00,2050,1118749,1678124,84479,126718,1154416,1731625,18679,28018
AT00,2051,1114223,1671334,84772,127158,1154411,1731617,18934,28401
AT00,2052,1109696,1664544,85065,127597,1154406,1731610,19189,28784
AT00,2053,1105169,1657754,85358,128037,1154401,1731602,19444,29167
AT00,2054,1100643,1650965,85651,128476,1154396,1731595,19700,29550
AT00,2055,1096116,1644175,85944,128916,1154392,1731588,19955,29932
AT00,2056,1094135,1641203,86122,129183,1154389,1731584,20027,30041
AT00,2057,1092154,1638231,86300,129450,1154387,1731580,20100,30150
AT00,2058,1090172,1635259,86478,129718,1154384,1731577,20173,30259
AT00,2059,1088191,1632287,86656,129985,1154382,1731573,20245,30368
AT00,2060,1086210,1629315,86835,130252,1154380,1731570,20318,30477
AT00,2061,1088065,1632098,86884,130326,1154368,1731553,20327,30490
AT00,2062,1089921,1634881,86933,130400,1154357,1731536,20335,30503
AT00,2063,1091776,1637664,86982,130473,1154346,1731519,20344,30516
AT00,2064,1093631,1640447,87031,130547,1154335,1731502,20352,30529
AT00,2065,1095487,1643230,87080,130621,1154324,1731486,20361,30542
AT00,2066,1096280,1644420,86031,129047,1154321,1731482,19234,28851
AT00,2067,1097073,1645610,84981,127472,1154319,1731479,18107,27161
AT00,2068,1097867,1646800,83932,125898,1154317,1731475,16980,25470
AT00,2069,1098660,1647990,82883,124324,1154315,1731472,15853,23780
AT00,2070,1099453,1649180,81833,122750,1154312,1731469,14726,22089
AT11,2010,135583,203374,10624,15937,20814,31221,0,0
AT11,2011,137203,205804,10500,15750,20147,30221,0,0
AT11,2012,138822,208234,10375,15563,19481,29221,0,0
AT11,2013,140442,210664,10250,15376,18814,28222,0,0
AT11,2014,142062,213093,10126,15189,18148,27222,0,0
AT11,2015,143682,215523,10001,15002,17481,26222,0,0
AT11,2016,143665,215497,9905,14858,17196,25795,13,20
AT11,2017,143648,215472,9809,14714,16912,25368,27,41
AT11,2018,143631,215446,9714,14571,16627,24941,41,61
AT11,2019,143613,215420,9618,14427,16343,24514,55,82
AT11,2020,143596,215395,9522,14283,16058,24087,68,103
AT11,2021,143584,215376,9455,14182,15784,23677,76,114
AT11,2022,143571,215357,9387,14081,15511,23267,83,125
AT11,2023,143558,215338,9320,13980,15238,22857,91,137
AT11,2024,143546,215319,9252,13879,14964,22446,98,148
AT11,2025,143533,215300,9185,13778,14691,22036,106,159
AT11,2026,143786,215679,9109,13664,14400,21601,110,165
AT11,2027,144039,216059,9033,13549,14110,21165,114,172
AT11,2028,144292,216438,8957,13435,13820,20730,118,178
AT11,2029,144545,216818,8880,13321,13529,20294,123,184
AT11,2030,144798,217197,8804,13207,13239,19858,127,190
AT11,2031,144630,216946,8775,13163,13043,19564,206,309
AT11,2032,144463,216694,8746,13119,12846,19270,285,427
AT11,2033,144295,216443,8717,13076,12650,18976,364,546
AT11,2034,144127,216191,8688,13032,12454,18681,443,665
AT11,2035,143960,215940,8659,12988,12258,18387,522,783
AT11,2036,143814,215721,8684,13026,12079,18119,607,911
AT11,2037,143668,215502,8709,13064,11900,17851,693,1039
AT11,2038,143522,215284,8734,13101,11722,17583,778,1168
AT11,2039,143376,215065,8759,13139,11543,17315,864,1296
AT11,2040,143231,214846,8784,13177,11364,17047,949,1424
AT11,2041,142888,214332,8754,13132,11573,17360,942,1414
AT11,2042,142545,213818,8724,13086,11782,17673,936,1404
AT11,2043,142202,213303,8694,13041,11991,17986,929,1394
AT11,2044,141859,212789,8664,12996,12200,18300,922,1384
AT11,2045,141516,212275,8634,12951,12408,18613,916,1374
AT11,2046,141129,211694,8645,12968,12686,19030,943,1415
AT11,2047,140742,211113,8657,12986,12964,19446,971,1457
AT11,2048,140354,210532,8668,13003,13242,19863,999,1499
AT11,2049,139967,209951,8680,13020,13520,20280,1027,1541
AT11,2050,139580,209370,8692,13038,13798,20697,1055,1582
AT11,2051,139060,208590,8651,12977,14142,21213,1067,1600
AT11,2052,138540,207810,8611,12916,14486,21729,1078,1618
AT11,2053,138020,207030,8570,12855,14829,22244,1090,1636
AT11,2054,137500,206250,8530,12795,15173,22760,1102,1653
AT11,2055,136980,205471,8489,12734,15517,23276,1114,1671
AT11,2056,136684,205026,8458,12688,15780,23671,1120,1680
