Region,Year,ArableMin,ArableMax,PermCropMin,PermCropMax,PastureMin,PastureMax,NewEnergyMin,NewEnergyMax
BEL,2010,0,0,0,0,0,0,0,0
BEL,2011,0,0,0,0,0,0,0,0
BEL,2012,0,0,0,0,0,0,0,0
BEL,2013,0,0,0,0,0,0,0,0
BEL,2014,0,0,0,0,0,0,0,0
BEL,2015,0,0,0,0,0,0,0,0
BEL,2016,0,0,0,0,0,0,0,0
BEL,2017,0,0,0,0,0,0,0,0
BEL,2018,0,0,0,0,0,0,0,0
BEL,2019,0,0,0,0,0,0,0,0
BEL,2020,0,0,0,0,0,0,0,0
BEL,2021,0,0,0,0,0,0,0,0
BEL,2022,0,0,0,0,0,0,0,0
BEL,2023,0,0,0,0,0,0,0,0
BEL,2024,0,0,0,0,0,0,0,0
BEL,2025,0,0,0,0,0,0,0,0
BEL,2026,0,0,0,0,0,0,0,0
BEL,2027,0,0,0,0,0,0,0,0
BEL,2028,0,0,0,0,0,0,0,0
BEL,2029,0,0,0,0,0,0,0,0
BEL,2030,0,0,0,0,0,0,0,0
BEL,2031,0,0,0,0,0,0,0,0
BEL,2032,0,0,0,0,0,0,0,0
BEL,2033,0,0,0,0,0,0,0,0
BEL,2034,0,0,0,0,0,0,0,0
BEL,2035,0,0,0,0,0,0,0,0
BEL,2036,0,0,0,0,0,0,0,0
BEL,2037,0,0,0,0,0,0,0,0
BEL,2038,0,0,0,0,0,0,0,0
BEL,2039,0,0,0,0,0,0,0,0
BEL,2040,0,0,0,0,0,0,0,0
BEL,2041,0,0,0,0,0,0,0,0
BEL,2042,0,0,0,0,0,0,0,0
BEL,2043,0,0,0,0,0,0,0,0
BEL,2044,0,0,0,0,0,0,0,0
BEL,2045,0,0,0,0,0,0,0,0
BEL,2046,0,0,0,0,0,0,0,0
BEL,2047,0,0,0,0,0,0,0,0
BEL,2048,0,0,0,0,0,0,0,0
BEL,2049,0,0,0,0,0,0,0,0
BEL,2050,0,0,0,0,0,0,0,0
BEL,2051,0,0,0,0,0,0,0,0
BEL,2052,0,0,0,0,0,0,0,0
BEL,2053,0,0,0,0,0,0,0,0
BEL,2054,0,0,0,0,0,0,0,0
BEL,2055,0,0,0,0,0,0,0,0
BEL,2056,0,0,0,0,0,0,0,0
BEL,2057,0,0,0,0,0,0,0,0
BEL,2058,0,0,0,0,0,0,0,0
BEL,2059,0,0,0,0,0,0,0,0
BEL,2060,0,0,0,0,0,0,0,0
BEL,2061,0,0,0,0,0,0,0,0
BEL,2062,0,0,0,0,0,0,0,0
BEL,2063,0,0,0,0,0,0,0,0
BEL,2064,0,0,0,0,0,0,0,0
BEL,2065,0,0,0,0,0,0,0,0
BEL,2066,0,0,0,0,0,0,0,0
BEL,2067,0,0,0,0,0,0,0,0
BEL,2068,0,0,0,0,0,0,0,0
BEL,2069,0,0,0,0,0,0,0,0
BEL,2070,0,0,0,0,0,0,0,0
