Region,Year,ArableMin,ArableMax,PermCropMin,PermCropMax,PastureMin,PastureMax,NewEnergyMin,NewEnergyMax
BG00,2010,2849063,4273594,133092,199638,1325259,1987888,0,0
BG00,2011,2862231,4293347,131222,196833,1311615,1967422,0,0
BG00,2012,2875399,4313099,129352,194029,1297970,1946956,0,0
BG00,2013,2888568,4332852,127483,191224,1284326,1926490,0,0
BG00,2014,2901736,4352604,125613,188420,1270682,1906023,0,0
BG00,2015,2914904,4372357,123744,185616,1257038,1885557,0,0
BG00,2016,2903274,4354912,121770,182655,1260084,1890126,0,0
BG00,2017,2891644,4337467,119797,179695,1263130,1894695,0,0
BG00,2018,2880015,4320022,117823,176735,1266176,1899264,0,0
BG00,2019,2868385,4302577,115850,173775,1269222,1903833,0,0
BG00,2020,2856755,4285132,113876,170815,1272268,1908402,0,0
BG00,2021,2857644,4286467,111780,167670,1262871,1894307,0,0
BG00,2022,2858534,4287802,109683,164524,1253475,1880213,0,0
BG00,2023,2859424,4289136,107586,161379,1244079,1866118,0,0
BG00,2024,2860314,4290471,105489,158234,1234682,1852024,0,0
BG00,2025,2861204,4291806,103392,155089,1225286,1837929,0,0
BG00,2026,2850760,4276141,102216,153324,1226391,1839587,187,280
BG00,2027,2840317,4260476,101039,151559,1227496,1841244,374,561
BG00,2028,2829874,4244812,99862,149794,1228601,1842901,561,841
BG00,2029,2819431,4229147,98686,148029,1229706,1844559,748,1122
BG00,2030,2808988,4213483,97509,146264,1230811,1846216,935,1402
BG00,2031,2813561,4220341,96556,144834,1229788,1844683,969,1453
BG00,2032,2818133,4227200,95603,143404,1228766,1843149,1003,1504
BG00,2033,2822706,4234059,94649,141974,1227744,1841616,1036,1555
BG00,2034,2827278,4240918,93696,140544,1226721,1840082,1070,1606
BG00,2035,2831851,4247776,92743,139114,1225699,1838548,1104,1657
BG00,2036,2852328,4278492,91768,137653,1225577,1838366,29590,44386
BG00,2037,2872805,4309208,90794,136191,1225456,1838184,58076,87115
BG00,2038,2893283,4339924,89820,134730,1225334,1838001,86563,129844
BG00,2039,2913760,4370640,88845,133268,1225212,1837819,115049,172573
BG00,2040,2934237,4401356,87871,131806,1225091,1837636,143535,215302
BG00,2041,2947795,4421693,86936,130404,1225091,1837636,144018,216028
BG00,2042,2961354,4442031,86000,129001,1225091,1837636,144502,216753
BG00,2043,2974912,4462368,85065,127598,1225091,1837636,144986,217479
BG00,2044,2988470,4482705,84130,126195,1225091,1837636,145469,218204
BG00,2045,3002028,4503043,83195,124792,1225091,1837636,145953,218930
BG00,2046,3010754,4516131,82347,123520,1225091,1837636,146792,220189
BG00,2047,3019479,4529219,81498,122248,1225091,1837636,147632,221448
BG00,2048,3028205,4542307,80650,120976,1225091,1837636,148471,222707
BG00,2049,3036930,4555395,79802,119703,1225091,1837636,149311,223966
BG00,2050,3045656,4568484,78954,118431,1225091,1837636,150150,225225
BG00,2051,3048828,4573242,78328,117492,1228681,1843022,149566,224349
BG00,2052,3052000,4578001,77701,116552,1232272,1848408,148982,223473
BG00,2053,3055173,4582760,77075,115613,1235862,1853793,148398,222597
BG00,2054,3058345,4587518,76449,114674,1239452,1859179,147814,221721
BG00,2055,3061518,4592277,75823,113734,1243043,1864564,147230,220845
BG00,2056,3059141,4588711,75308,112962,1243795,1865693,146595,219892
BG00,2057,3056763,4585145,74794,112191,1244548,1866822,145960,218940
BG00,2058,3054386,4581579,74279,111419,1245301,1867951,145324,217987
BG00,2059,3052009,4578013,73764,110647,1246053,1869080,144689,217034
BG00,2060,3049632,4574448,73250,109875,1246806,1870209,144054,216081
BG00,2061,3048201,4572302,72730,109095,1246419,1869629,143468,215203
BG00,2062,3046770,4570156,72209,108314,1246032,1869048,142883,214325
BG00,2063,3045340,4568010,71689,107534,1245645,1868468,142298,213447
BG00,2064,3043909,4565864,71169,106753,1245258,1867888,141712,212568
BG00,2065,3042479,4563718,70648,105973,1244872,1867308,141127,211690
BG00,2066,3040767,4561151,70182,105273,1244947,1867421,140279,210418
BG00,2067,3039055,4558583,69716,104574,1245023,1867535,139431,209146
BG00,2068,3037343,4556015,69250,103875,1245099,1867648,138583,207874
BG00,2069,3035631,4553447,68783,103175,1245174,1867762,137735,206602
BG00,2070,3033920,4550880,68317,102476,1245250,1867875,136887,205330
BG01,2010,647952,971929,17813,26720,249925,374888,0,0
BG01,2011,650171,975256,17627,26441,247393,371090,0,0
BG01,2012,652389,978584,17441,26162,244862,367293,0,0
BG01,2013,654608,981912,17255,25883,242330,363495,0,0
BG01,2014,656826,985239,17069,25604,239798,359698,0,0
BG01,2015,659044,988567,16884,25326,237267,355900,0,0
BG01,2016,657576,986364,16348,24522,235952,353929,0,0
BG01,2017,656108,984162,15813,23719,234638,351958,0,0
BG01,2018,654639,981959,15277,22916,233324,349986,0,0
BG01,2019,653171,979757,14742,22113,232010,348015,0,0
BG01,2020,651703,977554,14207,21310,230696,346044,0,0
BG01,2021,651075,976613,13772,20658,228677,343016,0,0
BG01,2022,650447,975671,13337,20006,226659,339989,0,0
BG01,2023,649820,974730,12902,19353,224641,336962,0,0
BG01,2024,649192,973788,12467,18701,222623,333935,0,0
BG01,2025,648564,972847,12032,18049,220605,330908,0,0
BG01,2026,646589,969884,11863,17795,219695,329542,37,56
BG01,2027,644615,966922,11694,17542,218784,328177,75,113
BG01,2028,642640,963960,11525,17288,217874,326811,113,170
BG01,2029,640665,960997,11356,17035,216964,325446,151,227
BG01,2030,638690,958035,11188,16782,216053,324080,189,284
BG01,2031,639436,959154,11053,16580,214549,321823,196,294
BG01,2032,640181,960272,10918,16378,213044,319566,202,303
BG01,2033,640927,961390,10784,16176,211540,317310,208,313
BG01,2034,641672,962509,10649,15974,210035,315053,215,322
BG01,2035,642418,963627,10515,15772,208531,312796,221,332
BG01,2036,646875,970313,10371,15556,207045,310568,6286,9430
BG01,2037,651332,976998,10226,15340,205560,308340,12351,18527
BG01,2038,655789,983683,10082,15124,204075,306113,18416,27625
BG01,2039,660246,990369,9938,14907,202590,303885,24482,36723
BG01,2040,664703,997054,9794,14691,201104,301657,30547,45820
BG01,2041,666699,1000048,9640,14460,199847,299771,30446,45670
BG01,2042,668695,1003042,9485,14228,198590,297885,30346,45519
BG01,2043,670691,1006036,9331,13997,197332,295999,30246,45369
BG01,2044,672687,1009030,9177,13766,196075,294113,30145,45218
BG01,2045,674683,1012024,9023,13534,194818,292227,30045,45068
BG01,2046,675867,1013801,8894,13342,193764,290646,30113,45170
BG01,2047,677051,1015577,8766,13149,192710,289065,30181,45272
BG01,2048,678236,1017354,8638,12957,191656,287484,30250,45375
BG01,2049,679420,1019130,8509,12764,190602,285903,30318,45477
BG01,2050,680604,1020907,8381,12572,189548,284322,30386,45579
BG01,2051,687234,1030851,8278,12418,190489,285734,30227,45341
BG01,2052,693864,1040796,8175,12263,191431,287146,30068,45102
BG01,2053,700493,1050740,8072,12109,192372,288559,29909,44864
BG01,2054,707123,1060684,7970,11955,193314,289971,29750,44626
BG01,2055,713752,1070629,7867,11800,194256,291384,29592,44388
BG01,2056,712935,1069402,7774,11661,193513,290269,29421,44131
BG01,2057,712117,1068175,7681,11521,192770,289155,29250,43875
BG01,2058,711299,1066949,7588,11382,192027,288041,29079,43619
BG01,2059,710481,1065722,7495,11243,191284,286926,28909,43363
BG01,2060,709664,1064496,7402,11103,190541,285812,28738,43107
BG01,2061,708890,1063335,7313,10970,189455,284182,28584,42876
BG01,2062,708116,1062174,7224,10837,188368,282552,28430,42646
BG01,2063,707342,1061014,7136,10704,187281,280922,28277,42415
BG01,2064,706568,1059853,7047,10570,186195,279293,28123,42185
BG01,2065,705795,1058692,6958,10437,185108,277663,27969,41954
BG01,2066,704810,1057216,6881,10321,184205,276308,27739,41609
BG01,2067,703826,1055739,6803,10205,183302,274954,27510,41265
BG01,2068,702842,1054263,6726,10089,182399,273599,27280,40920
BG01,2069,701857,1052786,6649,9973,181496,272244,27050,40575
BG01,2070,700873,1051310,6572,9858,180593,270890,26820,40231
BG02,2010,560395,840592,18795,28192,132456,198685,0,0
BG02,2011,562114,843172,18703,28054,129675,194512,0,0
BG02,2012,563834,845751,18611,27916,126893,190340,0,0
BG02,2013,565554,848331,18519,27778,124112,186168,0,0
BG02,2014,567273,850910,18427,27640,121330,181995,0,0
BG02,2015,568993,853490,18335,27502,118548,177823,0,0
BG02,2016,565834,848751,18032,27048,119455,179182,0,0
BG02,2017,562674,844011,17730,26595,120361,180541,0,0
BG02,2018,559515,839272,17427,26141,121267,181901,0,0
BG02,2019,556355,834533,17124,25687,122173,183260,0,0
BG02,2020,553196,829794,16822,25233,123080,184620,0,0
BG02,2021,551796,827695,16403,24605,121957,182936,0,0
BG02,2022,550397,825596,15985,23977,120835,181252,0,0
BG02,2023,548998,823498,15566,23350,119712,179569,0,0
BG02,2024,547599,821399,15148,22722,118590,177885,0,0
BG02,2025,546200,819301,14729,22094,117468,176202,0,0
BG02,2026,543468,815202,14413,21620,117241,175862,31,46
BG02,2027,540736,811104,14097,21145,117014,175522,62,93
BG02,2028,538004,807006,13781,20671,116788,175182,93,139
BG02,2029,535272,802908,13464,20197,116561,174842,124,186
BG02,2030,532540,798810,13148,19723,116335,174502,155,232
BG02,2031,532396,798594,12815,19222,115447,173170,160,241
BG02,2032,532252,798379,12481,18722,114559,171838,166,249
BG02,2033,532109,798164,12148,18222,113671,170506,172,258
BG02,2034,531965,797948,11814,17721,112783,169174,177,266
BG02,2035,531822,797733,11480,17221,111895,167842,183,274
BG02,2036,533985,800978,11119,16678,111291,166937,3974,5961
BG02,2037,536149,804223,10757,16136,110687,166031,7764,11647
BG02,2038,538312,807468,10396,15594,110083,165125,11555,17333
BG02,2039,540475,810713,10034,15051,109479,164219,15346,23020
BG02,2040,542639,813958,9672,14509,108876,163314,19137,28706
BG02,2041,542591,813887,9471,14207,108417,162626,19202,28803
BG02,2042,542544,813816,9270,13906,107958,161938,19266,28899
BG02,2043,542496,813744,9069,13604,107500,161250,19331,28996
BG02,2044,542449,813673,8868,13303,107041,160562,19395,29093
BG02,2045,542401,813602,8668,13002,106583,159874,19460,29190
BG02,2046,542493,813739,8495,12743,106191,159287,19572,29358
BG02,2047,542584,813876,8323,12485,105800,158700,19684,29526
BG02,2048,542676,814014,8151,12226,105409,158113,19796,29694
BG02,2049,542767,814151,7978,11968,105017,157526,19908,29862
BG02,2050,542859,814288,7806,11709,104626,156939,20020,30030
BG02,2051,546139,819209,7671,11507,106071,159107,19942,29913
BG02,2052,549420,824130,7536,11304,107517,161275,19864,29796
BG02,2053,552701,829051,7401,11101,108962,163444,19786,29679
BG02,2054,555981,833972,7266,10899,110408,165612,19708,29562
BG02,2055,559262,838893,7131,10696,111853,167780,19630,29445
BG02,2056,556598,834897,7017,10526,111749,167624,19545,29318
BG02,2057,553934,830901,6904,10356,111645,167467,19461,29191
BG02,2058,551269,826904,6790,10185,111541,167311,19376,29064
BG02,2059,548605,822908,6676,10015,111436,167155,19291,28937
BG02,2060,545941,818912,6563,9844,111332,166999,19207,28810
BG02,2061,544015,816022,6455,9682,110579,165868,19129,28693
BG02,2062,542088,813132,6346,9520,109825,164737,19051,28576
BG02,2063,540161,810242,6238,9358,109071,163607,18972,28459
BG02,2064,538235,807353,6130,9195,108317,162476,18894,28342
BG02,2065,536308,804463,6022,9033,107564,161346,18816,28225
BG02,2066,534171,801257,5926,8889,106937,160406,18703,28055
BG02,2067,532034,798052,5830,8745,106311,159466,18590,27885
BG02,2068,529897,794846,5734,8601,105684,158527,18477,27716
BG02,2069,527760,791641,5638,8457,105058,157587,18364,27546
BG02,2070,525624,788436,5542,8313,104432,156648,18251,27376
BG03,2010,611916,917875,17629,26444,109828,164743,0,0
BG03,2011,612809,919214,17641,26462,107551,161327,0,0
BG03,2012,613703,920554,17653,26480,105274,157911,0,0
BG03,2013,614596,921894,17666,26499,102996,154495,0,0
BG03,2014,615489,923233,17678,26517,100719,151079,0,0
BG03,2015,616382,924573,17690,26535,98442,147663,0,0
BG03,2016,614121,921181,17281,25922,99462,149193,0,0
BG03,2017,611859,917789,16873,25309,100482,150723,0,0
BG03,2018,609598,914397,16464,24696,101501,152252,0,0
BG03,2019,607337,911005,16055,24083,102521,153782,0,0
BG03,2020,605076,907614,15647,23470,103541,155312,0,0
BG03,2021,604512,906768,15280,22920,102801,154202,0,0
BG03,2022,603948,905922,14913,22370,102061,153092,0,0
BG03,2023,603384,905077,14547,21820,101322,151983,0,0
BG03,2024,602821,904231,14180,21270,100582,150873,0,0
BG03,2025,602257,903386,13813,20720,99842,149763,0,0
BG03,2026,600424,900636,13792,20688,99997,149995,32,48
BG03,2027,598591,897887,13770,20656,100151,150227,64,96
BG03,2028,596758,895138,13749,20623,100306,150459,96,144
BG03,2029,594925,892388,13727,20591,100461,150691,128,192
BG03,2030,593092,889639,13706,20559,100616,150924,160,240
BG03,2031,593698,890548,13751,20626,100197,150295,165,248
BG03,2032,594304,891457,13795,20693,99778,149667,171,257
BG03,2033,594911,892366,13840,20760,99359,149039,177,266
BG03,2034,595517,893275,13884,20827,98940,148410,183,275
BG03,2035,596123,894184,13929,20894,98521,147782,189,284
BG03,2036,598667,898001,13947,20920,98315,147473,3979,5968
