Region,Year,ArableMin,ArableMax,PermCropMin,PermCropMax,PastureMin,PastureMax,NewEnergyMin,NewEnergyMax
CZ00,2010,2313132,3469698,46300,69450,753221,1129832,0,0
CZ00,2011,2308766,3463149,46578,69867,758107,1137161,0,0
CZ00,2012,2304400,3456601,46857,70285,762993,1144489,0,0
CZ00,2013,2300035,3450052,47135,70703,767878,1151818,0,0
CZ00,2014,2295669,3443504,47414,71121,772764,1159146,0,0
CZ00,2015,2291304,3436956,47692,71539,777650,1166475,0,0
CZ00,2016,2282163,3423245,46840,70261,784504,1176756,0,0
CZ00,2017,2273023,3409535,45988,68983,791358,1187037,0,0
CZ00,2018,2263883,3395824,45136,67705,798212,1197318,0,0
CZ00,2019,2254742,3382114,44284,66427,805066,1207599,0,0
CZ00,2020,2245602,3368403,43432,65149,811920,1217880,0,0
CZ00,2021,2231462,3347193,42736,64105,816374,1224562,0,0
CZ00,2022,2217322,3325983,42040,63061,820829,1231244,0,0
CZ00,2023,2203182,3304773,41344,62017,825284,1237926,0,0
CZ00,2024,2189042,3283563,40648,60973,829739,1244609,0,0
CZ00,2025,2174902,3262353,39952,59929,834194,1251291,0,0
CZ00,2026,2165995,3248993,39288,58932,835470,1253206,620,930
CZ00,2027,2157089,3235633,38623,57935,836747,1255120,1240,1860
CZ00,2028,2148182,3222274,37959,56939,838023,1257035,1860,2791
CZ00,2029,2139276,3208914,37294,55942,839299,1258949,2481,3721
CZ00,2030,2130369,3195554,36630,54945,840576,1260864,3101,4652
CZ00,2031,2114820,3172231,36353,54530,851617,1277426,11016,16524
CZ00,2032,2099272,3148908,36077,54116,862659,1293988,18930,28395
CZ00,2033,2083723,3125585,35800,53701,873700,1310551,26844,40267
CZ00,2034,2068175,3102262,35524,53286,884742,1327113,34759,52138
CZ00,2035,2052626,3078939,35248,52872,895784,1343676,42673,64010
CZ00,2036,2041469,3062204,34993,52490,905999,1358999,79020,118530
CZ00,2037,2030312,3045469,34738,52108,916215,1374323,115366,173049
CZ00,2038,2019156,3028734,34484,51726,926431,1389646,151712,227569
CZ00,2039,2007999,3011998,34229,51344,936646,1404970,188059,282088
CZ00,2040,1996842,2995263,33975,50962,946862,1420293,224405,336608
CZ00,2041,1989322,2983984,33648,50472,949800,1424700,231357,347036
CZ00,2042,1981803,2972705,33321,49982,952738,1429107,238309,357464
CZ00,2043,1974283,2961425,32995,49492,955676,1433514,245261,367892
CZ00,2044,1966764,2950146,32668,49002,958614,1437921,252213,378320
CZ00,2045,1959244,2938867,32341,48512,961552,1442328,259165,388748
CZ00,2046,1953931,2930897,32037,48055,960932,1441398,266985,400478
CZ00,2047,1948618,2922927,31732,47598,960312,1440468,274805,412208
CZ00,2048,1943304,2914957,31428,47142,959692,1439538,282625,423938
CZ00,2049,1937991,2906987,31123,46685,959072,1438608,290445,435668
CZ00,2050,1932678,2899017,30819,46228,958452,1437678,298265,447398
CZ00,2051,1939963,2909945,30681,46021,961040,1441560,303007,454511
CZ00,2052,1947248,2920872,30543,45814,963628,1445443,307749,461624
CZ00,2053,1954533,2931800,30404,45607,966217,1449326,312491,468737
CZ00,2054,1961818,2942728,30266,45400,968805,1453208,317233,475850
CZ00,2055,1969104,2953656,30128,45193,971394,1457091,321976,482964
CZ00,2056,1960180,2940270,30090,45135,973714,1460571,326772,490158
CZ00,2057,1951256,2926884,30052,45078,976034,1464052,331568,497352
CZ00,2058,1942332,2913498,30013,45020,978354,1467532,336364,504546
CZ00,2059,1933408,2900112,29975,44962,980675,1471012,341160,511740
CZ00,2060,1924484,2886726,29936,44905,982995,1474492,345956,518934
CZ00,2061,1904156,2856235,29987,44980,994340,1491511,308476,462714
CZ00,2062,1883829,2825744,30037,45056,1005686,1508530,270996,406494
CZ00,2063,1863502,2795253,30088,45132,1017032,1525548,233516,350274
CZ00,2064,1843175,2764762,30138,45207,1028378,1542567,196036,294054
CZ00,2065,1822848,2734272,30188,45283,1039724,1559586,158556,237835
CZ00,2066,1794354,2691531,30363,45544,1060080,1590121,128945,193418
CZ00,2067,1765861,2648791,30537,45806,1080437,1620656,99334,149001
CZ00,2068,1737367,2606051,30712,46068,1100794,1651191,69723,104584
CZ00,2069,1708874,2563311,30886,46329,1121151,1681726,40112,60168
CZ00,2070,1680380,2520571,31060,46591,1141508,1712262,10500,15751
CZ01,2010,6603,9904,195,292,24,36,0,0
CZ01,2011,6586,9880,222,333,29,44,0,0
CZ01,2012,6570,9855,248,373,34,52,0,0
CZ01,2013,6553,9830,275,413,40,60,0,0
CZ01,2014,6537,9805,302,454,45,68,0,0
CZ01,2015,6520,9781,329,494,51,76,0,0
CZ01,2016,6483,9725,316,475,52,78,0,0
CZ01,2017,6445,9668,304,456,52,79,0,0
CZ01,2018,6408,9612,291,437,53,80,0,0
CZ01,2019,6371,9556,279,418,54,81,0,0
CZ01,2020,6333,9500,266,399,55,82,0,0
CZ01,2021,6270,9405,257,386,54,81,0,0
CZ01,2022,6206,9309,248,372,53,80,0,0
CZ01,2023,6143,9214,239,359,52,79,0,0
CZ01,2024,6079,9119,230,345,52,78,0,0
CZ01,2025,6016,9024,221,332,51,76,0,0
CZ01,2026,5960,8940,213,320,51,76,1,2
CZ01,2027,5904,8857,205,307,51,76,2,4
CZ01,2028,5849,8774,197,295,51,76,4,6
CZ01,2029,5793,8690,188,283,51,76,5,8
CZ01,2030,5738,8607,180,271,51,76,7,10
CZ01,2031,5677,8516,180,270,50,75,25,38
CZ01,2032,5617,8426,180,270,49,74,44,66
CZ01,2033,5556,8335,180,270,49,73,62,93
CZ01,2034,5496,8244,180,270,48,72,80,121
CZ01,2035,5436,8154,180,270,48,72,99,148
CZ01,2036,5378,8067,169,253,47,71,187,281
CZ01,2037,5320,7980,158,237,47,71,275,413
CZ01,2038,5262,7894,147,221,47,71,364,546
CZ01,2039,5204,7807,137,205,47,71,452,678
CZ01,2040,5147,7720,126,189,47,70,540,811
CZ01,2041,5139,7709,135,203,47,71,557,836
CZ01,2042,5131,7697,144,216,47,71,574,862
CZ01,2043,5123,7685,153,229,47,71,591,887
CZ01,2044,5115,7673,162,243,47,71,608,912
CZ01,2045,5108,7662,171,256,48,72,625,938
CZ01,2046,5056,7584,169,254,49,73,643,965
CZ01,2047,5004,7506,168,252,50,75,661,992
CZ01,2048,4952,7429,167,251,51,77,679,1019
CZ01,2049,4901,7351,166,249,53,79,697,1046
CZ01,2050,4849,7274,164,247,54,81,716,1074
CZ01,2051,4801,7202,153,229,56,84,727,1091
CZ01,2052,4753,7130,141,212,58,88,739,1108
CZ01,2053,4705,7058,130,195,61,91,750,1125
CZ01,2054,4657,6986,118,178,63,95,762,1143
CZ01,2055,4609,6914,107,160,65,98,773,1160
CZ01,2056,4565,6848,108,162,65,97,785,1177
CZ01,2057,4521,6782,109,164,64,96,796,1194
CZ01,2058,4478,6717,111,166,64,96,808,1212
CZ01,2059,4434,6651,112,168,63,95,819,1229
CZ01,2060,4390,6585,113,170,63,94,831,1246
CZ01,2061,4332,6498,112,169,67,101,739,1109
CZ01,2062,4273,6410,112,168,72,108,647,971
CZ01,2063,4215,6323,111,167,76,114,555,833
CZ01,2064,4157,6236,111,166,81,121,463,695
CZ01,2065,4099,6148,110,165,85,128,372,558
CZ01,2066,4029,6044,119,179,88,133,304,456
CZ01,2067,3960,5940,128,193,92,138,236,354
CZ01,2068,3890,5835,138,207,95,143,168,252
CZ01,2069,3820,5731,147,221,99,148,100,150
CZ01,2070,3751,5626,156,235,102,153,32,48
CZ02,2010,436244,654367,6856,10285,40286,60429,0,0
CZ02,2011,436123,654185,6947,10420,40426,60640,0,0
CZ02,2012,436001,654002,7037,10556,40567,60850,0,0
CZ02,2013,435880,653820,7128,10692,40707,61061,0,0
CZ02,2014,435759,653638,7218,10827,40847,61271,0,0
CZ02,2015,435637,653456,7308,10963,40988,61482,0,0
CZ02,2016,434264,651397,7136,10705,41749,62623,0,0
CZ02,2017,432892,649338,6965,10447,42510,63765,0,0
CZ02,2018,431519,647279,6793,10189,43271,64907,0,0
CZ02,2019,430147,645220,6621,9932,44032,66048,0,0
CZ02,2020,428774,643161,6449,9674,44793,67190,0,0
CZ02,2021,426856,640285,6330,9495,45145,67718,0,0
CZ02,2022,424939,637409,6210,9315,45497,68245,0,0
CZ02,2023,423022,634533,6091,9136,45849,68773,0,0
CZ02,2024,421104,631656,5971,8957,46200,69301,0,0
CZ02,2025,419187,628780,5852,8778,46552,69829,0,0
CZ02,2026,418394,627592,5696,8545,46059,69088,96,144
CZ02,2027,417602,626403,5541,8312,45565,68348,192,288
CZ02,2028,416810,625215,5386,8080,45072,67608,288,432
CZ02,2029,416017,624026,5231,7847,44578,66867,384,576
CZ02,2030,415225,622838,5076,7615,44084,66127,480,721
CZ02,2031,413024,619536,4993,7489,45413,68119,1705,2558
CZ02,2032,410822,616233,4909,7364,46741,70112,2930,4395
