Region,Year,ArableMin,ArableMax,PermCropMin,PermCropMax,PastureMin,PastureMax,NewEnergyMin,NewEnergyMax
ES00,2010,14040270,21060405,4123836,6185755,5593967,8390950,0,0
ES00,2011,14041513,21062269,4141831,6212747,5606781,8410171,0,0
ES00,2012,14042755,21064133,4159825,6239738,5619595,8429392,0,0
ES00,2013,14043998,21065997,4177820,6266730,5632408,8448613,0,0
ES00,2014,14045241,21067861,4195815,6293722,5645222,8467834,0,0
ES00,2015,14046484,21069726,4213809,6320714,5658036,8487055,0,0
ES00,2016,14005097,21007646,4226902,6340354,5659098,8488647,0,0
ES00,2017,13963711,20945566,4239995,6359993,5660159,8490239,0,0
ES00,2018,13922324,20883487,4253088,6379633,5661221,8491831,0,0
ES00,2019,13880938,20821407,4266182,6399273,5662282,8493423,0,0
ES00,2020,13839552,20759328,4279275,6418912,5663344,8495016,0,0
ES00,2021,13798230,20697346,4285376,6428064,5664439,8496659,2277,3416
ES00,2022,13756909,20635364,4291477,6437215,5665535,8498303,4555,6833
ES00,2023,13715588,20573382,4297578,6446367,5666631,8499947,6833,10250
ES00,2024,13674267,20511401,4303679,6455518,5667727,8501591,9111,13667
ES00,2025,13632946,20449419,4309780,6464670,5668823,8503234,11389,17084
ES00,2026,13586188,20379283,4301112,6451669,5672792,8509189,11187,16781
ES00,2027,13539431,20309146,4292445,6438668,5676762,8515144,10986,16479
ES00,2028,13492673,20239010,4283778,6425667,5680732,8521098,10784,16176
ES00,2029,13445916,20168874,4275111,6412666,5684702,8527053,10582,15873
ES00,2030,13399158,20098737,4266444,6399666,5688672,8533008,10380,15571
ES00,2031,13385466,20078199,4283178,6424768,5683233,8524849,157777,236665
ES00,2032,13371774,20057662,4299913,6449870,5677794,8516691,305173,457760
ES00,2033,13358082,20037124,4316648,6474972,5672355,8508533,452569,678854
ES00,2034,13344391,20016586,4333383,6500075,5666917,8500375,599966,899949
ES00,2035,13330699,19996048,4350118,6525177,5661478,8492217,747362,1121043
ES00,2036,13357253,20035879,4339266,6508899,5661477,8492216,947851,1421776
ES00,2037,13383807,20075711,4328414,6492621,5661477,8492216,1148340,1722510
ES00,2038,13410361,20115542,4317561,6476342,5661476,8492215,1348828,2023243
ES00,2039,13436915,20155373,4306709,6460064,5661476,8492214,1549317,2323976
ES00,2040,13463469,20195204,4295857,6443786,5661476,8492214,1749806,2624709
ES00,2041,13450723,20176084,4278230,6417345,5661474,8492211,1789110,2683665
ES00,2042,13437976,20156964,4260603,6390905,5661472,8492209,1828413,2742620
ES00,2043,13425229,20137844,4242976,6364464,5661471,8492206,1867717,2801576
ES00,2044,13412483,20118725,4225349,6338024,5661469,8492204,1907021,2860531
ES00,2045,13399736,20099605,4207722,6311583,5661468,8492202,1946324,2919487
ES00,2046,13428030,20142046,4198214,6297321,5661468,8492202,1984290,2976435
ES00,2047,13456324,20184486,4188706,6283060,5661469,8492203,2022255,3033383
ES00,2048,13484618,20226927,4179198,6268798,5661469,8492204,2060220,3090330
ES00,2049,13512912,20269368,4169691,6254536,5661470,8492205,2098185,3147278
ES00,2050,13541206,20311809,4160183,6240274,5661471,8492206,2136151,3204226
ES00,2051,13533598,20300397,4146285,6219428,5661471,8492207,2161386,3242080
ES00,2052,13525990,20288985,4132388,6198582,5661471,8492207,2186622,3279933
ES00,2053,13518381,20277572,4118491,6177737,5661471,8492207,2211858,3317787
ES00,2054,13510773,20266160,4104594,6156891,5661471,8492207,2237093,3355640
ES00,2055,13503165,20254748,4090696,6136045,5661472,8492208,2262329,3393494
ES00,2056,13533143,20299714,4078971,6118457,5661452,8492179,2278933,3418400
ES00,2057,13563120,20344681,4067246,6100869,5661433,8492150,2295537,3443306
ES00,2058,13593098,20389647,4055520,6083281,5661414,8492121,2312141,3468212
ES00,2059,13623076,20434614,4043795,6065693,5661395,8492092,2328745,3493118
ES00,2060,13653053,20479580,4032070,6048105,5661376,8492064,2345349,3518024
ES00,2061,13643532,20465298,4026694,6040041,5661396,8492095,2364240,3546360
ES00,2062,13634010,20451015,4021318,6031978,5661417,8492126,2383130,3574696
ES00,2063,13624488,20436733,4015942,6023914,5661438,8492158,2402021,3603031
ES00,2064,13614967,20422450,4010567,6015850,5661459,8492189,2420911,3631367
ES00,2065,13605445,20408168,4005191,6007786,5661480,8492221,2439802,3659703
ES00,2066,13624040,20436061,4011640,6017461,5661476,8492214,2443901,3665851
ES00,2067,13642636,20463954,4018090,6027135,5661471,8492207,2448000,3672000
