Region,Year,ArableMin,ArableMax,PermCropMin,PermCropMax,PastureMin,PastureMax,NewEnergyMin,NewEnergyMax
FI00,2010,1789068,2683602,14034,21051,25376,38065,0,0
FI00,2011,1787601,2681402,14876,22315,25581,38371,0,0
FI00,2012,1786135,2679203,15719,23578,25785,38678,0,0
FI00,2013,1784669,2677003,16561,24842,25990,38985,0,0
FI00,2014,1783203,2674804,17404,26106,26194,39292,0,0
FI00,2015,1781736,2672605,18246,27369,26399,39598,0,0
FI00,2016,1777914,2666871,18228,27343,26587,39880,0,0
FI00,2017,1774092,2661138,18211,27317,26774,40162,0,0
FI00,2018,1770269,2655404,18194,27291,26962,40444,0,0
FI00,2019,1766447,2649670,18176,27264,27150,40725,0,0
FI00,2020,1762624,2643937,18159,27238,27338,41007,0,0
FI00,2021,1759424,2639136,18204,27306,27714,41571,0,0
FI00,2022,1756223,2634335,18249,27374,28089,42134,0,0
FI00,2023,1753023,2629535,18295,27442,28465,42698,0,0
FI00,2024,1749822,2624734,18340,27510,28841,43261,0,0
FI00,2025,1746622,2619933,18385,27578,29216,43825,0,0
FI00,2026,1745081,2617622,18439,27659,29421,44132,0,0
FI00,2027,1743540,2615310,18493,27739,29626,44439,0,0
FI00,2028,1741999,2612999,18546,27820,29831,44746,0,0
FI00,2029,1740458,2610687,18600,27900,30036,45054,0,0
FI00,2030,1738917,2608376,18654,27981,30240,45361,0,0
FI00,2031,1738265,2607397,18690,28036,30321,45481,0,0
FI00,2032,1737612,2606418,18727,28091,30401,45602,0,0
FI00,2033,1736960,2605440,18763,28145,30481,45722,0,0
FI00,2034,1736307,2604461,18800,28200,30562,45843,0,0
FI00,2035,1735655,2603482,18836,28255,30642,45963,0,0
FI00,2036,1733621,2600431,18884,28327,30715,46073,7107,10661
FI00,2037,1731587,2597380,18932,28399,30788,46183,14215,21322
FI00,2038,1729552,2594329,18980,28471,30862,46293,21322,31983
FI00,2039,1727518,2591278,19028,28543,30935,46403,28430,42645
FI00,2040,1725484,2588227,19076,28615,31008,46513,35537,53306
FI00,2041,1725228,2587842,19146,28720,31147,46721,59010,88516
FI00,2042,1724971,2587457,19216,28824,31286,46929,82484,123726
FI00,2043,1724714,2587072,19286,28929,31425,47138,105957,158936
FI00,2044,1724458,2586687,19356,29034,31564,47346,129430,194146
FI00,2045,1724201,2586302,19426,29139,31703,47554,152904,229356
FI00,2046,1725071,2587606,19497,29245,31815,47722,156096,234144
FI00,2047,1725940,2588910,19567,29351,31926,47890,159288,238933
FI00,2048,1726809,2590214,19638,29457,32038,48058,162481,243722
FI00,2049,1727679,2591519,19709,29563,32150,48225,165673,248510
FI00,2050,1728548,2592823,19780,29670,32262,48393,168866,253299
FI00,2051,1729108,2593663,19848,29772,32394,48591,174937,262406
FI00,2052,1729669,2594503,19917,29875,32526,48789,181009,271514
FI00,2053,1730229,2595343,19985,29978,32658,48987,187080,280621
FI00,2054,1730789,2596184,20054,30081,32790,49185,193152,289728
FI00,2055,1731349,2597024,20123,30184,32922,49383,199224,298836
FI00,2056,1732183,2598275,20190,30286,33053,49580,192880,289321
FI00,2057,1733017,2599525,20258,30387,33185,49777,186537,279806
FI00,2058,1733850,2600776,20325,30488,33316,49974,180194,270291
FI00,2059,1734684,2602026,20393,30589,33447,50171,173851,260776
FI00,2060,1735518,2603277,20460,30691,33579,50368,167508,251262
FI00,2061,1734536,2601804,20518,30777,33668,50502,155411,233116
FI00,2062,1733553,2600330,20576,30864,33757,50635,143314,214971
FI00,2063,1732571,2598857,20634,30951,33846,50769,131217,196825
FI00,2064,1731589,2597384,20691,31037,33935,50902,119120,178680
FI00,2065,1730607,2595910,20749,31124,34024,51036,107023,160534
FI00,2066,1729127,2593691,20810,31215,34123,51185,85920,128880
FI00,2067,1727648,2591472,20871,31307,34223,51335,64818,97227
FI00,2068,1726169,2589253,20932,31398,34323,51485,43715,65573
FI00,2069,1724689,2587034,20993,31490,34423,51635,22612,33919
FI00,2070,1723210,2584815,21054,31581,34523,51784,1510,2265
FI13,2010,253115,379672,2060,3091,3628,5442,0,0
FI13,2011,253120,379680,2259,3389,3470,5205,0,0
FI13,2012,253125,379688,2458,3688,3312,4968,0,0
FI13,2013,253130,379695,2657,3986,3154,4732,0,0
FI13,2014,253135,379703,2856,4285,2996,4495,0,0
FI13,2015,253140,379711,3056,4584,2839,4258,0,0
FI13,2016,252183,378275,3053,4580,2904,4357,0,0
FI13,2017,251225,376838,3051,4577,2970,4456,0,0
FI13,2018,250268,375402,3049,4574,3036,4554,0,0
FI13,2019,249311,373966,3047,4571,3102,4653,0,0
FI13,2020,248353,372530,3045,4568,3168,4752,0,0
FI13,2021,247553,371329,3064,4596,3263,4895,0,0
FI13,2022,246752,370129,3083,4625,3359,5039,0,0
FI13,2023,245952,368928,3102,4654,3455,5183,0,0
FI13,2024,245152,367728,3121,4682,3551,5327,0,0
FI13,2025,244352,366528,3140,4711,3647,5470,0,0
FI13,2026,243818,365727,3144,4717,3731,5597,0,0
FI13,2027,243284,364927,3149,4723,3815,5723,0,0
FI13,2028,242751,364126,3153,4729,3900,5850,0,0
FI13,2029,242217,363326,3157,4736,3984,5976,0,0
FI13,2030,241684,362526,3161,4742,4068,6103,0,0
FI13,2031,241275,361912,3151,4727,4143,6215,0,0
FI13,2032,240866,361299,3141,4711,4218,6327,0,0
FI13,2033,240457,360685,3130,4696,4292,6439,0,0
FI13,2034,240048,360072,3120,4680,4367,6551,0,0
FI13,2035,239639,359458,3110,4665,4442,6663,0,0
FI13,2036,239185,358777,3101,4652,4521,6782,1137,1705
FI13,2037,238731,358097,3092,4638,4601,6901,2274,3411
FI13,2038,238277,357416,3083,4625,4680,7020,3411,5117
FI13,2039,237823,356735,3074,4611,4759,7139,4548,6822
FI13,2040,237369,356054,3065,4598,4839,7258,5685,8528
FI13,2041,237136,355704,3066,4599,4937,7406,9731,14596
FI13,2042,236903,355355,3066,4600,5035,7553,13776,20664
FI13,2043,236670,355006,3067,4601,5133,7700,17821,26732
FI13,2044,236437,354656,3068,4602,5232,7848,21867,32801
FI13,2045,236204,354307,3068,4603,5330,7995,25912,38869
FI13,2046,236072,354109,3072,4609,5432,8149,26547,39820
FI13,2047,235941,353911,3076,4615,5535,8303,27181,40771
FI13,2048,235809,353713,3080,4621,5638,8457,27815,41723
FI13,2049,235677,353516,3084,4627,5740,8610,28449,42674
FI13,2050,235545,353318,3088,4633,5843,8764,29084,43626
FI13,2051,235474,353211,3089,4633,5959,8939,30363,45545
FI13,2052,235402,353104,3089,4634,6075,9113,31643,47465
FI13,2053,235331,352997,3090,4635,6191,9287,32923,49384
FI13,2054,235260,352890,3090,4636,6307,9461,34202,51304
FI13,2055,235188,352783,3091,4636,6424,9636,35482,53223
FI13,2056,235265,352897,3093,4639,6550,9826,34266,51399
FI13,2057,235341,353012,3095,4643,6677,10016,33050,49576
FI13,2058,235418,353127,3097,4646,6804,10206,31834,47752
FI13,2059,235494,353242,3099,4649,6931,10397,30619,45928
FI13,2060,235571,353356,3101,4652,7058,10587,29403,44104
FI13,2061,235305,352957,3101,4652,7187,10781,27293,40940
FI13,2062,235039,352559,3102,4653,7316,10975,25183,37775
FI13,2063,234773,352160,3102,4653,7446,11169,23073,34610
FI13,2064,234507,351761,3102,4654,7575,11363,20964,31446
FI13,2065,234241,351362,3103,4654,7704,11557,18854,28281
FI13,2066,233537,350306,3104,4656,7849,11773,15135,22703
FI13,2067,232833,349249,3105,4658,7993,11990,11417,17125
FI13,2068,232129,348193,3107,4660,8138,12207,7698,11548
FI13,2069,231424,347137,3108,4662,8282,12424,3980,5970
FI13,2070,230720,346081,3109,4664,8427,12640,261,392
FI18,2010,664521,996782,6193,9290,5801,8702,0,0
FI18,2011,663902,995853,6392,9588,6038,9057,0,0
FI18,2012,663283,994924,6590,9886,6274,9411,0,0
FI18,2013,662664,993996,6789,10183,6511,9766,0,0
FI18,2014,662044,993067,6987,10481,6747,10121,0,0
FI18,2015,661425,992138,7186,10779,6984,10476,0,0
FI18,2016,661399,992099,7208,10813,6965,10447,0,0
FI18,2017,661374,992061,7231,10847,6946,10419,0,0
FI18,2018,661348,992022,7254,10881,6927,10391,0,0
FI18,2019,661322,991983,7276,10914,6909,10363,0,0
FI18,2020,661296,991945,7299,10948,6890,10335,0,0
FI18,2021,660921,991382,7332,10998,6908,10362,0,0
FI18,2022,660546,990819,7365,11048,6926,10389,0,0
FI18,2023,660171,990256,7399,11098,6944,10416,0,0
FI18,2024,659796,989694,7432,11148,6962,10443,0,0
FI18,2025,659420,989131,7465,11198,6980,10470,0,0
FI18,2026,659549,989323,7494,11242,6978,10467,0,0
FI18,2027,659677,989516,7524,11286,6977,10465,0,0
FI18,2028,659805,989708,7553,11330,6975,10463,0,0
FI18,2029,659934,989901,7582,11374,6974,10461,0,0
FI18,2030,660062,990093,7612,11418,6972,10459,0,0
FI18,2031,660468,990702,7640,11461,6939,10409,0,0
FI18,2032,660874,991312,7669,11504,6906,10359,0,0
FI18,2033,661281,991921,7698,11548,6873,10310,0,0
FI18,2034,661687,992531,7727,11591,6840,10260,0,0
FI18,2035,662093,993140,7756,11635,6807,10210,0,0
FI18,2036,662013,993020,7780,11670,6772,10158,2419,3629
FI18,2037,661934,992901,7804,11706,6737,10105,4839,7258
FI18,2038,661854,992781,7827,11741,6702,10053,7258,10887
FI18,2039,661774,992662,7851,11777,6667,10000,9678,14517
FI18,2040,661695,992542,7875,11812,6632,9948,12097,18146
FI18,2041,662103,993155,7907,11861,6610,9915,19335,29002
FI18,2042,662512,993768,7940,11910,6589,9883,26572,39858
FI18,2043,662920,994380,7972,11958,6567,9851,33809,50714
FI18,2044,663329,994993,8005,12007,6546,9819,41047,61571
FI18,2045,663737,995606,8037,12056,6524,9787,48284,72427
FI18,2046,664372,996558,8071,12107,6495,9742,49045,73568
FI18,2047,665006,997510,8105,12158,6465,9698,49807,74710
FI18,2048,665641,998461,8139,12209,6436,9654,50568,75852
FI18,2049,666275,999413,8173,12259,6406,9609,51329,76993
FI18,2050,666910,1000365,8207,12310,6376,9565,52090,78135
FI18,2051,667620,1001430,8239,12358,6359,9539,53465,80197
FI18,2052,668329,1002494,8271,12406,6342,9514,54840,82260
FI18,2053,669039,1003558,8303,12454,6325,9488,56215,84322
FI18,2054,669748,1004623,8335,12502,6308,9463,57589,86384
FI18,2055,670458,1005687,8367,12550,6292,9438,58964,88447
FI18,2056,671385,1007077,8402,12604,6276,9415,57194,85792
FI18,2057,672312,1008468,8438,12657,6261,9392,55424,83136
FI18,2058,673239,1009858,8474,12711,6246,9369,53654,80481
FI18,2059,674165,1011248,8509,12764,6231,9346,51884,77826
FI18,2060,675092,1012639,8545,12818,6216,9324,50114,75171
FI18,2061,675348,1013023,8572,12858,6176,9265,46541,69812
FI18,2062,675605,1013407,8599,12898,6137,9206,42968,64452
FI18,2063,675861,1013791,8625,12938,6098,9147,39395,59093
FI18,2064,676117,1014176,8652,12978,6059,9088,35822,53733
FI18,2065,676373,1014560,8679,13018,6020,9030,32249,48374
FI18,2066,676756,1015134,8706,13059,5978,8968,25892,38838
FI18,2067,677139,1015709,8733,13099,5937,8906,19535,29302
FI18,2068,677522,1016284,8760,13140,5896,8844,13177,19766
FI18,2069,677905,1016858,8787,13181,5854,8782,6820,10230
FI18,2070,678288,1017433,8814,13221,5813,8720,463,694
