Region,Year,ArableMin,ArableMax,PermCropMin,PermCropMax,PastureMin,PastureMax,NewEnergyMin,NewEnergyMax
MT00,2010,7851,11776,2174,3261,924,1386,0,0
MT00,2011,7741,11611,2132,3198,952,1428,0,0
MT00,2012,7631,11446,2089,3134,981,1471,0,0
MT00,2013,7520,11281,2047,3070,1009,1514,0,0
MT00,2014,7410,11116,2004,3007,1038,1557,0,0
MT00,2015,7300,10951,1962,2943,1067,1600,0,0
MT00,2016,7289,10934,1955,2933,1074,1611,0,0
MT00,2017,7278,10917,1948,2922,1081,1622,0,0
MT00,2018,7267,10900,1941,2912,1088,1633,0,0
MT00,2019,7256,10884,1934,2902,1096,1644,0,0
MT00,2020,7244,10867,1928,2892,1103,1654,0,0
MT00,2021,7242,10864,1900,2851,1108,1662,0,0
MT00,2022,7240,10860,1873,2810,1113,1669,0,0
MT00,2023,7238,10857,1846,2770,1118,1677,0,0
MT00,2024,7236,10854,1819,2729,1123,1684,0,0
MT00,2025,7234,10851,1792,2689,1128,1692,0,0
MT00,2026,7230,10846,1764,2647,1133,1700,0,0
MT00,2027,7227,10840,1737,2605,1139,1709,0,0
MT00,2028,7223,10835,1709,2563,1145,1717,0,0
MT00,2029,7219,10829,1681,2522,1151,1726,0,0
MT00,2030,7216,10824,1653,2480,1156,1735,0,0
MT00,2031,7205,10807,1632,2449,1161,1742,0,0
MT00,2032,7194,10791,1612,2418,1166,1750,0,0
MT00,2033,7183,10775,1591,2387,1171,1757,0,0
MT00,2034,7172,10758,1571,2356,1176,1764,0,0
MT00,2035,7161,10742,1550,2325,1181,1772,0,0
MT00,2036,7154,10732,1533,2300,1188,1782,59,89
MT00,2037,7148,10722,1516,2274,1195,1793,119,179
MT00,2038,7141,10712,1499,2249,1202,1804,179,269
MT00,2039,7134,10702,1482,2223,1209,1814,239,359
MT00,2040,7128,10692,1465,2198,1216,1825,299,448
MT00,2041,7131,10697,1448,2173,1224,1836,320,480
MT00,2042,7135,10703,1432,2148,1231,1847,342,513
MT00,2043,7139,10709,1415,2122,1238,1858,363,545
MT00,2044,7143,10715,1398,2097,1246,1869,384,577
MT00,2045,7147,10720,1381,2072,1253,1880,406,609
MT00,2046,7136,10704,1369,2054,1265,1897,450,676
MT00,2047,7124,10687,1357,2036,1276,1914,495,742
MT00,2048,7113,10670,1345,2018,1288,1932,539,809
MT00,2049,7102,10653,1333,2000,1299,1949,583,875
MT00,2050,7091,10636,1321,1982,1311,1966,628,942
MT00,2051,7104,10656,1291,1937,1308,1962,667,1001
MT00,2052,7118,10677,1261,1892,1304,1957,706,1060
MT00,2053,7131,10697,1231,1847,1301,1952,746,1119
MT00,2054,7144,10717,1201,1802,1298,1947,785,1178
MT00,2055,7158,10737,1172,1758,1295,1942,824,1237
MT00,2056,7149,10724,1168,1752,1287,1930,747,1120
MT00,2057,7140,10711,1164,1746,1278,1918,669,1003
MT00,2058,7132,10698,1160,1740,1270,1906,591,887
MT00,2059,7123,10684,1156,1734,1262,1893,513,770
MT00,2060,7114,10671,1152,1728,1254,1881,436,654
MT00,2061,7088,10633,1147,1721,1256,1884,348,523
MT00,2062,7063,10594,1143,1715,1258,1887,261,392
MT00,2063,7037,10556,1139,1708,1260,1890,174,261
MT00,2064,7012,10518,1134,1702,1262,1894,87,130
MT00,2065,6986,10479,1130,1695,1264,1897,0,0
MT00,2066,7006,10510,1129,1694,1270,1905,0,0
MT00,2067,7027,10541,1129,1694,1276,1914,0,0
MT00,2068,7047,10571,1128,1693,1281,1922,0,0
MT00,2069,7068,10602,1128,1692,1287,1930,0,0
MT00,2070,7088,10633,1128,1692,1292,1939,0,0
