Region,Year,ArableMin,ArableMax,PermCropMin,PermCropMax,PastureMin,PastureMax,NewEnergyMin,NewEnergyMax
RO00,2010,7627999,11441998,372417,558626,3654236,5481355,0,0
RO00,2011,7600242,11400363,372229,558344,3654918,5482377,0,0
RO00,2012,7572485,11358727,372042,558063,3655599,5483399,0,0
RO00,2013,7544728,11317092,371854,557781,3656280,5484420,0,0
RO00,2014,7516971,11275457,371666,557500,3656961,5485442,0,0
RO00,2015,7489214,11233821,371479,557218,3657643,5486464,0,0
RO00,2016,7468304,11202456,366687,550031,3655315,5482973,0,0
RO00,2017,7447394,11171092,361895,542843,3652988,5479482,0,0
RO00,2018,7426485,11139727,357103,535655,3650660,5475990,0,0
RO00,2019,7405575,11108363,352311,528467,3648333,5472499,0,0
RO00,2020,7384665,11076998,347520,521280,3646005,5469008,0,0
RO00,2021,7363638,11045457,343901,515852,3645916,5468875,0,0
RO00,2022,7342610,11013916,340283,510424,3645828,5468742,0,0
RO00,2023,7321583,10982375,336664,504997,3645739,5468609,0,0
RO00,2024,7300556,10950834,333046,499569,3645651,5468476,0,0
RO00,2025,7279528,10919293,329428,494142,3645562,5468343,0,0
RO00,2026,7254474,10881711,326512,489768,3647242,5470863,784,1177
RO00,2027,7229420,10844130,323596,485394,3648922,5473383,1569,2354
RO00,2028,7204365,10806548,320680,481021,3650602,5475903,2354,3532
RO00,2029,7179311,10768966,317765,476647,3652282,5478423,3139,4709
RO00,2030,7154256,10731385,314849,472274,3653962,5480943,3924,5887
RO00,2031,7195336,10793004,312120,468180,3652264,5478397,173520,260281
RO00,2032,7236415,10854623,309390,464085,3650567,5475850,343116,514675
RO00,2033,7277494,10916242,306660,459991,3648869,5473304,512712,769069
RO00,2034,7318574,10977861,303931,455896,3647172,5470758,682308,1023463
RO00,2035,7359653,11039480,301201,451802,3645474,5468211,851904,1277857
RO00,2036,7385256,11077885,298542,447814,3645475,5468213,963585,1445377
RO00,2037,7410860,11116290,295884,443826,3645477,5468215,1075265,1612898
RO00,2038,7436463,11154694,293225,439838,3645478,5468218,1186946,1780419
RO00,2039,7462066,11193099,290566,435850,3645480,5468220,1298626,1947940
RO00,2040,7487669,11231504,287908,431862,3645481,5468222,1410307,2115460
RO00,2041,7475074,11212612,285996,428994,3645480,5468221,1416312,2124468
RO00,2042,7462479,11193719,284085,426127,3645480,5468220,1422318,2133477
RO00,2043,7449884,11174827,282173,423260,3645479,5468218,1428323,2142485
RO00,2044,7437290,11155935,280262,420393,3645478,5468217,1434328,2151493
RO00,2045,7424695,11137042,278351,417526,3645477,5468216,1440334,2160501
RO00,2046,7403764,11105646,277085,415628,3645475,5468213,1440964,2161447
RO00,2047,7382834,11074251,275819,413729,3645473,5468210,1441595,2162392
RO00,2048,7361903,11042855,274553,411830,3645471,5468207,1442225,2163338
RO00,2049,7340972,11011459,273288,409932,3645469,5468204,1442856,2164284
RO00,2050,7320042,10980063,272022,408033,3645468,5468202,1443486,2165229
RO00,2051,7347312,11020969,270590,405885,3655376,5483065,1437980,2156970
RO00,2052,7374583,11061875,269158,403737,3665285,5497928,1432473,2148710
RO00,2053,7401854,11102781,267725,401588,3675194,5512791,1426967,2140451
RO00,2054,7429124,11143686,266293,399440,3685103,5527654,1421461,2132192
RO00,2055,7456395,11184592,264861,397292,3695012,5542518,1415955,2123932
RO00,2056,7434335,11151502,263611,395417,3698162,5547243,1409371,2114057
RO00,2057,7412274,11118412,262361,393542,3701312,5551969,1402788,2104182
RO00,2058,7390214,11085322,261111,391667,3704463,5556694,1396205,2094307
RO00,2059,7368154,11052231,259861,389791,3707613,5561420,1389621,2084432
RO00,2060,7346094,11019141,258611,387916,3710764,5566146,1383038,2074557
RO00,2061,7321335,10982003,257158,385737,3709154,5563731,1379936,2069904
RO00,2062,7296577,10944865,255705,383558,3707544,5561316,1376834,2065251
RO00,2063,7271818,10907728,254253,381379,3705934,5558901,1373732,2060598
RO00,2064,7247060,10870590,252800,379200,3704324,5556486,1370630,2055945
RO00,2065,7222301,10833452,251348,377022,3702714,5554071,1367528,2051292
RO00,2066,7198783,10798174,250058,375088,3701307,5551961,1363102,2044654
RO00,2067,7175264,10762897,248769,373154,3699901,5549851,1358677,2038016
RO00,2068,7151746,10727619,247480,371220,3698494,5547742,1354252,2031378
RO00,2069,7128228,10692342,246190,369286,3697088,5545632,1349827,2024741
RO00,2070,7104709,10657064,244901,367352,3695681,5543522,1345402,2018103
RO01,2010,1078655,1617982,44699,67048,490385,735578,0,0
RO01,2011,1076252,1614379,43893,65840,490073,735110,0,0
RO01,2012,1073850,1610775,43088,64632,489761,734642,0,0
RO01,2013,1071448,1607172,42282,63423,489449,734174,0,0
RO01,2014,1069045,1603568,41476,62215,489137,733706,0,0
RO01,2015,1066643,1599964,40671,61006,488825,733238,0,0
RO01,2016,1064444,1596666,39688,59533,487485,731227,0,0
RO01,2017,1062245,1593367,38706,58059,486144,729216,0,0
RO01,2018,1060046,1590069,37724,56586,484804,727206,0,0
RO01,2019,1057847,1586770,36741,55112,483463,725195,0,0
RO01,2020,1055648,1583472,35759,53638,482123,723184,0,0
RO01,2021,1054314,1581472,34944,52416,480369,720553,0,0
RO01,2022,1052981,1579472,34129,51194,478615,717922,0,0
RO01,2023,1051648,1577472,33314,49971,476860,715291,0,0
RO01,2024,1050315,1575473,32499,48749,475106,712660,0,0
RO01,2025,1048982,1573473,31684,47527,473352,710029,0,0
RO01,2026,1046677,1570016,30950,46425,471977,707966,109,164
RO01,2027,1044373,1566559,30216,45324,470603,705904,219,329
RO01,2028,1042068,1563102,29482,44223,469228,703842,329,494
RO01,2029,1039763,1559645,28747,43121,467853,701779,439,659
RO01,2030,1037459,1556188,28013,42020,466478,699717,549,824
RO01,2031,1048192,1572288,27445,41167,465711,698566,24465,36697
RO01,2032,1058924,1588387,26876,40314,464943,697415,48380,72570
RO01,2033,1069657,1604486,26308,39462,464176,696264,72296,108444
RO01,2034,1080390,1620585,25739,38609,463408,695113,96211,144317
RO01,2035,1091123,1636684,25171,37756,462641,693962,120127,180190
RO01,2036,1097337,1646006,24642,36963,462325,693487,137570,206356
RO01,2037,1103551,1655327,24113,36170,462008,693013,155014,232521
RO01,2038,1109765,1664648,23585,35377,461692,692538,172458,258687
RO01,2039,1115980,1673970,23056,34584,461376,692064,189901,284852
RO01,2040,1122194,1683291,22528,33792,461060,691590,207345,311018
RO01,2041,1122522,1683783,22110,33165,460732,691098,208934,313401
RO01,2042,1122849,1684274,21692,32538,460404,690606,210523,315785
RO01,2043,1123177,1684766,21274,31911,460076,690115,212112,318168
RO01,2044,1123505,1685257,20856,31284,459749,689623,213701,320552
RO01,2045,1123832,1685749,20438,30657,459421,689132,215290,322935
RO01,2046,1121072,1681608,20104,30156,459055,688582,215536,323305
RO01,2047,1118311,1677466,19769,29654,458688,688032,215783,323674
RO01,2048,1115550,1673325,19435,29153,458321,687482,216029,324044
RO01,2049,1112789,1669184,19101,28652,457955,686933,216276,324414
RO01,2050,1110028,1665043,18767,28150,457588,686383,216522,324783
RO01,2051,1108983,1663475,18436,27654,457299,685949,215366,323049
RO01,2052,1107938,1661908,18106,27159,457009,685514,214209,321314
RO01,2053,1106893,1660340,17775,26663,456720,685080,213053,319580
RO01,2054,1105848,1658773,17444,26167,456431,684646,211897,317845
RO01,2055,1104804,1657206,17114,25671,456141,684212,210740,316111
RO01,2056,1101587,1652381,16829,25244,455748,683622,209331,313996
RO01,2057,1098371,1647557,16544,24817,455355,683033,207921,311882
RO01,2058,1095155,1642733,16260,24390,454962,682443,206512,309768
RO01,2059,1091939,1637909,15975,23962,454569,681853,205102,307653
RO01,2060,1088723,1633084,15690,23535,454176,681264,203692,305539
RO01,2061,1085689,1628533,15411,23116,453774,680662,203239,304859
RO01,2062,1082655,1623983,15131,22697,453373,680060,202786,304179
RO01,2063,1079621,1619432,14852,22278,452972,679458,202332,303499
RO01,2064,1076587,1614881,14572,21859,452570,678856,201879,302819
RO01,2065,1073553,1610330,14293,21440,452169,678254,201426,302139
RO01,2066,1070606,1605909,14058,21087,451759,677639,200628,300942
RO01,2067,1067659,1601489,13823,20735,451349,677024,199829,299744
RO01,2068,1064712,1597068,13588,20382,450939,676409,199031,298547
RO01,2069,1061765,1592648,13353,20030,450529,675794,198233,297350
RO01,2070,1058818,1588227,13118,19677,450120,675180,197435,296152
RO02,2010,1567401,2351102,59932,89899,439084,658627,0,0
RO02,2011,1564072,2346108,60655,90982,437948,656922,0,0
RO02,2012,1560742,2341114,61377,92066,436812,655218,0,0
RO02,2013,1557413,2336119,62100,93150,435675,653513,0,0
RO02,2014,1554083,2331125,62822,94233,434539,651809,0,0
RO02,2015,1550754,2326131,63544,95317,433403,650104,0,0
RO02,2016,1548869,2323304,62844,94266,432559,648838,0,0
RO02,2017,1546985,2320478,62144,93216,431714,647572,0,0
RO02,2018,1545100,2317651,61443,92165,430870,646306,0,0
RO02,2019,1543216,2314824,60743,91115,430026,645039,0,0
RO02,2020,1541332,2311998,60043,90064,429182,643773,0,0
RO02,2021,1540264,2310396,59534,89301,428102,642153,0,0
RO02,2022,1539196,2308795,59024,88537,427022,640533,0,0
RO02,2023,1538129,2307194,58515,87773,425941,638912,0,0
RO02,2024,1537061,2305592,58006,87010,424861,637292,0,0
RO02,2025,1535994,2303991,57497,86246,423781,635672,0,0
RO02,2026,1534500,2301750,57048,85572,422971,634457,140,210
RO02,2027,1533006,2299510,56599,84898,422161,633241,280,420
RO02,2028,1531513,2297269,56149,84224,421350,632026,420,630
RO02,2029,1530019,2295029,55700,83550,420540,630810,560,840
RO02,2030,1528525,2292788,55251,82876,419730,629595,700,1050
RO02,2031,1536211,2304317,54706,82059,418307,627460,30819,46229
RO02,2032,1543898,2315847,54161,81241,416884,625326,60939,91409
RO02,2033,1551584,2327376,53616,80424,415460,623191,91059,136588
RO02,2034,1559270,2338905,53071,79607,414037,621056,121178,181768
RO02,2035,1566956,2350435,52526,78789,412614,618921,151298,226947
RO02,2036,1570432,2355649,51989,77984,412694,619041,167898,251847
RO02,2037,1573909,2360863,51453,77180,412773,619160,184498,276748
RO02,2038,1577385,2366077,50916,76375,412853,619280,201098,301648
RO02,2039,1580861,2371292,50380,75570,412933,619399,217699,326548
RO02,2040,1584337,2376506,49844,74766,413012,619519,234299,351448
RO02,2041,1582612,2373919,49494,74241,413222,619834,233977,350966
RO02,2042,1580888,2371332,49144,73716,413432,620148,233656,350484
RO02,2043,1579163,2368745,48794,73192,413642,620463,233335,350003
RO02,2044,1577439,2366158,48444,72667,413852,620778,233014,349521
RO02,2045,1575714,2363571,48095,72142,414062,621093,232692,349039
RO02,2046,1573600,2360400,47745,71617,414315,621473,232375,348562
RO02,2047,1571486,2357230,47395,71093,414568,621853,232057,348085
RO02,2048,1569373,2354059,47045,70568,414822,622233,231739,347609
RO02,2049,1567259,2350889,46695,70043,415075,622613,231421,347132
RO02,2050,1565145,2347718,46345,69518,415328,622993,231104,346656
RO02,2051,1567685,2351528,46057,69085,415724,623586,230935,346403
RO02,2052,1570225,2355337,45768,68652,416119,624179,230767,346151
RO02,2053,1572765,2359147,45480,68220,416514,624772,230599,345899
RO02,2054,1575304,2362957,45191,67787,416910,625365,230431,345647
RO02,2055,1577844,2366767,44903,67354,417305,625958,230263,345394
RO02,2056,1575399,2363098,44615,66922,417738,626608,230096,345145
RO02,2057,1572953,2359430,44327,66490,418172,627258,229930,344895
RO02,2058,1570508,2355762,44039,66058,418605,627908,229764,344646
RO02,2059,1568062,2352093,43751,65626,419038,628558,229597,344396
RO02,2060,1565616,2348425,43463,65194,419472,629208,229431,344146
RO02,2061,1562849,2344273,43155,64732,419947,629920,229266,343899
RO02,2062,1560081,2340122,42847,64270,420422,630633,229101,343652
