Region,Year,ArableMin,ArableMax,PermCropMin,PermCropMax,PastureMin,PastureMax,NewEnergyMin,NewEnergyMax
SK00,2010,1136110,1704165,25239,37858,460155,690232,0,0
SK00,2011,1141236,1711854,25455,38183,454510,681766,0,0
SK00,2012,1146361,1719542,25672,38508,448866,673299,0,0
SK00,2013,1151487,1727231,25888,38832,443222,664833,0,0
SK00,2014,1156613,1734920,26105,39157,437577,656366,0,0
SK00,2015,1161739,1742608,26321,39482,431933,647900,0,0
SK00,2016,1158409,1737614,25581,38372,431991,647987,0,0
SK00,2017,1155079,1732619,24841,37262,432049,648074,0,0
SK00,2018,1151749,1727624,24101,36152,432107,648161,0,0
SK00,2019,1148420,1722630,23361,35042,432165,648248,0,0
SK00,2020,1145090,1717635,22621,33932,432224,648336,0,0
SK00,2021,1141654,1712481,22147,33221,432259,648389,0,0
SK00,2022,1138218,1707328,21673,32510,432295,648443,0,0
SK00,2023,1134782,1702174,21199,31799,432331,648496,0,0
SK00,2024,1131347,1697020,20725,31088,432366,648550,0,0
SK00,2025,1127911,1691866,20252,30378,432402,648603,0,0
SK00,2026,1123776,1685665,19821,29732,432959,649439,0,0
SK00,2027,1119642,1679464,19390,29086,433516,650274,0,0
SK00,2028,1115508,1673262,18960,28440,434073,651109,0,0
SK00,2029,1111374,1667061,18529,27794,434630,651945,0,0
SK00,2030,1107240,1660860,18099,27148,435187,652780,0,0
SK00,2031,1107143,1660715,17776,26664,434689,652034,550,825
SK00,2032,1107047,1660571,17453,26179,434192,651288,1100,1650
SK00,2033,1106951,1660426,17130,25695,433695,650543,1650,2475
SK00,2034,1106854,1660282,16807,25210,433198,649797,2200,3300
SK00,2035,1106758,1660137,16484,24726,432700,649051,2750,4125
SK00,2036,1111201,1666801,16244,24366,432602,648903,26238,39357
SK00,2037,1115643,1673465,16004,24006,432503,648755,49726,74589
SK00,2038,1120086,1680129,15764,23646,432405,648607,73214,109821
SK00,2039,1124529,1686793,15524,23286,432306,648459,96702,145053
SK00,2040,1128972,1693458,15284,22927,432208,648312,120190,180285
SK00,2041,1128919,1693378,15028,22542,432209,648313,125232,187848
SK00,2042,1128866,1693299,14772,22158,432210,648315,130274,195411
SK00,2043,1128813,1693220,14516,21774,432211,648317,135316,202974
SK00,2044,1128760,1693141,14260,21390,432212,648318,140358,210537
SK00,2045,1128708,1693062,14004,21006,432213,648320,145400,218100
SK00,2046,1124409,1686614,13878,20817,432213,648319,146100,219150
SK00,2047,1120111,1680167,13753,20629,432212,648318,146800,220200
SK00,2048,1115813,1673720,13627,20441,432212,648318,147500,221251
SK00,2049,1111515,1667273,13502,20253,432211,648317,148201,222301
SK00,2050,1107217,1660826,13376,20065,432211,648316,148901,223352
SK00,2051,1115230,1672845,13230,19846,435120,652680,151122,226684
SK00,2052,1123242,1684864,13084,19627,438029,657044,153343,230015
SK00,2053,1131255,1696883,12939,19408,440938,661407,155564,233347
SK00,2054,1139268,1708902,12793,19189,443847,665771,157786,236679
SK00,2055,1147280,1720921,12647,18970,446756,670135,160007,240010
SK00,2056,1142805,1714208,12530,18796,448610,672915,155361,233042
SK00,2057,1138331,1707496,12414,18621,450464,675696,150715,226073
SK00,2058,1133856,1700784,12298,18447,452317,678476,146069,219104
SK00,2059,1129381,1694071,12181,18272,454171,681256,141424,212136
SK00,2060,1124906,1687359,12065,18098,456024,684037,136778,205167
SK00,2061,1113807,1670711,11981,17971,461245,691868,115477,173216
SK00,2062,1102709,1654063,11896,17845,466466,699699,94177,141265
SK00,2063,1091610,1637416,11812,17718,471686,707530,72876,109314
SK00,2064,1080512,1620768,11728,17592,476907,715361,51575,77363
SK00,2065,1069413,1604120,11644,17466,482128,723192,30275,45412
SK00,2066,1064726,1597089,11567,17351,482824,724236,24220,36330
SK00,2067,1060039,1590058,11491,17237,483520,725280,18165,27247
SK00,2068,1055352,1583028,11415,17123,484216,726325,12110,18165
SK00,2069,1050664,1575997,11339,17009,484913,727369,6055,9082
SK00,2070,1045977,1568966,11263,16894,485609,728414,0,0
SK01,2010,55297,82946,2104,3156,500,751,0,0
SK01,2011,55108,82662,2051,3076,507,761,0,0
SK01,2012,54919,82378,1998,2997,514,771,0,0
SK01,2013,54729,82094,1945,2918,520,781,0,0
SK01,2014,54540,81810,1892,2839,527,791,0,0
