Region,Year,ArableMin,ArableMax,PermCropMin,PermCropMax,PastureMin,PastureMax,NewEnergyMin,NewEnergyMax
DE00,2010,9925681,14888522,255487,383230,3584269,5376404,0,0
DE00,2011,9928155,14892232,267777,401665,3566960,5350440,0,0
DE00,2012,9930628,14895942,280067,420101,3549651,5324476,0,0
DE00,2013,9933101,14899652,292357,438536,3532341,5298512,0,0
DE00,2014,9935575,14903363,304647,456971,3515032,5272548,0,0
DE00,2015,9938048,14907073,316937,475406,3497723,5246584,0,0
DE00,2016,9894075,14841113,317075,475613,3497601,5246402,169,254
DE00,2017,9850101,14775152,317213,475819,3497480,5246220,339,509
DE00,2018,9806128,14709192,317350,476026,3497359,5246039,509,763
DE00,2019,9762155,14643232,317488,476232,3497238,5245857,679,1018
DE00,2020,9718181,14577272,317626,476439,3497116,5245675,848,1273
DE00,2021,9707029,14560543,317849,476774,3497090,5245635,1182,1773
DE00,2022,9695876,14543815,318073,477109,3497063,5245595,1515,2273
DE00,2023,9684724,14527086,318296,477444,3497036,5245554,1848,2772
DE00,2024,9673572,14510358,318519,477779,3497009,5245514,2181,3272
DE00,2025,9662420,14493630,318743,478114,3496983,5245474,2515,3772
DE00,2026,9656316,14484474,319241,478861,3497013,5245520,3580,5371
DE00,2027,9650212,14475318,319739,479609,3497043,5245565,4646,6970
DE00,2028,9644108,14466163,320237,480356,3497073,5245610,5712,8568
DE00,2029,9638005,14457007,320735,481103,3497104,5245656,6778,10167
DE00,2030,9631901,14447852,321233,481850,3497134,5245701,7844,11766
DE00,2031,9609440,14414161,322004,483007,3497120,5245680,10577,15866
DE00,2032,9586980,14380470,322776,484164,3497106,5245660,13311,19967
DE00,2033,9564519,14346778,323547,485321,3497093,5245639,16045,24068
DE00,2034,9542058,14313087,324319,486478,3497079,5245619,18779,28169
DE00,2035,9519597,14279396,325090,487635,3497065,5245598,21513,32270
DE00,2036,9517448,14276172,326409,489614,3497070,5245605,23981,35972
DE00,2037,9515299,14272949,327729,491594,3497075,5245613,26449,39674
DE00,2038,9513150,14269726,329048,493573,3497080,5245620,28917,43376
DE00,2039,9511001,14266502,330368,495552,3497085,5245628,31385,47078
DE00,2040,9508852,14263279,331688,497532,3497090,5245635,33853,50780
DE00,2041,9521309,14281963,332915,499373,3497118,5245677,40206,60309
DE00,2042,9533765,14300648,334142,501214,3497145,5245718,46558,69838
DE00,2043,9546221,14319332,335370,503055,3497173,5245760,52911,79367
DE00,2044,9558678,14338017,336597,504896,3497201,5245801,59264,88896
DE00,2045,9571134,14356701,337824,506737,3497228,5245843,65616,98425
DE00,2046,9559245,14338868,339456,509184,3497292,5245938,69763,104645
DE00,2047,9547357,14321036,341088,511632,3497356,5246034,73910,110865
DE00,2048,9535468,14303203,342719,514079,3497420,5246130,78057,117086
DE00,2049,9523580,14285370,344351,516527,3497484,5246226,82204,123306
DE00,2050,9511692,14267538,345983,518974,3497548,5246322,86351,129526
DE00,2051,9502260,14253390,347879,521819,3497552,5246328,92489,138733
DE00,2052,9492828,14239243,349776,524664,3497556,5246335,98627,147941
DE00,2053,9483397,14225096,351672,527508,3497561,5246342,104765,157148
DE00,2054,9473965,14210948,353569,530353,3497565,5246348,110903,166355
DE00,2055,9464534,14196801,355465,533198,3497570,5246355,117041,175562
DE00,2056,9453207,14179810,357457,536186,3497573,5246359,118407,177611
DE00,2057,9441879,14162819,359449,539174,3497575,5246363,119773,179660
DE00,2058,9430552,14145828,361442,542163,3497578,5246367,121139,181709
DE00,2059,9419224,14128837,363434,545151,3497581,5246371,122505,183757
DE00,2060,9407897,14111846,365426,548139,3497584,5246376,123871,185806
