Region,Year,ArableMin,ArableMax,PermCropMin,PermCropMax,PastureMin,PastureMax,NewEnergyMin,NewEnergyMax
FR00,2010,15586760,23380140,987462,1481193,7675956,11513934,0,0
FR00,2011,15643340,23465010,978291,1467437,7631270,11446905,0,0
FR00,2012,15699920,23549880,969120,1453681,7586585,11379877,0,0
FR00,2013,15756500,23634750,959950,1439925,7541899,11312849,0,0
FR00,2014,15813080,23719620,950779,1426169,7497214,11245821,0,0
FR00,2015,15869660,23804491,941608,1412413,7452528,11178793,0,0
FR00,2016,15839247,23758871,931753,1397629,7435976,11153965,6612,9918
FR00,2017,15808833,23713250,921897,1382846,7419424,11129137,13224,19836
FR00,2018,15778420,23667630,912041,1368062,7402872,11104309,19836,29754
FR00,2019,15748007,23622010,902186,1353279,7386320,11079481,26448,39672
FR00,2020,15717593,23576390,892330,1338495,7369768,11054653,33060,49591
FR00,2021,15684596,23526894,889368,1334052,7369672,11054509,40233,60350
FR00,2022,15651599,23477398,886405,1329608,7369577,11054365,47406,71109
FR00,2023,15618601,23427902,883443,1325164,7369481,11054221,54578,81868
FR00,2024,15585604,23378406,880480,1320721,7369385,11054078,61751,92627
FR00,2025,15552607,23328910,877518,1316277,7369289,11053934,68924,103386
FR00,2026,15520622,23280933,871953,1307929,7369261,11053892,71691,107537
FR00,2027,15488636,23232955,866387,1299581,7369234,11053851,74458,111688
FR00,2028,15456651,23184977,860822,1291233,7369206,11053809,77226,115839
FR00,2029,15424666,23137000,855257,1282885,7369178,11053768,79993,119990
FR00,2030,15392681,23089022,849692,1274538,7369151,11053726,82760,124141
FR00,2031,15350591,23025887,847307,1270960,7369176,11053764,88350,132526
FR00,2032,15308502,22962753,844922,1267383,7369201,11053802,93940,140911
FR00,2033,15266412,22899618,842537,1263806,7369226,11053839,99531,149296
FR00,2034,15224322,22836483,840152,1260229,7369251,11053877,105121,157681
FR00,2035,15182232,22773349,837768,1256652,7369276,11053915,110711,166066
FR00,2036,15156564,22734846,834874,1252311,7369294,11053942,116081,174122
FR00,2037,15130896,22696344,831981,1247971,7369312,11053969,121452,182178
FR00,2038,15105227,22657841,829087,1243631,7369331,11053996,126823,190235
FR00,2039,15079559,22619339,826194,1239291,7369349,11054023,132194,198291
FR00,2040,15053891,22580836,823300,1234951,7369367,11054050,137564,206347
FR00,2041,15017581,22526372,824513,1236769,7369419,11054129,146526,219789
FR00,2042,14981272,22471908,825725,1238588,7369472,11054208,155487,233231
FR00,2043,14944962,22417444,826937,1240406,7369525,11054287,164449,246673
FR00,2044,14908653,22362980,828150,1242225,7369577,11054366,173410,260115
FR00,2045,14872344,22308516,829362,1244043,7369630,11054445,182372,273558
FR00,2046,14842991,22264487,850291,1275436,7369646,11054470,211251,316877
FR00,2047,14813639,22220459,871219,1306829,7369663,11054495,240130,360196
FR00,2048,14784287,22176430,892148,1338222,7369679,11054519,269010,403515
FR00,2049,14754934,22132402,913076,1369615,7369696,11054544,297889,446834
FR00,2050,14725582,22088373,934005,1401008,7369712,11054569,326768,490153
FR00,2051,14701083,22051625,939607,1409411,7369723,11054584,339620,509430
FR00,2052,14676584,22014876,945209,1417813,7369733,11054600,352471,528706
FR00,2053,14652085,21978127,950810,1426216,7369744,11054616,365322,547983
FR00,2054,14627586,21941379,956412,1434618,7369754,11054631,378173,567260
FR00,2055,14603087,21904630,962014,1443021,7369764,11054647,391024,586537
FR00,2056,14574977,21862465,961993,1442989,7369758,11054637,397720,596581
FR00,2057,14546867,21820301,961972,1442958,7369752,11054628,404417,606625
FR00,2058,14518757,21778136,961951,1442926,7369745,11054618,411113,616669
FR00,2059,14490647,21735971,961929,1442894,7369739,11054608,417809,626714
FR00,2060,14462537,21693806,961908,1442863,7369732,11054599,424505,636758
FR00,2061,14458028,21687042,960081,1440121,7369707,11054560,429273,643909
FR00,2062,14453518,21680277,958253,1437380,7369681,11054521,434040,651060
FR00,2063,14449008,21673513,956426,1434639,7369655,11054483,438808,658212
FR00,2064,14444499,21666748,954598,1431898,7369629,11054444,443575,665363
FR00,2065,14439989,21659984,952771,1429156,7369604,11054406,448343,672514
FR00,2066,14434505,21651757,952056,1428084,7369593,11054389,453117,679676
FR00,2067,14429020,21643531,951341,1427012,7369582,11054373,457892,686838
FR00,2068,14423536,21635304,950626,1425939,7369571,11054357,462666,693999
FR00,2069,14418052,21627078,949911,1424867,7369561,11054341,467440,701161
FR00,2070,14412568,21618852,949196,1423795,7369550,11054325,472215,708322
FR10,2010,474723,712084,11137,16706,5412,8119,0,0
FR10,2011,473130,709695,10729,16094,5632,8448,0,0
FR10,2012,471536,707305,10322,15483,5852,8778,0,0
FR10,2013,469943,704915,9914,14871,6072,9108,0,0
FR10,2014,468350,702526,9506,14260,6292,9438,0,0
FR10,2015,466757,700136,9099,13648,6512,9768,0,0
FR10,2016,465952,698928,8958,13437,6403,9605,134,202
FR10,2017,465147,697721,8817,13225,6294,9442,269,404
FR10,2018,464342,696513,8676,13014,6186,9279,404,606
FR10,2019,463537,695305,8535,12803,6077,9116,539,809
FR10,2020,462732,694098,8394,12591,5968,8953,674,1011
FR10,2021,461666,692500,8313,12470,5881,8822,816,1224
FR10,2022,460601,690902,8232,12348,5794,8692,957,1436
FR10,2023,459536,689304,8151,12227,5707,8561,1099,1648
FR10,2024,458471,687707,8070,12105,5620,8430,1240,1861
FR10,2025,457406,686109,7989,11984,5533,8300,1382,2073
FR10,2026,456304,684456,7887,11830,5453,8179,1431,2147
FR10,2027,455201,682802,7784,11677,5372,8058,1480,2220
FR10,2028,454099,681148,7682,11523,5292,7938,1529,2293
FR10,2029,452996,679495,7580,11370,5211,7817,1578,2367
FR10,2030,451894,677841,7477,11216,5131,7696,1627,2440
FR10,2031,450764,676147,7463,11194,5056,7584,1729,2593
FR10,2032,449635,674452,7448,11173,4982,7473,1831,2746
FR10,2033,448505,672758,7434,11151,4907,7361,1932,2899
FR10,2034,447376,671064,7420,11130,4832,7249,2034,3052
FR10,2035,446246,669369,7405,11108,4758,7137,2136,3205
FR10,2036,445331,667997,7402,11103,4689,7033,2233,3350
FR10,2037,444417,666625,7399,11099,4620,6930,2330,3495
FR10,2038,443502,665254,7396,11094,4551,6826,2427,3640
FR10,2039,442588,663882,7393,11090,4481,6722,2524,3786
FR10,2040,441673,662510,7390,11085,4412,6619,2620,3931
FR10,2041,440498,660748,7472,11208,4348,6522,2787,4180
FR10,2042,439324,658986,7554,11331,4284,6426,2953,4429
FR10,2043,438149,657224,7636,11454,4219,6329,3119,4679
FR10,2044,436974,655462,7718,11578,4155,6233,3285,4928
FR10,2045,435800,653700,7800,11701,4091,6136,3452,5178
FR10,2046,434707,652060,8269,12404,4031,6047,3990,5985
FR10,2047,433614,650421,8738,13108,3972,5958,4528,6792
FR10,2048,432521,648782,9207,13811,3912,5868,5066,7599
FR10,2049,431428,647143,9676,14514,3853,5779,5604,8406
FR10,2050,430336,645504,10145,15218,3793,5690,6142,9213
FR10,2051,429334,644002,10320,15480,3738,5607,6376,9564
FR10,2052,428333,642500,10495,15743,3683,5524,6610,9915
FR10,2053,427332,640998,10670,16005,3628,5442,6844,10266
FR10,2054,426331,639497,10845,16267,3572,5359,7078,10618
FR10,2055,425330,637995,11020,16530,3517,5276,7312,10969
FR10,2056,424258,636387,11072,16609,3466,5199,7431,11147
FR10,2057,423186,634779,11125,16688,3415,5122,7550,11325
FR10,2058,422113,633170,11178,16767,3364,5046,7668,11503
FR10,2059,421041,631562,11231,16846,3312,4969,7787,11681
FR10,2060,419969,629954,11284,16926,3261,4892,7906,11859
FR10,2061,419213,628819,11303,16955,3214,4821,7985,11977
FR10,2062,418456,627684,11323,16984,3166,4749,8063,12095
FR10,2063,417700,626550,11342,17013,3119,4678,8142,12213
FR10,2064,416943,625415,11362,17043,3071,4607,8221,12331
FR10,2065,416187,624280,11381,17072,3024,4536,8300,12450
FR10,2066,415527,623291,11419,17129,2980,4470,8377,12566
FR10,2067,414867,622301,11457,17186,2936,4404,8455,12683
FR10,2068,414208,621312,11495,17243,2892,4338,8533,12800
FR10,2069,413548,620322,11533,17299,2848,4272,8611,12917
FR10,2070,412888,619333,11571,17356,2804,4206,8689,13034
FR21,2010,1055353,1583030,46020,69030,195203,292804,0,0
FR21,2011,1061381,1592071,44221,66331,191205,286807,0,0
FR21,2012,1067408,1601112,42422,63633,187207,280810,0,0
FR21,2013,1073436,1610154,40623,60935,183208,274813,0,0
FR21,2014,1079463,1619195,38825,58237,179210,268816,0,0
FR21,2015,1085491,1628236,37026,55539,175212,262819,0,0
FR21,2016,1086386,1629579,37112,55669,173467,260200,350,525
FR21,2017,1087281,1630921,37199,55799,171721,257581,700,1051
FR21,2018,1088176,1632264,37286,55929,169975,254963,1051,1576
FR21,2019,1089071,1633607,37372,56058,168229,252344,1401,2102
FR21,2020,1089966,1634949,37459,56188,166484,249726,1752,2628
FR21,2021,1089228,1633842,37790,56685,165214,247821,2120,3180
FR21,2022,1088490,1632736,38121,57182,163944,245917,2488,3732
FR21,2023,1087753,1631629,38452,57679,162675,244012,2856,4285
FR21,2024,1087015,1630523,38784,58176,161405,242108,3225,4837
FR21,2025,1086277,1629416,39115,58672,160136,240204,3593,5390
FR21,2026,1085519,1628279,39198,58797,158890,238336,3725,5588
FR21,2027,1084762,1627143,39281,58922,157645,236468,3857,5786
FR21,2028,1084004,1626006,39364,59047,156400,234600,3989,5984
FR21,2029,1083246,1624869,39448,59172,155155,232733,4121,6182
FR21,2030,1082488,1623733,39531,59296,153910,230865,4253,6380
FR21,2031,1081451,1622177,39802,59703,152883,229325,4528,6792
FR21,2032,1080413,1620620,40073,60110,151857,227785,4803,7205
FR21,2033,1079376,1619064,40344,60517,150830,226246,5078,7617
FR21,2034,1078339,1617508,40616,60924,149804,224706,5353,8029
FR21,2035,1077301,1615952,40887,61330,148777,223166,5628,8442
FR21,2036,1077155,1615733,41082,61623,147678,221517,5897,8846
FR21,2037,1077009,1615514,41277,61915,146579,219869,6166,9250
FR21,2038,1076863,1615295,41472,62208,145480,218220,6436,9654
FR21,2039,1076717,1615075,41667,62501,144381,216572,6705,10058
FR21,2040,1076571,1614856,41862,62793,143282,214923,6975,10462
FR21,2041,1075369,1613054,42297,63445,142631,213947,7470,11205
FR21,2042,1074168,1611252,42731,64097,141981,212971,7964,11947
FR21,2043,1072967,1609451,43166,64749,141330,211996,8459,12689
FR21,2044,1071766,1607649,43601,65401,140680,211020,8954,13432
FR21,2045,1070564,1605847,44036,66054,140029,210044,9449,14174
FR21,2046,1069485,1604227,45491,68237,139469,209204,10975,16463
FR21,2047,1068405,1602608,46947,70421,138909,208363,12501,18752
FR21,2048,1067326,1600989,48403,72605,138349,207523,14027,21041
FR21,2049,1066246,1599370,49859,74789,137788,206683,15553,23330
FR21,2050,1065167,1597750,51315,76972,137228,205843,17080,25620
FR21,2051,1064564,1596846,51988,77983,136629,204944,17816,26725
FR21,2052,1063961,1595942,52662,78993,136030,204045,18553,27830
FR21,2053,1063359,1595038,53336,80004,135431,203146,19290,28936
FR21,2054,1062756,1594134,54009,81014,134832,202248,20027,30041
FR21,2055,1062153,1593230,54683,82024,134232,201349,20764,31147
FR21,2056,1061405,1592107,55077,82615,133622,200433,21204,31806
FR21,2057,1060656,1590985,55471,83206,133011,199517,21644,32466
FR21,2058,1059908,1589862,55864,83797,132401,198601,22083,33125
FR21,2059,1059160,1588740,56258,84388,131790,197685,22523,33785
FR21,2060,1058412,1587618,56652,84979,131180,196770,22963,34444
FR21,2061,1058853,1588280,56844,85266,130265,195397,23237,34855
